node1,node2
b0723,b0724
b0032,b0033
b0722,b0723
b0726,b0727
b2751,b2752
b0041,b0042
b0431,b0432
b3733,b3734
b0071,b0072
b3732,b3734
b0185,b2316
b0721,b0723
b0307,b0308
b1924,b1926
b0733,b0734
b1074,b1075
b1244,b1245
b1199,b1200
b1924,b1925
b3686,b3687
b1925,b1926
b1225,b1226
b2728,b2729
b1073,b1074
b1887,b1888
b0430,b0431
b3734,b3736
b0728,b0729
b1682,b1683
b3255,b3256
b3893,b3894
b1681,b1682
b3931,b3932
b2763,b2764
b1079,b1080
b1246,b1247
b0429,b0430
b1070,b1082
b4244,b4245
b4292,b4293
b3734,b3735
b3313,b3314
b0922,b0923
b1073,b1075
b4237,b4238
b3732,b3733
b4200,b4202
b2726,b2727
b0972,b0973
b2284,b2285
b2025,b2026
b3304,b3305
b0594,b0595
b2675,b2676
b1817,b1819
b3319,b3320
b3317,b3318
b3301,b3305
b4200,b4203
b3314,b3317
b0784,b0785
b3892,b3893
b3308,b3310
b1941,b1946
b0014,b0015
b1679,b1680
b1713,b1714
b3317,b3319
b0923,b0924
b3735,b3736
b3297,b3298
b1073,b1078
b0721,b0722
b3308,b3309
b2193,b2469
b3301,b3304
b2202,b2203
b0574,b0575
b3509,b3510
b3320,b3321
b3301,b3308
b3298,b3301
b3314,b3315
b3315,b3316
b3296,b3298
b1075,b1076
b2903,b2904
b0694,b0695
b1073,b1076
b3301,b3306
b2075,b2076
b2527,b2529
b0428,b0429
b4288,b4289
b1083,b1924
b1944,b1945
b1474,b3891
b3316,b3317
b2281,b2282
b2242,b2243
b3301,b3307
b1224,b1225
b3317,b3320
b3296,b3297
b0721,b0724
b1082,b1083
b2017,b4539
b3309,b3310
b3734,b3737
b2729,b2730
b0722,b0724
b0430,b0432
b2525,b2528
b2168,b2169
b1681,b1683
b3540,b3541
b1077,b1079
b3306,b3307
b2148,b2149
b3301,b3313
b3313,b3317
b3305,b3308
b3314,b3319
b3307,b3308
b3319,b3321
b3304,b3318
b1925,b1941
b3301,b3317
b0077,b0078
b3296,b3301
b4096,b4097
b1896,b1897
b3315,b3317
b3312,b3315
b3314,b3316
b3301,b3315
b3301,b3314
b1941,b1942
b1817,b1818
b3301,b3316
b1080,b1924
b0450,b2553
b1940,b1941
b3308,b3318
b0429,b0431
b3301,b3318
b3856,b3857
b3312,b3317
b2277,b2278
b0990,b1557
b2149,b2150
b2194,b2196
b3301,b3319
