"node1","node2","Uni_N1","Uni_N2"
"eco:b0014","eco:b0015","P0A6Y8","P08622"
"eco:b0003","eco:b0027","P00547","P00804"
"eco:b0032","eco:b0033","P0A6F1","P00968"
"eco:b0010","eco:b0036","P0AC98","P31551"
"eco:b0036","eco:b0039","P31551","P60584"
"eco:b0038","eco:b0039","P31572","P60584"
"eco:b0036","eco:b0041","P31551","P60566"
"eco:b0039","eco:b0041","P60584","P60566"
"eco:b0038","eco:b0041","P31572","P60566"
"eco:b0041","eco:b0042","P60566","P31574"
"eco:b0036","eco:b0042","P31551","P31574"
"eco:b0039","eco:b0042","P60584","P31574"
"eco:b0010","eco:b0043","P0AC98","P68644"
"eco:b0036","eco:b0043","P31551","P68644"
"eco:b0039","eco:b0043","P60584","P68644"
"eco:b0042","eco:b0043","P31574","P68644"
"eco:b0041","eco:b0043","P60566","P68644"
"eco:b0041","eco:b0044","P60566","P68646"
"eco:b0042","eco:b0044","P31574","P68646"
"eco:b0043","eco:b0044","P68644","P68646"
"eco:b0010","eco:b0045","P0AC98","P31679"
"eco:b0015","eco:b0047","P08622","P03819"
"eco:b0010","eco:b0047","P0AC98","P03819"
"eco:b0031","eco:b0047","P04036","P03819"
"eco:b0043","eco:b0047","P68644","P03819"
"eco:b0008","eco:b0049","P0A870","P05637"
"eco:b0028","eco:b0050","P0AEM0","P62672"
"eco:b0049","eco:b0053","P05637","P0ABZ6"
"eco:b0008","eco:b0053","P0A870","P0ABZ6"
"eco:b0050","eco:b0053","P62672","P0ABZ6"
"eco:b0006","eco:b0053","P0A8I3","P0ABZ6"
"eco:b0047","eco:b0054","P03819","P31554"
"eco:b0028","eco:b0054","P0AEM0","P31554"
"eco:b0049","eco:b0054","P05637","P31554"
"eco:b0031","eco:b0054","P04036","P31554"
"eco:b0006","eco:b0054","P0A8I3","P31554"
"eco:b0008","eco:b0054","P0A870","P31554"
"eco:b0052","eco:b0054","P19624","P31554"
"eco:b0053","eco:b0054","P0ABZ6","P31554"
"eco:b0015","eco:b0055","P08622","P31680"
"eco:b0014","eco:b0055","P0A6Y8","P31680"
"eco:b0027","eco:b0055","P00804","P31680"
"eco:b0003","eco:b0055","P00547","P31680"
"eco:b0020","eco:b0064","P0A9G2","P0A9E0"
"eco:b0067","eco:b0068","P31549","P31550"
"eco:b0071","eco:b0072","P30126","P0A6A6"
"eco:b0072","eco:b0073","P0A6A6","P30125"
"eco:b0071","eco:b0073","P30126","P30125"
"eco:b0071","eco:b0074","P30126","P09151"
"eco:b0072","eco:b0074","P0A6A6","P09151"
"eco:b0073","eco:b0074","P30125","P09151"
"eco:b0073","eco:b0077","P30125","P00893"
"eco:b0032","eco:b0077","P0A6F1","P00893"
"eco:b0071","eco:b0077","P30126","P00893"
"eco:b0072","eco:b0077","P0A6A6","P00893"
"eco:b0074","eco:b0077","P09151","P00893"
"eco:b0072","eco:b0078","P0A6A6","P00894"
"eco:b0047","eco:b0078","P03819","P00894"
"eco:b0049","eco:b0078","P05637","P00894"
"eco:b0073","eco:b0078","P30125","P00894"
"eco:b0077","eco:b0078","P00893","P00894"
"eco:b0010","eco:b0078","P0AC98","P00894"
"eco:b0071","eco:b0078","P30126","P00894"
"eco:b0074","eco:b0078","P09151","P00894"
"eco:b0031","eco:b0078","P04036","P00894"
"eco:b0064","eco:b0080","P0A9E0","P0ACP1"
"eco:b0027","eco:b0083","P00804","P0AEN4"
"eco:b0003","eco:b0083","P00547","P0AEN4"
"eco:b0055","eco:b0083","P31680","P0AEN4"
"eco:b0050","eco:b0083","P62672","P0AEN4"
"eco:b0028","eco:b0083","P0AEM0","P0AEN4"
"eco:b0081","eco:b0083","P22186","P0AEN4"
"eco:b0084","eco:b0089","P0AD68","P0ABG4"
"eco:b0086","eco:b0089","P11880","P0ABG4"
"eco:b0086","eco:b0092","P11880","P07862"
"eco:b0028","eco:b0093","P0AEM0","P06136"
"eco:b0081","eco:b0093","P22186","P06136"
"eco:b0049","eco:b0093","P05637","P06136"
"eco:b0031","eco:b0093","P04036","P06136"
"eco:b0053","eco:b0093","P0ABZ6","P06136"
"eco:b0083","eco:b0093","P0AEN4","P06136"
"eco:b0050","eco:b0093","P62672","P06136"
"eco:b0003","eco:b0093","P00547","P06136"
"eco:b0027","eco:b0093","P00804","P06136"
"eco:b0047","eco:b0093","P03819","P06136"
"eco:b0055","eco:b0093","P31680","P06136"
"eco:b0054","eco:b0093","P31554","P06136"
"eco:b0047","eco:b0095","P03819","P0A9A6"
"eco:b0031","eco:b0095","P04036","P0A9A6"
"eco:b0015","eco:b0095","P08622","P0A9A6"
"eco:b0054","eco:b0096","P31554","P0A725"
"eco:b0052","eco:b0096","P19624","P0A725"
"eco:b0064","eco:b0099","P0A9E0","P08337"
"eco:b0054","eco:b0101","P31554","P0A8H8"
"eco:b0093","eco:b0101","P06136","P0A8H8"
"eco:b0028","eco:b0102","P0AEM0","P36680"
"eco:b0049","eco:b0102","P05637","P36680"
"eco:b0053","eco:b0102","P0ABZ6","P36680"
"eco:b0093","eco:b0102","P06136","P36680"
"eco:b0050","eco:b0102","P62672","P36680"
"eco:b0003","eco:b0102","P00547","P36680"
"eco:b0054","eco:b0102","P31554","P36680"
"eco:b0054","eco:b0103","P31554","P0A6I9"
"eco:b0048","eco:b0103","P0ABQ4","P0A6I9"
"eco:b0049","eco:b0103","P05637","P0A6I9"
"eco:b0059","eco:b0103","P60240","P0A6I9"
"eco:b0053","eco:b0103","P0ABZ6","P0A6I9"
"eco:b0015","eco:b0104","P08622","P60560"
"eco:b0053","eco:b0106","P0ABZ6","P36646"
"eco:b0049","eco:b0106","P05637","P36646"
"eco:b0054","eco:b0106","P31554","P36646"
"eco:b0106","eco:b0107","P36646","P36645"
"eco:b0106","eco:b0108","P36646","P36647"
"eco:b0050","eco:b0108","P62672","P36647"
"eco:b0028","eco:b0108","P0AEM0","P36647"
"eco:b0054","eco:b0108","P31554","P36647"
"eco:b0049","eco:b0108","P05637","P36647"
"eco:b0053","eco:b0108","P0ABZ6","P36647"
"eco:b0102","eco:b0108","P36680","P36647"
"eco:b0083","eco:b0108","P0AEN4","P36647"
"eco:b0093","eco:b0108","P06136","P36647"
"eco:b0006","eco:b0110","P0A8I3","P13016"
"eco:b0050","eco:b0110","P62672","P13016"
"eco:b0108","eco:b0110","P36647","P13016"
"eco:b0047","eco:b0110","P03819","P13016"
"eco:b0049","eco:b0110","P05637","P13016"
"eco:b0102","eco:b0110","P36680","P13016"
"eco:b0103","eco:b0110","P0A6I9","P13016"
"eco:b0093","eco:b0110","P06136","P13016"
"eco:b0028","eco:b0110","P0AEM0","P13016"
"eco:b0053","eco:b0110","P0ABZ6","P13016"
"eco:b0101","eco:b0110","P0A8H8","P13016"
"eco:b0008","eco:b0110","P0A870","P13016"
"eco:b0054","eco:b0110","P31554","P13016"
"eco:b0050","eco:b0111","P62672","P0AE14"
"eco:b0083","eco:b0111","P0AEN4","P0AE14"
"eco:b0076","eco:b0113","P10151","P0ACL9"
"eco:b0064","eco:b0113","P0A9E0","P0ACL9"
"eco:b0020","eco:b0113","P0A9G2","P0ACL9"
"eco:b0067","eco:b0113","P31549","P0ACL9"
"eco:b0080","eco:b0113","P0ACP1","P0ACL9"
"eco:b0110","eco:b0114","P13016","P0AFG8"
"eco:b0053","eco:b0114","P0ABZ6","P0AFG8"
"eco:b0054","eco:b0114","P31554","P0AFG8"
"eco:b0049","eco:b0114","P05637","P0AFG8"
"eco:b0028","eco:b0118","P0AEM0","P36683"
"eco:b0071","eco:b0118","P30126","P36683"
"eco:b0073","eco:b0118","P30125","P36683"
"eco:b0078","eco:b0118","P00894","P36683"
"eco:b0074","eco:b0118","P09151","P36683"
"eco:b0009","eco:b0118","P0AF03","P36683"
"eco:b0077","eco:b0118","P00893","P36683"
"eco:b0052","eco:b0118","P19624","P36683"
"eco:b0083","eco:b0119","P0AEN4","P0A8E5"
"eco:b0027","eco:b0119","P00804","P0A8E5"
"eco:b0108","eco:b0119","P36647","P0A8E5"
"eco:b0003","eco:b0119","P00547","P0A8E5"
"eco:b0111","eco:b0119","P0AE14","P0A8E5"
"eco:b0028","eco:b0119","P0AEM0","P0A8E5"
"eco:b0055","eco:b0119","P31680","P0A8E5"
"eco:b0093","eco:b0119","P06136","P0A8E5"
