"Uniprot1","Uniprot2","path.length","K.edge","Degree1","Degree2","mean_deg","min_deg","max_deg","drug_pair","network"
"eco:b0048","eco:b0084",7,1,7,1,4,1,7,"Amoxicillin_Trimethoprim","PG.INT.EcoliNet.v1.1817gene.17504link.txt"
"eco:b0048","eco:b0084",7,1,7,1,4,1,7,"Aztreonam_Trimethoprim","PG.INT.EcoliNet.v1.1817gene.17504link.txt"
"eco:b0048","eco:b0084",7,1,7,1,4,1,7,"Cefaclor_Trimethoprim","PG.INT.EcoliNet.v1.1817gene.17504link.txt"
"eco:b0048","eco:b0084",7,1,7,1,4,1,7,"Cefotaxime_Trimethoprim","PG.INT.EcoliNet.v1.1817gene.17504link.txt"
"eco:b0048","eco:b0084",7,1,7,1,4,1,7,"Cephalexin_Trimethoprim","PG.INT.EcoliNet.v1.1817gene.17504link.txt"
"eco:b0048","eco:b0084",7,1,7,1,4,1,7,"Imipenem_Trimethoprim","PG.INT.EcoliNet.v1.1817gene.17504link.txt"
"eco:b0048","eco:b0084",7,1,7,1,4,1,7,"Meropenem_Trimethoprim","PG.INT.EcoliNet.v1.1817gene.17504link.txt"
"eco:b0048","eco:b0084",7,1,7,1,4,1,7,"Penicillin G_Trimethoprim","PG.INT.EcoliNet.v1.1817gene.17504link.txt"
"eco:b0048","eco:b0084",7,1,7,1,4,1,7,"Piperacillin_Trimethoprim","PG.INT.EcoliNet.v1.1817gene.17504link.txt"
"eco:b0048","eco:b0635",7,1,7,2,4,2,7,"Amoxicillin_Trimethoprim","PG.INT.EcoliNet.v1.1817gene.17504link.txt"
"eco:b0048","eco:b0635",7,1,7,2,4,2,7,"Aztreonam_Trimethoprim","PG.INT.EcoliNet.v1.1817gene.17504link.txt"
"eco:b0048","eco:b0635",7,1,7,2,4,2,7,"Cefaclor_Trimethoprim","PG.INT.EcoliNet.v1.1817gene.17504link.txt"
"eco:b0048","eco:b0635",7,1,7,2,4,2,7,"Cefotaxime_Trimethoprim","PG.INT.EcoliNet.v1.1817gene.17504link.txt"
"eco:b0048","eco:b0635",7,1,7,2,4,2,7,"Cephalexin_Trimethoprim","PG.INT.EcoliNet.v1.1817gene.17504link.txt"
"eco:b0048","eco:b0635",7,1,7,2,4,2,7,"Imipenem_Trimethoprim","PG.INT.EcoliNet.v1.1817gene.17504link.txt"
"eco:b0048","eco:b0635",7,1,7,2,4,2,7,"Mecillinam_Trimethoprim","PG.INT.EcoliNet.v1.1817gene.17504link.txt"
"eco:b0048","eco:b0635",7,1,7,2,4,2,7,"Meropenem_Trimethoprim","PG.INT.EcoliNet.v1.1817gene.17504link.txt"
"eco:b0048","eco:b0635",7,1,7,2,4,2,7,"Penicillin G_Trimethoprim","PG.INT.EcoliNet.v1.1817gene.17504link.txt"
"eco:b0048","eco:b0635",7,1,7,2,4,2,7,"Piperacillin_Trimethoprim","PG.INT.EcoliNet.v1.1817gene.17504link.txt"
"eco:b0048","eco:b3182",3,1,7,1,4,1,7,"Amoxicillin_Trimethoprim","PG.INT.EcoliNet.v1.1817gene.17504link.txt"
"eco:b0048","eco:b3182",3,1,7,1,4,1,7,"Aztreonam_Trimethoprim","PG.INT.EcoliNet.v1.1817gene.17504link.txt"
"eco:b0048","eco:b3182",3,1,7,1,4,1,7,"Cefaclor_Trimethoprim","PG.INT.EcoliNet.v1.1817gene.17504link.txt"
"eco:b0048","eco:b3182",3,1,7,1,4,1,7,"Cefotaxime_Trimethoprim","PG.INT.EcoliNet.v1.1817gene.17504link.txt"
"eco:b0048","eco:b3182",3,1,7,1,4,1,7,"Cephalexin_Trimethoprim","PG.INT.EcoliNet.v1.1817gene.17504link.txt"
"eco:b0048","eco:b3182",3,1,7,1,4,1,7,"Imipenem_Trimethoprim","PG.INT.EcoliNet.v1.1817gene.17504link.txt"
"eco:b0048","eco:b3182",3,1,7,1,4,1,7,"Meropenem_Trimethoprim","PG.INT.EcoliNet.v1.1817gene.17504link.txt"
"eco:b0048","eco:b3182",3,1,7,1,4,1,7,"Penicillin G_Trimethoprim","PG.INT.EcoliNet.v1.1817gene.17504link.txt"
"eco:b0048","eco:b3182",3,1,7,1,4,1,7,"Piperacillin_Trimethoprim","PG.INT.EcoliNet.v1.1817gene.17504link.txt"
"eco:b0084","eco:b0635",2,1,1,2,2,1,2,"Amoxicillin_Aztreonam","PG.INT.EcoliNet.v1.1817gene.17504link.txt"
"eco:b0084","eco:b0635",2,1,1,2,2,1,2,"Amoxicillin_Cefaclor","PG.INT.EcoliNet.v1.1817gene.17504link.txt"
"eco:b0084","eco:b0635",2,1,1,2,2,1,2,"Amoxicillin_Cefotaxime","PG.INT.EcoliNet.v1.1817gene.17504link.txt"
"eco:b0084","eco:b0635",2,1,1,2,2,1,2,"Amoxicillin_Cephalexin","PG.INT.EcoliNet.v1.1817gene.17504link.txt"
"eco:b0084","eco:b0635",2,1,1,2,2,1,2,"Amoxicillin_Imipenem","PG.INT.EcoliNet.v1.1817gene.17504link.txt"
"eco:b0084","eco:b0635",2,1,1,2,2,1,2,"Amoxicillin_Mecillinam","PG.INT.EcoliNet.v1.1817gene.17504link.txt"
"eco:b0084","eco:b0635",2,1,1,2,2,1,2,"Amoxicillin_Meropenem","PG.INT.EcoliNet.v1.1817gene.17504link.txt"
"eco:b0084","eco:b0635",2,1,1,2,2,1,2,"Amoxicillin_Penicillin G","PG.INT.EcoliNet.v1.1817gene.17504link.txt"
"eco:b0084","eco:b0635",2,1,1,2,2,1,2,"Amoxicillin_Piperacillin","PG.INT.EcoliNet.v1.1817gene.17504link.txt"
