"network";"DRUG_ID";"mean.path.length";"mean.k.edge";"mean.min.degree";"mean.max.degree";"mean.mean.degree";"max.adjacency";"mean.min.bet";"mean.max.bet";"mean.mean.bet";"mean.min.EVC";"mean.max.EVC";"mean.mean.EVC";"mean.sigma_all";"mean.sigma_set";"drug_pair";"Drug1";"Drug2";"drugdrug";"code_3letter1";"code_3letter2";"drug_cat";"drug_category1";"drug_category2";"categorycategory";"targ";"targeted_cellular_process1";"targeted_cellular_process2";"processprocess";"us";"use1";"use2";"useuse";"ebw";"ecr";"seo";"stm";"pae";"pau";"int_sign_ebw";"int_sign_ecr";"int_sign_seo";"int_sign_stm";"int_sign_pae";"int_sign_pau";"ebw_g";"ecr_g";"seo_g";"stm_g";"pae_g";"pau_g";"sum_g";"SR_ebw_D1";"SR_ecr_D1";"SR_stm_D1";"SR_seo_D1";"SR_pae_D1";"SR_pau_D1";"SR_ebw_D2";"SR_ecr_D2";"SR_stm_D2";"SR_seo_D2";"SR_pae_D2";"SR_pau_D2";"SR_ebw";"SR_ecr";"SR_stm";"SR_seo";"SR_pae";"SR_pau";"SR_score_ebw";"SR_score_ecr";"SR_score_stm";"SR_score_seo";"SR_score_pae";"SR_score_pau";"SR_score_total";"HDC_ebw_D1";"HDC_ecr_D1";"HDC_stm_D1";"HDC_seo_D1";"HDC_pae_D1";"HDC_pau_D1";"LF_ebw_D1";"LF_ecr_D1";"LF_stm_D1";"LF_seo_D1";"LF_pae_D1";"LF_pau_D1";"HDC_ebw_D2";"HDC_ecr_D2";"HDC_stm_D2";"HDC_seo_D2";"HDC_pae_D2";"HDC_pau_D2";"LF_ebw_D2";"LF_ecr_D2";"LF_stm_D2";"LF_seo_D2";"LF_pae_D2";"LF_pau_D2";"clusters_all";"sigma.rate_all";"type";"clusters_set";"sigma.rate_set";"SET";"connection_onoff"
"Small/medium-scale PPI";"A22-Amoxicillin";"3,000";"2,800";"3,000";"6,600";"4,800";"0";"536,814";"5009,930";"2773,372";"0,096";"0,096";"0,096";"0,001";"0,003";"A22_Amoxicillin";"A22";"Amoxicillin";"A22-Amoxicillin";"A22";"AMX";"0";"other cell wall";"beta-lactam";"beta-lactam-other cell wall";"1";"cell wall";"cell wall";"cell wall-cell wall";"0";"research used drug";"antibiotic";"antibiotic-research used drug";"-0,144406458";"-0,107771087";"-0,122702154";"-0,089881073";"0,047542801";"-0,133413360";"Synergy";"Additivity";"Additivity";"Additivity";"Additivity";"Synergy";"-1";"0";"0";"0";"0";"-1";"-2";"S";"S";"S";"S";"R";"S";"S";"S";"R";"R";"R";"R";"SS";"SS";"SR";"SR";"RR";"SR";"-1";"-1";"0";"0";"1";"0";"-1";"1,200";"1,200";"1,200";"1,200";"10,00";"3,00";"0,00";"0,31";"0,55";"0,51";"0,85";"0,52";"2,000";"2,000";"0,300";"0,300";"4,00";"4,00";"0,45";"0,00";"0,84";"0,76";"0,89";"0,92";"4";"0,001";"Additivity-Synergy";"2";"0,003";"TRUE";"connected"
"Co-functional (EcoCyc/GO-BP)";"A22-Amoxicillin";"1,167";"12,000";"12,000";"53,833";"32,917";"1";"0,000";"19939,870";"9969,935";"0,020";"0,020";"0,020";"0,001";"0,003";"A22_Amoxicillin";"A22";"Amoxicillin";"A22-Amoxicillin";"A22";"AMX";"0";"other cell wall";"beta-lactam";"beta-lactam-other cell wall";"1";"cell wall";"cell wall";"cell wall-cell wall";"0";"research used drug";"antibiotic";"antibiotic-research used drug";"-0,144406458";"-0,107771087";"-0,122702154";"-0,089881073";"0,047542801";"-0,133413360";"Synergy";"Additivity";"Additivity";"Additivity";"Additivity";"Synergy";"-1";"0";"0";"0";"0";"-1";"-2";"S";"S";"S";"S";"R";"S";"S";"S";"R";"R";"R";"R";"SS";"SS";"SR";"SR";"RR";"SR";"-1";"-1";"0";"0";"1";"0";"-1";"1,200";"1,200";"1,200";"1,200";"10,00";"3,00";"0,00";"0,31";"0,55";"0,51";"0,85";"0,52";"2,000";"2,000";"0,300";"0,300";"4,00";"4,00";"0,45";"0,00";"0,84";"0,76";"0,89";"0,92";"4";"0,001";"Additivity-Synergy";"2";"0,003";"TRUE";"connected"
"Small/medium-scale PPI";"A22-Aztreonam";"3,000";"2,800";"3,000";"6,600";"4,800";"0";"536,814";"5009,930";"2773,372";"0,096";"0,096";"0,096";"0,008";"0,003";"A22_Aztreonam";"A22";"Aztreonam";"A22-Aztreonam";"A22";"ATM";"0";"other cell wall";"beta-lactam";"beta-lactam-other cell wall";"1";"cell wall";"cell wall";"cell wall-cell wall";"0";"research used drug";"antibiotic";"antibiotic-research used drug";"-0,116819962";"-0,239493987";"-0,131668911";"-0,072461879";"0,040283817";"-0,069617853";"Additivity";"Synergy";"Additivity";"Additivity";"Additivity";"Synergy";"0";"-1";"0";"0";"0";"-1";"-2";"S";"S";"S";"S";"R";"S";"S";"S";"S";"S";"S";"S";"SS";"SS";"SS";"SS";"RS";"SS";"-1";"-1";"-1";"-1";"0";"-1";"-5";"1,200";"1,200";"1,200";"1,200";"10,00";"3,00";"0,00";"0,31";"0,55";"0,51";"0,85";"0,52";"0,050";"0,050";"0,050";"0,050";"3,00";"5,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"14";"0,008";"Additivity-Synergy";"2";"0,003";"TRUE";"connected"
"Co-functional (EcoCyc/GO-BP)";"A22-Aztreonam";"1,167";"12,000";"12,000";"53,833";"32,917";"1";"0,000";"19939,870";"9969,935";"0,020";"0,020";"0,020";"0,008";"0,003";"A22_Aztreonam";"A22";"Aztreonam";"A22-Aztreonam";"A22";"ATM";"0";"other cell wall";"beta-lactam";"beta-lactam-other cell wall";"1";"cell wall";"cell wall";"cell wall-cell wall";"0";"research used drug";"antibiotic";"antibiotic-research used drug";"-0,116819962";"-0,239493987";"-0,131668911";"-0,072461879";"0,040283817";"-0,069617853";"Additivity";"Synergy";"Additivity";"Additivity";"Additivity";"Synergy";"0";"-1";"0";"0";"0";"-1";"-2";"S";"S";"S";"S";"R";"S";"S";"S";"S";"S";"S";"S";"SS";"SS";"SS";"SS";"RS";"SS";"-1";"-1";"-1";"-1";"0";"-1";"-5";"1,200";"1,200";"1,200";"1,200";"10,00";"3,00";"0,00";"0,31";"0,55";"0,51";"0,85";"0,52";"0,050";"0,050";"0,050";"0,050";"3,00";"5,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"14";"0,008";"Additivity-Synergy";"2";"0,003";"TRUE";"connected"
"Small/medium-scale PPI";"A22-Cefaclor";"3,000";"2,800";"3,000";"6,600";"4,800";"0";"536,814";"5009,930";"2773,372";"0,096";"0,096";"0,096";"0,008";"0,003";"A22_Cefaclor";"A22";"Cefaclor";"A22-Cefaclor";"A22";"CEC";"0";"other cell wall";"beta-lactam";"beta-lactam-other cell wall";"1";"cell wall";"cell wall";"cell wall-cell wall";"0";"research used drug";"antibiotic";"antibiotic-research used drug";"-0,160561269";"-0,110830537";"-0,260404099";"-0,255707450";"-0,031969583";"-0,053619229";"Synergy";"Additivity";"Synergy";"Additivity";"Additivity";"Additivity";"-1";"0";"-1";"0";"0";"0";"-2";"S";"S";"S";"S";"R";"S";"S";"S";"S";"S";"R";"R";"SS";"SS";"SS";"SS";"RR";"SR";"-1";"-1";"-1";"-1";"1";"0";"-3";"1,200";"1,200";"1,200";"1,200";"10,00";"3,00";"0,00";"0,31";"0,55";"0,51";"0,85";"0,52";"1,000";"1,000";"0,500";"0,500";"4,00";"4,00";"0,47";"0,55";"0,00";"0,00";"0,90";"0,92";"14";"0,008";"Additivity-Synergy";"2";"0,003";"TRUE";"connected"
"Co-functional (EcoCyc/GO-BP)";"A22-Cefaclor";"1,167";"12,000";"12,000";"53,833";"32,917";"1";"0,000";"19939,870";"9969,935";"0,020";"0,020";"0,020";"0,008";"0,003";"A22_Cefaclor";"A22";"Cefaclor";"A22-Cefaclor";"A22";"CEC";"0";"other cell wall";"beta-lactam";"beta-lactam-other cell wall";"1";"cell wall";"cell wall";"cell wall-cell wall";"0";"research used drug";"antibiotic";"antibiotic-research used drug";"-0,160561269";"-0,110830537";"-0,260404099";"-0,255707450";"-0,031969583";"-0,053619229";"Synergy";"Additivity";"Synergy";"Additivity";"Additivity";"Additivity";"-1";"0";"-1";"0";"0";"0";"-2";"S";"S";"S";"S";"R";"S";"S";"S";"S";"S";"R";"R";"SS";"SS";"SS";"SS";"RR";"SR";"-1";"-1";"-1";"-1";"1";"0";"-3";"1,200";"1,200";"1,200";"1,200";"10,00";"3,00";"0,00";"0,31";"0,55";"0,51";"0,85";"0,52";"1,000";"1,000";"0,500";"0,500";"4,00";"4,00";"0,47";"0,55";"0,00";"0,00";"0,90";"0,92";"14";"0,008";"Additivity-Synergy";"2";"0,003";"TRUE";"connected"
"Small/medium-scale PPI";"A22-Cefotaxime";"3,000";"2,800";"3,000";"6,600";"4,800";"0";"536,814";"5009,930";"2773,372";"0,096";"0,096";"0,096";"0,008";"0,003";"A22_Cefotaxime";"A22";"Cefotaxime";"A22-Cefotaxime";"A22";"CTX";"0";"other cell wall";"beta-lactam";"beta-lactam-other cell wall";"1";"cell wall";"cell wall";"cell wall-cell wall";"0";"research used drug";"antibiotic";"antibiotic-research used drug";"-0,142714926";"-0,179266974";"-0,245271572";"-0,165740597";"-0,073620896";"-0,133296097";"Additivity";"Synergy";"Synergy";"Synergy";"Additivity";"Synergy";"0";"-1";"-1";"-1";"0";"-1";"-4";"S";"S";"S";"S";"R";"S";"S";"S";"R";"R";"S";"R";"SS";"SS";"SR";"SR";"RS";"SR";"-1";"-1";"0";"0";"0";"0";"-2";"1,200";"1,200";"1,200";"1,200";"10,00";"3,00";"0,00";"0,31";"0,55";"0,51";"0,85";"0,52";"0,010";"0,010";"0,010";"0,010";"5,00";"5,00";"0,57";"0,39";"0,71";"0,79";"0,00";"0,76";"14";"0,008";"Additivity-Synergy";"2";"0,003";"TRUE";"connected"
"Co-functional (EcoCyc/GO-BP)";"A22-Cefotaxime";"1,167";"12,000";"12,000";"53,833";"32,917";"1";"0,000";"19939,870";"9969,935";"0,020";"0,020";"0,020";"0,008";"0,003";"A22_Cefotaxime";"A22";"Cefotaxime";"A22-Cefotaxime";"A22";"CTX";"0";"other cell wall";"beta-lactam";"beta-lactam-other cell wall";"1";"cell wall";"cell wall";"cell wall-cell wall";"0";"research used drug";"antibiotic";"antibiotic-research used drug";"-0,142714926";"-0,179266974";"-0,245271572";"-0,165740597";"-0,073620896";"-0,133296097";"Additivity";"Synergy";"Synergy";"Synergy";"Additivity";"Synergy";"0";"-1";"-1";"-1";"0";"-1";"-4";"S";"S";"S";"S";"R";"S";"S";"S";"R";"R";"S";"R";"SS";"SS";"SR";"SR";"RS";"SR";"-1";"-1";"0";"0";"0";"0";"-2";"1,200";"1,200";"1,200";"1,200";"10,00";"3,00";"0,00";"0,31";"0,55";"0,51";"0,85";"0,52";"0,010";"0,010";"0,010";"0,010";"5,00";"5,00";"0,57";"0,39";"0,71";"0,79";"0,00";"0,76";"14";"0,008";"Additivity-Synergy";"2";"0,003";"TRUE";"connected"
"Small/medium-scale PPI";"A22-Cephalexin";"3,000";"2,800";"3,000";"6,600";"4,800";"0";"536,814";"5009,930";"2773,372";"0,096";"0,096";"0,096";"0,002";NA;"A22_Cephalexin";"A22";"Cephalexin";"A22-Cephalexin";"A22";"LEX";"0";"other cell wall";"beta-lactam";"beta-lactam-other cell wall";"1";"cell wall";"cell wall";"cell wall-cell wall";"0";"research used drug";"antibiotic";"antibiotic-research used drug";"-0,075399183";"0,056095773";"0,048970106";"0,061262897";"0,025841836";"-0,076524942";"Additivity";"Additivity";"Additivity";"Additivity";"Additivity";"Additivity";"0";"0";"0";"0";"0";"0";"0";"S";"S";"S";"S";"R";"S";"R";"R";"R";"R";"R";"R";"SR";"SR";"SR";"SR";"RR";"SR";"0";"0";"0";"0";"1";"0";"1";"1,200";"1,200";"1,200";"1,200";"10,00";"3,00";"0,00";"0,31";"0,55";"0,51";"0,85";"0,52";"10,000";"10,000";"10,000";"10,000";"16,00";"16,00";"0,84";"0,88";"0,86";"0,87";"0,90";"0,90";"10";"0,002";"Additivity";NA;NA;"FALSE";"connected"
"Co-functional (EcoCyc/GO-BP)";"A22-Cephalexin";"1,167";"12,000";"12,000";"53,833";"32,917";"1";"0,000";"19939,870";"9969,935";"0,020";"0,020";"0,020";"0,002";NA;"A22_Cephalexin";"A22";"Cephalexin";"A22-Cephalexin";"A22";"LEX";"0";"other cell wall";"beta-lactam";"beta-lactam-other cell wall";"1";"cell wall";"cell wall";"cell wall-cell wall";"0";"research used drug";"antibiotic";"antibiotic-research used drug";"-0,075399183";"0,056095773";"0,048970106";"0,061262897";"0,025841836";"-0,076524942";"Additivity";"Additivity";"Additivity";"Additivity";"Additivity";"Additivity";"0";"0";"0";"0";"0";"0";"0";"S";"S";"S";"S";"R";"S";"R";"R";"R";"R";"R";"R";"SR";"SR";"SR";"SR";"RR";"SR";"0";"0";"0";"0";"1";"0";"1";"1,200";"1,200";"1,200";"1,200";"10,00";"3,00";"0,00";"0,31";"0,55";"0,51";"0,85";"0,52";"10,000";"10,000";"10,000";"10,000";"16,00";"16,00";"0,84";"0,88";"0,86";"0,87";"0,90";"0,90";"10";"0,002";"Additivity";NA;NA;"FALSE";"connected"
