"drug_pair","Drug1","Drug2","mean.path.length","mean.k.edge","mean.min.degree","mean.max.degree","mean.mean.degree","max.adjacency","network","code_3letter1","code_3letter2","drug_category1","drug_category2","targeted_cellular_process1","targeted_cellular_process2","use1","use2","ebw","ecr","seo","stm","pae","pau","int_sign_ebw","int_sign_ecr","int_sign_seo","int_sign_stm","int_sign_pae","int_sign_pau","drug_category","targeted_process","use","drugdrug","categorycategory","processprocess","useuse","HDC_D1_ebw","HDC_D1_ecr","HDC_D1_stm","HDC_D1_seo","HDC_D1_pae","HDC_D1_pau","LF_D1_ebw","LF_D1_ecr","LF_D1_stm","LF_D1_seo","LF_D1_pae","LF_D1_pau","SR_D1_ebw","SR_D1_ecr","SR_D1_stm","SR_D1_seo","SR_D1_pae","SR_D1_pau","HDC_D2_ebw","HDC_D2_ecr","HDC_D2_stm","HDC_D2_seo","HDC_D2_pae","HDC_D2_pau","LF_D2_ebw","LF_D2_ecr","LF_D2_stm","LF_D2_seo","LF_D2_pae","LF_D2_pau","SR_D2_ebw","SR_D2_ecr","SR_D2_stm","SR_D2_seo","SR_D2_pae","SR_D2_pau","clusters","sigma.rate","type","connection_onoff","drug_cat","targ","us","ebw_g","ecr_g","seo_g","stm_g","pae_g","pau_g","sum_g"
"Amoxicillin_Aztreonam","Amoxicillin","Aztreonam",1,15,15,15,15,"1","Co-functional(EcoCyc)","AMX","ATM","beta-lactam","beta-lactam","cell wall","cell wall","antibiotic","antibiotic",-0.524618664,-0.290350251,-0.29869208,-0.540616504,-0.072012457,0.054671314,"Synergy","Synergy","Synergy","Synergy","Additivity","Additivity","Same","Same","Same","Amoxicillin-Aztreonam","beta-lactam-beta-lactam","cell wall-cell wall","antibiotic-antibiotic",2,2,0.3,0.3,4,4,0.45,0,0.84,0.76,0.89,0.92,"S","S","R","R","R","R",0.05,0.05,0.05,0.05,3,5,0,0,0,0,0,0,"S","S","S","S","S","S",13,0.00728211401611587,"Additivity-Synergy","connected",1,1,1,-1,-1,-1,-1,0,0,-4
"Amoxicillin_Cefaclor","Amoxicillin","Cefaclor",1,15,15,15,15,"1","Co-functional(EcoCyc)","AMX","CEC","beta-lactam","beta-lactam","cell wall","cell wall","antibiotic","antibiotic",-0.472272507,-0.248875028,-0.513641019,-0.281048583,0.046779061,-0.031870194,"Synergy","Synergy","Synergy","Synergy","Additivity","Additivity","Same","Same","Same","Amoxicillin-Cefaclor","beta-lactam-beta-lactam","cell wall-cell wall","antibiotic-antibiotic",2,2,0.3,0.3,4,4,0.45,0,0.84,0.76,0.89,0.92,"S","S","R","R","R","R",1,1,0.5,0.5,4,4,0.47,0.55,0,0,0.9,0.92,"S","S","S","S","R","R",13,0.00728211401611587,"Additivity-Synergy","connected",1,1,1,-1,-1,-1,-1,0,0,-4
"Amoxicillin_Cefotaxime","Amoxicillin","Cefotaxime",1,15,15,15,15,"1","Co-functional(EcoCyc)","AMX","CTX","beta-lactam","beta-lactam","cell wall","cell wall","antibiotic","antibiotic",-0.250080619,-0.327234559,-0.067229408,-0.059627303,0.212055174,-0.077344339,"Synergy","Synergy","Additivity","Additivity","Antagonism","Additivity","Same","Same","Same","Amoxicillin-Cefotaxime","beta-lactam-beta-lactam","cell wall-cell wall","antibiotic-antibiotic",2,2,0.3,0.3,4,4,0.45,0,0.84,0.76,0.89,0.92,"S","S","R","R","R","R",0.01,0.01,0.01,0.01,5,5,0.57,0.39,0.71,0.79,0,0.76,"S","S","R","R","S","R",13,0.00728211401611587,"Additivity-Antagonism-Synergy","connected",1,1,1,-1,-1,0,0,1,0,-1
"Amoxicillin_Cephalexin","Amoxicillin","Cephalexin",1,15,15,15,15,"1","Co-functional(EcoCyc)","AMX","LEX","beta-lactam","beta-lactam","cell wall","cell wall","antibiotic","antibiotic",0.061360214,0.052226283,-0.081519808,-0.080239589,-0.057792451,-0.029760282,"Additivity","Additivity","Additivity","Additivity","Additivity","Additivity","Same","Same","Same","Amoxicillin-Cephalexin","beta-lactam-beta-lactam","cell wall-cell wall","antibiotic-antibiotic",2,2,0.3,0.3,4,4,0.45,0,0.84,0.76,0.89,0.92,"S","S","R","R","R","R",10,10,10,10,16,16,0.84,0.88,0.86,0.87,0.9,0.9,"R","R","R","R","R","R",7,0.000715890300883358,"Additivity","connected",1,1,1,0,0,0,0,0,0,0
"Amoxicillin_Fosfomycin","Amoxicillin","Fosfomycin",1,15,15,15,15,"1","Co-functional(EcoCyc)","AMX","FOF","beta-lactam","other cell wall","cell wall","cell wall","antibiotic","antibiotic",-0.235424396,-0.197434681,-0.233475371,-0.21533938,0.098113534,-0.079069555,"Synergy","Synergy","Synergy","Synergy","Additivity","Additivity","Different","Same","Same","Amoxicillin-Fosfomycin","beta-lactam-other cell wall","cell wall-cell wall","antibiotic-antibiotic",2,2,0.3,0.3,4,4,0.45,0,0.84,0.76,0.89,0.92,"S","S","R","R","R","R",0.1,0.1,0.05,0.05,15,5,0.39,0.49,0.65,0.77,0,0,"S","S","S","R","S","S",13,0.00728211401611587,"Additivity-Synergy","connected",0,1,1,-1,-1,-1,-1,0,0,-4
"Amoxicillin_Imipenem","Amoxicillin","Imipenem",1,15,15,15,15,"1","Co-functional(EcoCyc)","AMX","IPM","beta-lactam","beta-lactam","cell wall","cell wall","antibiotic","antibiotic",-0.105926127,-0.202354674,-0.321397596,-0.157550957,-0.057216058,-0.048262283,"Additivity","Additivity","Synergy","Additivity","Additivity","Additivity","Same","Same","Same","Amoxicillin-Imipenem","beta-lactam-beta-lactam","cell wall-cell wall","antibiotic-antibiotic",2,2,0.3,0.3,4,4,0.45,0,0.84,0.76,0.89,0.92,"S","S","R","R","R","R",0.125,0.125,0.125,0.125,3,0.75,0.28,0.44,0.07,0,0,0,"S","S","S","S","S","S",13,0.00728211401611587,"Additivity-Synergy","connected",1,1,1,0,0,-1,0,0,0,-1
"Amoxicillin_Meropenem","Amoxicillin","Meropenem",1,15,15,15,15,"1","Co-functional(EcoCyc)","AMX","MEM","beta-lactam","beta-lactam","cell wall","cell wall","antibiotic","antibiotic",-0.150878137,-0.127733475,-0.372150374,-0.290776153,0.073021789,-0.042094051,"Additivity","Additivity","Additivity","Additivity","Additivity","Additivity","Same","Same","Same","Amoxicillin-Meropenem","beta-lactam-beta-lactam","cell wall-cell wall","antibiotic-antibiotic",2,2,0.3,0.3,4,4,0.45,0,0.84,0.76,0.89,0.92,"S","S","R","R","R","R",0.08,0.04,0.08,0.04,1,0.25,0.09,0.12,0,0,0,0,"S","S","S","S","S","S",13,0.00728211401611587,"Additivity","connected",1,1,1,0,0,0,0,0,0,0
"Amoxicillin_Metformin","Amoxicillin","Metformin",Inf,0,6,15,10,"0","Co-functional(EcoCyc)","AMX","MF","beta-lactam","human drug","cell wall","human","antibiotic","human-targeted drug",0.244481275,0.174963722,0.04650243,-0.049882376,-0.064780163,-0.081837398,"Antagonism","Additivity","Additivity","Additivity","Additivity","Additivity","Different","Different","Different","Amoxicillin-Metformin","beta-lactam-human drug","cell wall-human","antibiotic-human-targeted drug",2,2,0.3,0.3,4,4,0.45,0,0.84,0.76,0.89,0.92,"S","S","R","R","R","R",12916,12916,38748,38748,25832,25832,0.54,0.27,0.67,0.63,0.48,0.58,"S","S","S","S","S","S",2,0.00359381023086882,"Additivity-Antagonism","disconnected",0,0,0,1,0,0,0,0,0,1
"Amoxicillin_Penicillin G","Amoxicillin","Penicillin G",1,15,15,15,15,"1","Co-functional(EcoCyc)","AMX","PEN","beta-lactam","beta-lactam","cell wall","cell wall","antibiotic","antibiotic",-0.095728565,-0.218339027,-0.285003647,-0.263337696,-0.096389369,-0.020774024,"Additivity","Synergy","Additivity","Additivity","Additivity","Additivity","Same","Same","Same","Amoxicillin-Penicillin G","beta-lactam-beta-lactam","cell wall-cell wall","antibiotic-antibiotic",2,2,0.3,0.3,4,4,0.45,0,0.84,0.76,0.89,0.92,"S","S","R","R","R","R",5,5,1.25,1.25,10,10,0.8,0.67,0.62,0.62,0.93,0.91,"R","S","S","S","R","R",13,0.00728211401611587,"Additivity-Synergy","connected",1,1,1,0,-1,0,0,0,0,-1
"Amoxicillin_Piperacillin","Amoxicillin","Piperacillin",1,15,15,15,15,"1","Co-functional(EcoCyc)","AMX","PIP","beta-lactam","beta-lactam","cell wall","cell wall","antibiotic","antibiotic",-0.185511961,-0.293649022,-0.473645304,-0.594606308,0.314074822,0.081068472,"Synergy","Synergy","Synergy","Synergy","Antagonism","Additivity","Same","Same","Same","Amoxicillin-Piperacillin","beta-lactam-beta-lactam","cell wall-cell wall","antibiotic-antibiotic",2,2,0.3,0.3,4,4,0.45,0,0.84,0.76,0.89,0.92,"S","S","R","R","R","R",0.3,0.3,1,1,2,3,0.8,0.68,0.6,0.62,0,0,"R","S","S","S","S","S",13,0.00728211401611587,"Additivity-Antagonism-Synergy","connected",1,1,1,-1,-1,-1,-1,1,0,-3
"Amoxicillin_Sulfamonomethoxine","Amoxicillin","Sulfamonomethoxine",Inf,0,3,15,9,"0","Co-functional(EcoCyc)","AMX","SMM","beta-lactam","folic acid biosynthesis","cell wall","DNA","antibiotic","antibiotic",0.047994639,-0.046296549,-0.050586416,-0.089903089,-0.033508523,-0.034663075,"Additivity","Additivity","Additivity","Additivity","Additivity","Additivity","Different","Different","Same","Amoxicillin-Sulfamonomethoxine","beta-lactam-folic acid biosynthesis","cell wall-DNA","antibiotic-antibiotic",2,2,0.3,0.3,4,4,0.45,0,0.84,0.76,0.89,0.92,"S","S","R","R","R","R",50,50,50,50,100,100,0.88,0.88,0.85,0.88,0.77,0.81,"R","R","R","R","R","R",10,0.00194983040453027,"Additivity","disconnected",0,0,1,0,0,0,0,0,0,0
"Amoxicillin_Triclosan","Amoxicillin","Triclosan",Inf,0,14,15,14,"0","Co-functional(EcoCyc)","AMX","TRI","beta-lactam","other membrane","cell wall","membrane","antibiotic","anti-infective",-0.12002459,-0.112074375,0.053588973,-0.076335029,0.030824085,0.069918062,"Additivity","Additivity","Additivity","Additivity","Additivity","Additivity","Different","Different","Different","Amoxicillin-Triclosan","beta-lactam-other membrane","cell wall-membrane","anti-infective-antibiotic",2,2,0.3,0.3,4,4,0.45,0,0.84,0.76,0.89,0.92,"S","S","R","R","R","R",0.04,0.04,0.04,0.04,0.04,0.04,1,1,0.98,1,0.97,0.99,"R","R","R","R","R","R",5,0.00305904974808657,"Additivity","disconnected",0,0,0,0,0,0,0,0,0,0
"Amoxicillin_Trimethoprim","Amoxicillin","Trimethoprim",Inf,0,14,15,14,"0","Co-functional(EcoCyc)","AMX","TMP","beta-lactam","folic acid biosynthesis","cell wall","DNA","antibiotic","antibiotic",-0.168981691,0.092046379,0.115637791,0.093074035,-0.034292259,-0.025290124,"Synergy","Additivity","Additivity","Additivity","Additivity","Additivity","Different","Different","Same","Amoxicillin-Trimethoprim","beta-lactam-folic acid biosynthesis","cell wall-DNA","antibiotic-antibiotic",2,2,0.3,0.3,4,4,0.45,0,0.84,0.76,0.89,0.92,"S","S","R","R","R","R",0.5,0.5,0.5,0.5,1,1,0.49,0.46,0.53,0.46,0.83,0.85,"S","S","S","S","R","R",8,0.00192460283307052,"Additivity-Synergy","disconnected",0,0,1,-1,0,0,0,0,0,-1
