"network","KEGG1_KEGG2","KEGG1","KEGG2","drug_pair","path.length","K.edge","Degree1","Degree2","adjacency","mean_deg","min_deg","max_deg","min_bet","max_bet","mean_bet","drugdrug","code_3letter1","code_3letter2","drug_cat","drug_category1","drug_category2","categorycategory","targ","targeted_cellular_process1","targeted_cellular_process2","processprocess","us","use1","use2","useuse","ebw","ecr","seo","stm","pae","pau","int_sign_ebw","int_sign_ecr","int_sign_seo","int_sign_stm","int_sign_pae","int_sign_pau","ebw_g","ecr_g","seo_g","stm_g","pae_g","pau_g","sum_g","SR_ebw_D1","SR_ecr_D1","SR_stm_D1","SR_seo_D1","SR_pae_D1","SR_pau_D1","SR_ebw_D2","SR_ecr_D2","SR_stm_D2","SR_seo_D2","SR_pae_D2","SR_pau_D2","SR_ebw","SR_ecr","SR_stm","SR_seo","SR_pae","SR_pau","SR_score_ebw","SR_score_ecr","SR_score_stm","SR_score_seo","SR_score_pae","SR_score_pau","SR_score_total","HDC_ebw_D1","HDC_ecr_D1","HDC_stm_D1","HDC_seo_D1","HDC_pae_D1","HDC_pau_D1","LF_ebw_D1","LF_ecr_D1","LF_stm_D1","LF_seo_D1","LF_pae_D1","LF_pau_D1","HDC_ebw_D2","HDC_ecr_D2","HDC_stm_D2","HDC_seo_D2","HDC_pae_D2","HDC_pau_D2","LF_ebw_D2","LF_ecr_D2","LF_stm_D2","LF_seo_D2","LF_pae_D2","LF_pau_D2","clusters","sigma.rate","type","Drug1","Drug2"
"1","eco:b0084_eco:b0149","eco:b0084","eco:b0149","Amoxicillin_Aztreonam",1,15,15,15,1,15,15,15,0,0,0,"Amoxicillin-Aztreonam","AMX","ATM",1,"beta-lactam","beta-lactam","beta-lactam-beta-lactam",1,"cell wall","cell wall","cell wall-cell wall",1,"antibiotic","antibiotic","antibiotic-antibiotic",-0.524618664,-0.290350251,-0.29869208,-0.540616504,-0.072012457,0.054671314,"Synergy","Synergy","Synergy","Synergy","Additivity","Additivity",-1,-1,-1,-1,0,0,-4,"S","S","R","R","R","R","S","S","S","S","S","S","SS","SS","RS","RS","RS","RS",-1,-1,0,0,0,0,-2,2,2,0.3,0.3,4,4,0.45,0,0.84,0.76,0.89,0.92,0.05,0.05,0.05,0.05,3,5,0,0,0,0,0,0,14,0.00784670396122041,"Additivity-Synergy","Amoxicillin","Aztreonam"
"1","eco:b0084_eco:b3396","eco:b0084","eco:b3396","Amoxicillin_Aztreonam",1,15,15,15,1,15,15,15,0,0,0,"Amoxicillin-Aztreonam","AMX","ATM",1,"beta-lactam","beta-lactam","beta-lactam-beta-lactam",1,"cell wall","cell wall","cell wall-cell wall",1,"antibiotic","antibiotic","antibiotic-antibiotic",-0.524618664,-0.290350251,-0.29869208,-0.540616504,-0.072012457,0.054671314,"Synergy","Synergy","Synergy","Synergy","Additivity","Additivity",-1,-1,-1,-1,0,0,-4,"S","S","R","R","R","R","S","S","S","S","S","S","SS","SS","RS","RS","RS","RS",-1,-1,0,0,0,0,-2,2,2,0.3,0.3,4,4,0.45,0,0.84,0.76,0.89,0.92,0.05,0.05,0.05,0.05,3,5,0,0,0,0,0,0,14,0.00784670396122041,"Additivity-Synergy","Amoxicillin","Aztreonam"
"1","eco:b0149_eco:b3396","eco:b0149","eco:b3396","Amoxicillin_Aztreonam",1,15,15,15,1,15,15,15,0,0,0,"Amoxicillin-Aztreonam","AMX","ATM",1,"beta-lactam","beta-lactam","beta-lactam-beta-lactam",1,"cell wall","cell wall","cell wall-cell wall",1,"antibiotic","antibiotic","antibiotic-antibiotic",-0.524618664,-0.290350251,-0.29869208,-0.540616504,-0.072012457,0.054671314,"Synergy","Synergy","Synergy","Synergy","Additivity","Additivity",-1,-1,-1,-1,0,0,-4,"S","S","R","R","R","R","S","S","S","S","S","S","SS","SS","RS","RS","RS","RS",-1,-1,0,0,0,0,-2,2,2,0.3,0.3,4,4,0.45,0,0.84,0.76,0.89,0.92,0.05,0.05,0.05,0.05,3,5,0,0,0,0,0,0,14,0.00784670396122041,"Additivity-Synergy","Amoxicillin","Aztreonam"
"1","eco:b0084_eco:b0149","eco:b0084","eco:b0149","Amoxicillin_Cefaclor",1,15,15,15,1,15,15,15,0,0,0,"Amoxicillin-Cefaclor","AMX","CEC",1,"beta-lactam","beta-lactam","beta-lactam-beta-lactam",1,"cell wall","cell wall","cell wall-cell wall",1,"antibiotic","antibiotic","antibiotic-antibiotic",-0.472272507,-0.248875028,-0.513641019,-0.281048583,0.046779061,-0.031870194,"Synergy","Synergy","Synergy","Synergy","Additivity","Additivity",-1,-1,-1,-1,0,0,-4,"S","S","R","R","R","R","S","S","S","S","R","R","SS","SS","RS","RS","RR","RR",-1,-1,0,0,1,1,0,2,2,0.3,0.3,4,4,0.45,0,0.84,0.76,0.89,0.92,1,1,0.5,0.5,4,4,0.47,0.55,0,0,0.9,0.92,14,0.00784670396122041,"Additivity-Synergy","Amoxicillin","Cefaclor"
"1","eco:b0084_eco:b3396","eco:b0084","eco:b3396","Amoxicillin_Cefaclor",1,15,15,15,1,15,15,15,0,0,0,"Amoxicillin-Cefaclor","AMX","CEC",1,"beta-lactam","beta-lactam","beta-lactam-beta-lactam",1,"cell wall","cell wall","cell wall-cell wall",1,"antibiotic","antibiotic","antibiotic-antibiotic",-0.472272507,-0.248875028,-0.513641019,-0.281048583,0.046779061,-0.031870194,"Synergy","Synergy","Synergy","Synergy","Additivity","Additivity",-1,-1,-1,-1,0,0,-4,"S","S","R","R","R","R","S","S","S","S","R","R","SS","SS","RS","RS","RR","RR",-1,-1,0,0,1,1,0,2,2,0.3,0.3,4,4,0.45,0,0.84,0.76,0.89,0.92,1,1,0.5,0.5,4,4,0.47,0.55,0,0,0.9,0.92,14,0.00784670396122041,"Additivity-Synergy","Amoxicillin","Cefaclor"
"1","eco:b0149_eco:b3396","eco:b0149","eco:b3396","Amoxicillin_Cefaclor",1,15,15,15,1,15,15,15,0,0,0,"Amoxicillin-Cefaclor","AMX","CEC",1,"beta-lactam","beta-lactam","beta-lactam-beta-lactam",1,"cell wall","cell wall","cell wall-cell wall",1,"antibiotic","antibiotic","antibiotic-antibiotic",-0.472272507,-0.248875028,-0.513641019,-0.281048583,0.046779061,-0.031870194,"Synergy","Synergy","Synergy","Synergy","Additivity","Additivity",-1,-1,-1,-1,0,0,-4,"S","S","R","R","R","R","S","S","S","S","R","R","SS","SS","RS","RS","RR","RR",-1,-1,0,0,1,1,0,2,2,0.3,0.3,4,4,0.45,0,0.84,0.76,0.89,0.92,1,1,0.5,0.5,4,4,0.47,0.55,0,0,0.9,0.92,14,0.00784670396122041,"Additivity-Synergy","Amoxicillin","Cefaclor"
"1","eco:b0084_eco:b0149","eco:b0084","eco:b0149","Amoxicillin_Cefotaxime",1,15,15,15,1,15,15,15,0,0,0,"Amoxicillin-Cefotaxime","AMX","CTX",1,"beta-lactam","beta-lactam","beta-lactam-beta-lactam",1,"cell wall","cell wall","cell wall-cell wall",1,"antibiotic","antibiotic","antibiotic-antibiotic",-0.250080619,-0.327234559,-0.067229408,-0.059627303,0.212055174,-0.077344339,"Synergy","Synergy","Additivity","Additivity","Antagonism","Additivity",-1,-1,0,0,1,0,-1,"S","S","R","R","R","R","S","S","R","R","S","R","SS","SS","RR","RR","RS","RR",-1,-1,1,1,0,1,1,2,2,0.3,0.3,4,4,0.45,0,0.84,0.76,0.89,0.92,0.01,0.01,0.01,0.01,5,5,0.57,0.39,0.71,0.79,0,0.76,14,0.00784670396122041,"Additivity-Antagonism-Synergy","Amoxicillin","Cefotaxime"
"1","eco:b0084_eco:b3396","eco:b0084","eco:b3396","Amoxicillin_Cefotaxime",1,15,15,15,1,15,15,15,0,0,0,"Amoxicillin-Cefotaxime","AMX","CTX",1,"beta-lactam","beta-lactam","beta-lactam-beta-lactam",1,"cell wall","cell wall","cell wall-cell wall",1,"antibiotic","antibiotic","antibiotic-antibiotic",-0.250080619,-0.327234559,-0.067229408,-0.059627303,0.212055174,-0.077344339,"Synergy","Synergy","Additivity","Additivity","Antagonism","Additivity",-1,-1,0,0,1,0,-1,"S","S","R","R","R","R","S","S","R","R","S","R","SS","SS","RR","RR","RS","RR",-1,-1,1,1,0,1,1,2,2,0.3,0.3,4,4,0.45,0,0.84,0.76,0.89,0.92,0.01,0.01,0.01,0.01,5,5,0.57,0.39,0.71,0.79,0,0.76,14,0.00784670396122041,"Additivity-Antagonism-Synergy","Amoxicillin","Cefotaxime"
"1","eco:b0149_eco:b3396","eco:b0149","eco:b3396","Amoxicillin_Cefotaxime",1,15,15,15,1,15,15,15,0,0,0,"Amoxicillin-Cefotaxime","AMX","CTX",1,"beta-lactam","beta-lactam","beta-lactam-beta-lactam",1,"cell wall","cell wall","cell wall-cell wall",1,"antibiotic","antibiotic","antibiotic-antibiotic",-0.250080619,-0.327234559,-0.067229408,-0.059627303,0.212055174,-0.077344339,"Synergy","Synergy","Additivity","Additivity","Antagonism","Additivity",-1,-1,0,0,1,0,-1,"S","S","R","R","R","R","S","S","R","R","S","R","SS","SS","RR","RR","RS","RR",-1,-1,1,1,0,1,1,2,2,0.3,0.3,4,4,0.45,0,0.84,0.76,0.89,0.92,0.01,0.01,0.01,0.01,5,5,0.57,0.39,0.71,0.79,0,0.76,14,0.00784670396122041,"Additivity-Antagonism-Synergy","Amoxicillin","Cefotaxime"
"1","eco:b0084_eco:b0149","eco:b0084","eco:b0149","Amoxicillin_Cephalexin",1,15,15,15,1,15,15,15,0,0,0,"Amoxicillin-Cephalexin","AMX","LEX",1,"beta-lactam","beta-lactam","beta-lactam-beta-lactam",1,"cell wall","cell wall","cell wall-cell wall",1,"antibiotic","antibiotic","antibiotic-antibiotic",0.061360214,0.052226283,-0.081519808,-0.080239589,-0.057792451,-0.029760282,"Additivity","Additivity","Additivity","Additivity","Additivity","Additivity",0,0,0,0,0,0,0,"S","S","R","R","R","R","R","R","R","R","R","R","SR","SR","RR","RR","RR","RR",0,0,1,1,1,1,4,2,2,0.3,0.3,4,4,0.45,0,0.84,0.76,0.89,0.92,10,10,10,10,16,16,0.84,0.88,0.86,0.87,0.9,0.9,9,0.000821135662615308,"Additivity","Amoxicillin","Cephalexin"
