"node1"	"node2"	"genename_N1"
"b0351"	"acald"	"ACALD"
"b1241"	"acald"	"ACALD"
"b0351"	"accoa"	"ACALD"
"b1241"	"accoa"	"ACALD"
"b0351"	"coa"	"ACALD"
"b1241"	"coa"	"ACALD"
"b0351"	"h"	"ACALD"
"b1241"	"h"	"ACALD"
"b0351"	"nad"	"ACALD"
"b1241"	"nad"	"ACALD"
"b0351"	"nadh"	"ACALD"
"b1241"	"nadh"	"ACALD"
"s0001"	"acald"	"ACALDt"
"s0001"	"acald[e]"	"ACALDt"
"b1849"	"ac"	"ACKr"
"b2296"	"ac"	"ACKr"
"b3115"	"ac"	"ACKr"
"b1849"	"actp"	"ACKr"
"b2296"	"actp"	"ACKr"
"b3115"	"actp"	"ACKr"
"b1849"	"adp"	"ACKr"
"b2296"	"adp"	"ACKr"
"b3115"	"adp"	"ACKr"
"b1849"	"atp"	"ACKr"
"b2296"	"atp"	"ACKr"
"b3115"	"atp"	"ACKr"
"b0118"	"acon-C"	"ACONTa"
"b1276"	"acon-C"	"ACONTa"
"b0118"	"cit"	"ACONTa"
"b1276"	"cit"	"ACONTa"
"b0118"	"h2o"	"ACONTa"
"b1276"	"h2o"	"ACONTa"
"b0118"	"acon-C"	"ACONTb"
"b1276"	"acon-C"	"ACONTb"
"b0118"	"h2o"	"ACONTb"
"b1276"	"h2o"	"ACONTb"
"b0118"	"icit"	"ACONTb"
"b1276"	"icit"	"ACONTb"
""	"ac"	"ACt2r"
""	"ac(e)"	"ACt2r"
""	"h"	"ACt2r"
""	"h(e)"	"ACt2r"
"b0474"	"adp"	"ADK1"
"b0474"	"amp"	"ADK1"
"b0474"	"atp"	"ADK1"
"b0116"	"akg"	"AKGDH"
"b0726"	"akg"	"AKGDH"
"b0727"	"akg"	"AKGDH"
"b0116"	"co2"	"AKGDH"
"b0726"	"co2"	"AKGDH"
"b0727"	"co2"	"AKGDH"
"b0116"	"coa"	"AKGDH"
"b0726"	"coa"	"AKGDH"
"b0727"	"coa"	"AKGDH"
"b0116"	"nad"	"AKGDH"
"b0726"	"nad"	"AKGDH"
"b0727"	"nad"	"AKGDH"
"b0116"	"nadh"	"AKGDH"
"b0726"	"nadh"	"AKGDH"
"b0727"	"nadh"	"AKGDH"
"b0116"	"succoa"	"AKGDH"
"b0726"	"succoa"	"AKGDH"
"b0727"	"succoa"	"AKGDH"
"b2587"	"akg"	"AKGt2r"
"b2587"	"akg(e)"	"AKGt2r"
"b2587"	"h"	"AKGt2r"
"b2587"	"h(e)"	"AKGt2r"
"b0356"	"acald"	"ALCD2x"
"b1241"	"acald"	"ALCD2x"
"b1478"	"acald"	"ALCD2x"
"b0356"	"etoh"	"ALCD2x"
"b1241"	"etoh"	"ALCD2x"
"b1478"	"etoh"	"ALCD2x"
"b0356"	"h"	"ALCD2x"
"b1241"	"h"	"ALCD2x"
"b1478"	"h"	"ALCD2x"
"b0356"	"nad"	"ALCD2x"
"b1241"	"nad"	"ALCD2x"
"b1478"	"nad"	"ALCD2x"
"b0356"	"nadh"	"ALCD2x"
"b1241"	"nadh"	"ALCD2x"
"b1478"	"nadh"	"ALCD2x"
""	"adp"	"ATPM"
""	"atp"	"ATPM"
""	"h2o"	"ATPM"
""	"h"	"ATPM"
""	"pi"	"ATPM"
"b3731"	"adp"	"ATPS4r"
"b3732"	"adp"	"ATPS4r"
"b3733"	"adp"	"ATPS4r"
"b3734"	"adp"	"ATPS4r"
"b3735"	"adp"	"ATPS4r"
"b3736"	"adp"	"ATPS4r"
"b3737"	"adp"	"ATPS4r"
"b3738"	"adp"	"ATPS4r"
"b3739"	"adp"	"ATPS4r"
"b3731"	"atp"	"ATPS4r"
"b3732"	"atp"	"ATPS4r"
"b3733"	"atp"	"ATPS4r"
"b3734"	"atp"	"ATPS4r"
"b3735"	"atp"	"ATPS4r"
"b3736"	"atp"	"ATPS4r"
"b3737"	"atp"	"ATPS4r"
"b3738"	"atp"	"ATPS4r"
"b3739"	"atp"	"ATPS4r"
"b3731"	"h2o"	"ATPS4r"
"b3732"	"h2o"	"ATPS4r"
"b3733"	"h2o"	"ATPS4r"
"b3734"	"h2o"	"ATPS4r"
"b3735"	"h2o"	"ATPS4r"
"b3736"	"h2o"	"ATPS4r"
"b3737"	"h2o"	"ATPS4r"
"b3738"	"h2o"	"ATPS4r"
"b3739"	"h2o"	"ATPS4r"
"b3731"	"h"	"ATPS4r"
"b3732"	"h"	"ATPS4r"
"b3733"	"h"	"ATPS4r"
"b3734"	"h"	"ATPS4r"
"b3735"	"h"	"ATPS4r"
"b3736"	"h"	"ATPS4r"
"b3737"	"h"	"ATPS4r"
"b3738"	"h"	"ATPS4r"
"b3739"	"h"	"ATPS4r"
"b3731"	"h(e)"	"ATPS4r"
"b3732"	"h(e)"	"ATPS4r"
"b3733"	"h(e)"	"ATPS4r"
"b3734"	"h(e)"	"ATPS4r"
"b3735"	"h(e)"	"ATPS4r"
"b3736"	"h(e)"	"ATPS4r"
"b3737"	"h(e)"	"ATPS4r"
"b3738"	"h(e)"	"ATPS4r"
"b3739"	"h(e)"	"ATPS4r"
"b3731"	"pi"	"ATPS4r"
"b3732"	"pi"	"ATPS4r"
"b3733"	"pi"	"ATPS4r"
"b3734"	"pi"	"ATPS4r"
"b3735"	"pi"	"ATPS4r"
"b3736"	"pi"	"ATPS4r"
"b3737"	"pi"	"ATPS4r"
"b3738"	"pi"	"ATPS4r"
"b3739"	"pi"	"ATPS4r"
"s0001"	"co2"	"CO2t"
"s0001"	"co2(e)"	"CO2t"
"b0720"	"accoa"	"CS"
"b0720"	"cit"	"CS"
"b0720"	"coa"	"CS"
"b0720"	"h2o"	"CS"
"b0720"	"h"	"CS"
"b0720"	"oaa"	"CS"
"b0733"	"h2o"	"CYTBD"
"b0734"	"h2o"	"CYTBD"
"b0978"	"h2o"	"CYTBD"
"b0979"	"h2o"	"CYTBD"
"b0733"	"h"	"CYTBD"
"b0734"	"h"	"CYTBD"
"b0978"	"h"	"CYTBD"
"b0979"	"h"	"CYTBD"
"b0733"	"h(e)"	"CYTBD"
"b0734"	"h(e)"	"CYTBD"
"b0978"	"h(e)"	"CYTBD"
"b0979"	"h(e)"	"CYTBD"
"b0733"	"o2"	"CYTBD"
"b0734"	"o2"	"CYTBD"
"b0978"	"o2"	"CYTBD"
"b0979"	"o2"	"CYTBD"
"b0733"	"q8"	"CYTBD"
"b0734"	"q8"	"CYTBD"
"b0978"	"q8"	"CYTBD"
"b0979"	"q8"	"CYTBD"
"b0733"	"q8h2"	"CYTBD"
"b0734"	"q8h2"	"CYTBD"
"b0978"	"q8h2"	"CYTBD"
"b0979"	"q8h2"	"CYTBD"
""	"h"	"D.LACt2"
""	"h(e)"	"D.LACt2"
""	"lac-D"	"D.LACt2"
""	"lac-D(e)"	"D.LACt2"
"b2779"	"2pg"	"ENO"
"b2779"	"h2o"	"ENO"
"b2779"	"pep"	"ENO"
""	"etoh"	"ETOHt2r"
""	"etoh(e)"	"ETOHt2r"
""	"h"	"ETOHt2r"
""	"h(e)"	"ETOHt2r"
""	"ac(e)"	"EX_ac.e."
""	"acald[e]"	"EX_acald.e."
""	"akg(e)"	"EX_akg.e."
""	"co2(e)"	"EX_co2.e."
""	"etoh(e)"	"EX_etoh.e."
""	"for(e)"	"EX_for.e."
""	"fru[e]"	"EX_fru.e."
""	"fum(e)"	"EX_fum.e."
""	"glc-D(e)"	"EX_glc.e."
""	"gln-L(e)"	"EX_gln_L.e."
""	"glu-L(e)"	"EX_glu_L.e."
""	"h(e)"	"EX_h.e."
""	"h2o(e)"	"EX_h2o.e."
""	"lac-D(e)"	"EX_lac_D.e."
""	"mal-L[e]"	"EX_mal_L.e."
""	"nh4(e)"	"EX_nh4.e."
""	"o2(e)"	"EX_o2.e."
""	"pi(e)"	"EX_pi.e."
""	"pyr(e)"	"EX_pyr.e."
""	"succ(e)"	"EX_succ.e."
"b1773"	"dhap"	"FBA"
"b2097"	"dhap"	"FBA"
"b2925"	"dhap"	"FBA"
"b1773"	"fdp"	"FBA"
"b2097"	"fdp"	"FBA"
"b2925"	"fdp"	"FBA"
"b1773"	"g3p"	"FBA"
"b2097"	"g3p"	"FBA"
"b2925"	"g3p"	"FBA"
"b3925"	"f6p"	"FBP"
"b4232"	"f6p"	"FBP"
"b3925"	"fdp"	"FBP"
"b4232"	"fdp"	"FBP"
"b3925"	"h2o"	"FBP"
"b4232"	"h2o"	"FBP"
"b3925"	"pi"	"FBP"
"b4232"	"pi"	"FBP"
"b0904"	"for"	"FORt2"
"b2492"	"for"	"FORt2"
"b0904"	"for(e)"	"FORt2"
"b2492"	"for(e)"	"FORt2"
"b0904"	"h"	"FORt2"
"b2492"	"h"	"FORt2"
"b0904"	"h(e)"	"FORt2"
"b2492"	"h(e)"	"FORt2"
"b0904"	"for"	"FORti"
"b2492"	"for"	"FORti"
