"drug_pair","network","clusters","sigma.rate","mean.path.length","mean.k.edge","mean.min.degree","mean.max.degree","mean.mean.degree"
"Amoxicillin_Aztreonam","CC.EcoliNet.v1.2296gene.50528link.txt","13",57.2922091096811,1,NA,83,139,111
"Amoxicillin_Aztreonam","CX.INT.EcoliNet.v1.4039gene.67494link.txt","13",57.2922091096811,2,NA,19,50,35
"Amoxicillin_Aztreonam","DC.EcoliNet.2283gene.9643link.txt","13",57.2922091096811,Inf,NA,2,2,2
"Amoxicillin_Aztreonam","EcoCyc.goldstandardset.txt","13",57.2922091096811,0,NA,15,15,15
"Amoxicillin_Aztreonam","EcoliNet.v1.benchmark.txt","13",57.2922091096811,1,NA,43,58,50
"Amoxicillin_Aztreonam","EcoliNet.v1.txt","13",57.2922091096811,1,NA,54,78,66
"Amoxicillin_Aztreonam","GN.INT.EcoliNet.3568gene.23439link.txt","13",57.2922091096811,2,NA,14,22,18
"Amoxicillin_Aztreonam","GO-BP.goldstandardset.txt","13",57.2922091096811,1,NA,39,53,46
"Amoxicillin_Aztreonam","HT.INT.EcoliNet.3209gene.15543link.txt","13",57.2922091096811,3,NA,11,31,21
"Amoxicillin_Aztreonam","LC.INT.EcoliNet.764gene.1073link.txt","13",57.2922091096811,2,NA,3,6,5
"Amoxicillin_Aztreonam","PG.INT.EcoliNet.v1.1817gene.17504link.txt","13",57.2922091096811,4,NA,2,2,2
"Amoxicillin_Cefaclor","CC.EcoliNet.v1.2296gene.50528link.txt","13",57.2922091096811,1,NA,83,139,111
"Amoxicillin_Cefaclor","CX.INT.EcoliNet.v1.4039gene.67494link.txt","13",57.2922091096811,2,NA,19,50,35
"Amoxicillin_Cefaclor","DC.EcoliNet.2283gene.9643link.txt","13",57.2922091096811,Inf,NA,2,2,2
"Amoxicillin_Cefaclor","EcoCyc.goldstandardset.txt","13",57.2922091096811,0,NA,15,15,15
"Amoxicillin_Cefaclor","EcoliNet.v1.benchmark.txt","13",57.2922091096811,1,NA,43,58,50
"Amoxicillin_Cefaclor","EcoliNet.v1.txt","13",57.2922091096811,1,NA,54,78,66
"Amoxicillin_Cefaclor","GN.INT.EcoliNet.3568gene.23439link.txt","13",57.2922091096811,2,NA,14,22,18
"Amoxicillin_Cefaclor","GO-BP.goldstandardset.txt","13",57.2922091096811,1,NA,39,53,46
"Amoxicillin_Cefaclor","HT.INT.EcoliNet.3209gene.15543link.txt","13",57.2922091096811,3,NA,11,31,21
"Amoxicillin_Cefaclor","LC.INT.EcoliNet.764gene.1073link.txt","13",57.2922091096811,2,NA,3,6,5
"Amoxicillin_Cefaclor","PG.INT.EcoliNet.v1.1817gene.17504link.txt","13",57.2922091096811,4,NA,2,2,2
"Amoxicillin_Cefotaxime","CC.EcoliNet.v1.2296gene.50528link.txt","13",57.2922091096811,1,NA,83,139,111
"Amoxicillin_Cefotaxime","CX.INT.EcoliNet.v1.4039gene.67494link.txt","13",57.2922091096811,2,NA,19,50,35
"Amoxicillin_Cefotaxime","DC.EcoliNet.2283gene.9643link.txt","13",57.2922091096811,Inf,NA,2,2,2
"Amoxicillin_Cefotaxime","EcoCyc.goldstandardset.txt","13",57.2922091096811,0,NA,15,15,15
"Amoxicillin_Cefotaxime","EcoliNet.v1.benchmark.txt","13",57.2922091096811,1,NA,43,58,50
"Amoxicillin_Cefotaxime","EcoliNet.v1.txt","13",57.2922091096811,1,NA,54,78,66
"Amoxicillin_Cefotaxime","GN.INT.EcoliNet.3568gene.23439link.txt","13",57.2922091096811,2,NA,14,22,18
"Amoxicillin_Cefotaxime","GO-BP.goldstandardset.txt","13",57.2922091096811,1,NA,39,53,46
"Amoxicillin_Cefotaxime","HT.INT.EcoliNet.3209gene.15543link.txt","13",57.2922091096811,3,NA,11,31,21
"Amoxicillin_Cefotaxime","LC.INT.EcoliNet.764gene.1073link.txt","13",57.2922091096811,2,NA,3,6,5
"Amoxicillin_Cefotaxime","PG.INT.EcoliNet.v1.1817gene.17504link.txt","13",57.2922091096811,4,NA,2,2,2
"Amoxicillin_Cephalexin","CC.EcoliNet.v1.2296gene.50528link.txt","7",5.2561115902358,1,NA,83,139,111
"Amoxicillin_Cephalexin","CX.INT.EcoliNet.v1.4039gene.67494link.txt","7",5.2561115902358,2,NA,19,50,35
"Amoxicillin_Cephalexin","DC.EcoliNet.2283gene.9643link.txt","7",5.2561115902358,Inf,NA,2,2,2
"Amoxicillin_Cephalexin","EcoCyc.goldstandardset.txt","7",5.2561115902358,0,NA,15,15,15
"Amoxicillin_Cephalexin","EcoliNet.v1.benchmark.txt","7",5.2561115902358,1,NA,43,58,50
"Amoxicillin_Cephalexin","EcoliNet.v1.txt","7",5.2561115902358,1,NA,54,78,66
"Amoxicillin_Cephalexin","GN.INT.EcoliNet.3568gene.23439link.txt","7",5.2561115902358,2,NA,14,22,18
"Amoxicillin_Cephalexin","GO-BP.goldstandardset.txt","7",5.2561115902358,1,NA,39,53,46
"Amoxicillin_Cephalexin","HT.INT.EcoliNet.3209gene.15543link.txt","7",5.2561115902358,3,NA,11,31,21
