"Drug1_Drug2","mean.path.length","mean.k.edge","mean.min.degree","mean.max.degree","mean.mean.degree","network"
"Amoxicillin_Aztreonam",1,15,15,15,15,"EcoCyc.goldstandardset.txt"
"Amoxicillin_Cefaclor",1,15,15,15,15,"EcoCyc.goldstandardset.txt"
"Amoxicillin_Cefotaxime",1,15,15,15,15,"EcoCyc.goldstandardset.txt"
"Amoxicillin_Cephalexin",1,15,15,15,15,"EcoCyc.goldstandardset.txt"
"Amoxicillin_Fosfomycin",1,15,15,15,15,"EcoCyc.goldstandardset.txt"
"Amoxicillin_Imipenem",1,15,15,15,15,"EcoCyc.goldstandardset.txt"
"Amoxicillin_Meropenem",1,15,15,15,15,"EcoCyc.goldstandardset.txt"
"Amoxicillin_Penicillin G",1,15,15,15,15,"EcoCyc.goldstandardset.txt"
"Amoxicillin_Piperacillin",1,15,15,15,15,"EcoCyc.goldstandardset.txt"
"Aztreonam_Cefaclor",1,15,15,15,15,"EcoCyc.goldstandardset.txt"
"Aztreonam_Cefotaxime",1,15,15,15,15,"EcoCyc.goldstandardset.txt"
"Aztreonam_Cephalexin",1,15,15,15,15,"EcoCyc.goldstandardset.txt"
"Aztreonam_Fosfomycin",1,15,15,15,15,"EcoCyc.goldstandardset.txt"
"Aztreonam_Imipenem",1,15,15,15,15,"EcoCyc.goldstandardset.txt"
"Aztreonam_Meropenem",1,15,15,15,15,"EcoCyc.goldstandardset.txt"
"Aztreonam_Penicillin G",1,15,15,15,15,"EcoCyc.goldstandardset.txt"
"Aztreonam_Piperacillin",1,15,15,15,15,"EcoCyc.goldstandardset.txt"
"Cefaclor_Cefotaxime",1,15,15,15,15,"EcoCyc.goldstandardset.txt"
"Cefaclor_Cephalexin",1,15,15,15,15,"EcoCyc.goldstandardset.txt"
"Cefaclor_Fosfomycin",1,15,15,15,15,"EcoCyc.goldstandardset.txt"
"Cefaclor_Imipenem",1,15,15,15,15,"EcoCyc.goldstandardset.txt"
"Cefaclor_Meropenem",1,15,15,15,15,"EcoCyc.goldstandardset.txt"
"Cefaclor_Penicillin G",1,15,15,15,15,"EcoCyc.goldstandardset.txt"
"Cefaclor_Piperacillin",1,15,15,15,15,"EcoCyc.goldstandardset.txt"
"Cefotaxime_Cephalexin",1,15,15,15,15,"EcoCyc.goldstandardset.txt"
"Cefotaxime_Fosfomycin",1,15,15,15,15,"EcoCyc.goldstandardset.txt"
"Cefotaxime_Imipenem",1,15,15,15,15,"EcoCyc.goldstandardset.txt"
"Cefotaxime_Meropenem",1,15,15,15,15,"EcoCyc.goldstandardset.txt"
"Cefotaxime_Penicillin G",1,15,15,15,15,"EcoCyc.goldstandardset.txt"
"Cefotaxime_Piperacillin",1,15,15,15,15,"EcoCyc.goldstandardset.txt"
"Cephalexin_Fosfomycin",1,15,15,15,15,"EcoCyc.goldstandardset.txt"
"Cephalexin_Imipenem",1,15,15,15,15,"EcoCyc.goldstandardset.txt"
"Cephalexin_Meropenem",1,15,15,15,15,"EcoCyc.goldstandardset.txt"
"Cephalexin_Penicillin G",1,15,15,15,15,"EcoCyc.goldstandardset.txt"
"Cephalexin_Piperacillin",1,15,15,15,15,"EcoCyc.goldstandardset.txt"
"Flucytosine_Sulfamonomethoxine",2,3,3,29,16,"EcoCyc.goldstandardset.txt"
"Fosfomycin_Imipenem",1,15,15,15,15,"EcoCyc.goldstandardset.txt"
"Fosfomycin_Meropenem",1,15,15,15,15,"EcoCyc.goldstandardset.txt"
"Fosfomycin_Penicillin G",1,15,15,15,15,"EcoCyc.goldstandardset.txt"
"Fosfomycin_Piperacillin",1,15,15,15,15,"EcoCyc.goldstandardset.txt"
"Imipenem_Meropenem",1,15,15,15,15,"EcoCyc.goldstandardset.txt"
"Imipenem_Penicillin G",1,15,15,15,15,"EcoCyc.goldstandardset.txt"
"Imipenem_Piperacillin",1,15,15,15,15,"EcoCyc.goldstandardset.txt"
"Meropenem_Penicillin G",1,15,15,15,15,"EcoCyc.goldstandardset.txt"
"Meropenem_Piperacillin",1,15,15,15,15,"EcoCyc.goldstandardset.txt"
"Penicillin G_Piperacillin",1,15,15,15,15,"EcoCyc.goldstandardset.txt"
"A22_Amoxicillin",2,79,79,99,89,"EcoliNet.v1.txt"
"A22_Aztreonam",2,79,79,99,89,"EcoliNet.v1.txt"
"A22_Cefaclor",2,79,79,99,89,"EcoliNet.v1.txt"
"A22_Cefotaxime",2,79,79,99,89,"EcoliNet.v1.txt"
"A22_Cephalexin",2,79,79,99,89,"EcoliNet.v1.txt"
"A22_Ciprofloxacin",1,46,46,99,72,"EcoliNet.v1.txt"
"A22_Clindamycin",2,99,99,148,124,"EcoliNet.v1.txt"
"A22_Doxycycline",2,99,99,280,190,"EcoliNet.v1.txt"
"A22_Fusidic acid",2,32,32,99,66,"EcoliNet.v1.txt"
"A22_Imipenem",2,79,79,99,89,"EcoliNet.v1.txt"
