node1,node2
b1676,b1854
b0344,b3076
b0002,b3940
b2028,b3787
b0092,b0381
b0714,b3635
b2048,b3176
b0450,b2553
b2465,b2935
b1656,b3908
b1190,b4053
b0039,b1695
b0344,b1617
b1617,b3076
b1734,b4119
b0015,b1000
b1095,b2323
b1334,b3357
b1494,b2821
b3339,b3980
b0447,b3743
b0509,b3125
b1202,b2647
b0123,b3017
b1475,b3893
b1493,b3517
b2161,b2164
b2890,b4129
b0825,b3946
b0421,b3187
b0875,b3927
b0161,b3234
b2224,b2844
b0480,b4213
b0447,b0889
b0889,b3743
b0042,b1698
b0525,b3363
b1612,b4122
b4378,b4483
b1902,b1905
b0106,b3327
b0145,b0803
b0053,b0441
b2416,b2829
b2161,b2393
b2164,b2393
b2979,b4463
b0273,b4254
b2487,b2721
b1397,b2224
b1397,b2844
b2224,b2342
b2224,b3845
b2342,b2844
b2844,b3845
b0632,b0839
b0632,b2010
b0839,b2010
b1748,b3359
b0231,b1184
b1297,b3870
b1048,b1424
b0039,b4187
b1695,b4187
b2416,b3947
b3113,b4243
b1907,b3161
b1907,b3709
b3161,b3709
b1100,b4378
b1100,b4483
b2126,b2380
b0928,b4054
b0872,b1803
b0269,b4297
b1494,b3527
b2821,b3527
b0619,b4125
b3106,b3439
b2235,b2676
b1084,b3247
b2425,b3917
b0823,b3951
b0903,b3114
b1086,b2594
b2196,b4074
b2870,b4245
b1335,b2213
b1263,b3360
b0041,b1697
b0077,b3671
b1542,b2172
b1542,b4323
b2172,b4323
b0008,b2464
b0126,b0339
b0197,b3661
b0336,b0511
b0350,b1180
b0514,b3124
b0545,b0773
b0627,b3836
b0982,b2061
b1363,b3849
b1536,b3024
b1818,b3139
b1819,b3140
b1864,b1983
b2239,b3449
b2296,b3115
b2303,b3058
b2726,b2991
b2728,b2990
b2782,b4225
b3417,b3428
b3458,b3460
b3626,b3627
b0593,b2265
b1197,b3519
b0662,b2906
b0678,b3141
b0678,b3718
b1034,b1266
b3141,b3718
b0116,b0304
b0304,b3500
b1802,b2538
b1183,b4043
b0996,b1873
b3380,b4383
b0684,b2895
b0950,b1833
b1421,b1885
b1421,b1886
b1421,b4355
b1885,b1886
b1885,b4355
b1886,b4355
b2092,b4304
b1474,b3894
b2742,b2865
b0465,b1330
b0465,b4159
b1330,b4159
b1222,b2469
b0285,b2867
b1814,b2797
b1814,b4471
b2797,b4471
b1158,b1374
b1158,b1545
b1374,b1545
b0693,b2965
b4463,b4468
b0128,b0792
b0981,b2060
b1343,b3162
b1224,b1468
b0186,b4117
b0186,b4131
b4117,b4131
b4218,b4461
b1334,b2163
b0186,b0693
b0186,b2965
b0693,b4117
b0693,b4131
b2965,b4117
b2965,b4131
b2287,b2489
b2287,b2719
b2415,b3206
b2489,b2719
b2495,b3503
b1007,b1462
b1542,b3600
b2172,b3600
b3600,b4323
b0572,b4080
b0621,b3227
b0975,b2993
b1054,b2378
b1636,b2418
b2173,b4352
b0241,b0929
b0241,b2215
b0929,b2215
b0177,b4220
b1507,b4385
b1677,b3014
b2972,b3335
b3686,b3687
b0662,b2907
b2906,b2907
b1269,b2183
b1269,b4022
b2183,b4022
b1856,b2742
b1856,b2865
b2736,b3882
b2169,b2415
b2169,b3206
b1341,b2067
b2979,b4468
b2163,b3357
b2319,b3433
b0724,b4153
b2933,b3599
b2882,b2888
b0599,b3945
b1341,b1489
b2582,b3781
b0464,b3264
b0709,b1634
b0709,b4130
b1634,b4130
b2716,b2901
b2716,b3721
b2901,b3721
b0894,b1587
b0894,b1588
b1587,b1588
b0291,b1372
b1372,b1547
b0465,b2924
b1330,b2924
b2924,b4159
b2096,b3137
b0268,b4298
b0184,b1034
b0184,b1266
b0285,b2880
b2867,b2880
b0800,b1263
b0207,b3012
b0709,b3496
b1634,b3496
b3496,b4130
b2278,b2484
b0355,b2154
b0388,b3390
b0973,b2994
b0983,b2062
b2121,b3745
b3437,b4268
b3528,b4077
b0440,b4000
b0497,b0700
b0497,b3482
b0497,b3593
b0700,b3482
b0700,b3593
b3482,b3593
b0042,b2769
b1698,b2769
b2438,b2457
b0972,b2997
b0570,b1968
b2468,b2887
b0150,b0584
b0150,b1102
b0584,b1102
b1257,b1258
b1302,b2662
b2167,b3899
b1325,b1581
b1325,b2247
b1325,b2788
b1325,b4478
b1581,b2247
b1581,b2788
b1581,b4478
b2247,b2788
b2247,b4478
b2788,b4478
b0811,b0860
b0778,b1593
b1226,b1466
b3347,b4207
b0650,b2069
b3582,b4197
b2708,b3197
b0410,b1159
b1101,b2715
b1234,b4377
b1621,b2715
b2715,b4240
b3091,b3128
b0509,b2736
b0509,b3882
b2736,b3125
b3125,b3882
b1392,b3844
b1135,b1269
b1135,b2183
b1135,b4022
b0800,b4382
b2552,b3844
b0061,b3583
b2532,b4403
b0040,b0314
b0040,b1801
b0155,b1592
b0284,b2866
b0314,b1801
b2009,b3023
b2282,b2483
b2282,b2722
b2483,b2722
b3133,b3138
b3150,b4376
b0855,b1126
b0414,b2559
b2143,b2559
b0607,b1376
b1202,b2000
b2000,b2647
b0679,b2715
b2715,b3722
b1145,b1183
b0320,b0518
b0047,b0478
b1476,b3892
b2039,b3789
b1317,b2690
b0741,b3552
b0150,b4291
b0584,b4291
b1102,b4291
b0009,b0782
b0009,b0827
b0439,b0955
b1816,b2063
b3666,b3667
b0731,b2167
b0731,b3899
b0084,b0635
b0268,b2478
b0268,b3225
b2478,b4298
b3225,b4298
b3656,b3878
b0895,b1589
b2009,b4396
b3023,b4396
b0465,b0808
b0808,b1330
b0808,b4159
b0483,b1477
b1518,b3029
b1757,b2521
b1337,b1338
b0440,b0912
b0440,b1712
b0912,b4000
b1015,b3679
b1712,b4000
b3258,b3679
b3679,b4067
b0077,b0871
b0871,b3671
b1502,b4320
b1872,b3551
b0478,b3350
b1838,b2734
b2467,b3034
b2665,b3150
b2665,b4376
b0571,b1969
b2041,b3788
b0754,b1704
b0754,b2601
b1704,b2601
b2398,b2399
b1393,b2919
b0957,b3552
b0841,b1278
b0841,b2174
b1278,b2174
b2742,b3613
b2865,b3613
b3546,b3955
b3546,b4114
b3955,b4114
b0797,b2576
b0797,b3780
b2576,b3780
b1116,b1118
b0014,b0650
b0014,b2069
b0650,b2526
b2069,b2526
b0485,b1524
b0824,b4379
b1809,b3113
b1809,b4243
b2000,b2233
b2125,b2381
b0824,b3952
b2140,b3260
b2140,b4049
b1202,b1664
b1664,b2647
b0441,b3775
b1145,b4043
b0341,b1791
b2322,b3473
b0997,b1872
b1723,b2168
b0155,b2389
b0318,b4017
b1592,b2389
b0318,b3790
b0808,b2924
b1856,b3613
b1223,b1469
b1225,b1467
b1010,b1809
b1817,b3133
b1817,b3138
b0150,b0805
b0584,b0805
b0805,b1102
b0826,b2812
b2812,b3992
b2841,b2943
