From	To
O00217	4728
O00483	4697
O14561	4706
O15239	4694
O15554	3783
O43181	4724
O43497	8913
O43674	4711
O43676	4709
O43677	4717
O43678	4695
O43920	4725
O60840	778
O75251	374291
O75306	4720
O75380	4726
O75438	4707
O75489	4722
O95139	4712
O95167	4696
O95168	4710
O95169	4714
O95178	4708
O95180	8912
O95182	4701
O95298	4718
O95299	4705
O96000	4716
P02918	947907
P02919	944843
P03886	4535
P03891	4536
P03897	4537
P03901	4539
P03905	4538
P03915	4540
P03923	4541
P03956	4312
P08506	945455
P09237	4316
P0A4L9	60234325
P0A6M4	61755761
P0A6M4	948378
P0A749	61751975
P0A749	947703
P0A7J6	1025180
P0A7J6	61756337
P0A7V8	61756389
P0A7V8	947793
P0A7X3	60373613
P0A7X3	64293309
P0A7X3	949000
P0A8T7	61756340
P0A8T7	948487
P0A8V2	61756339
P0A8V2	948488
P0A9X4	62495298
P0A9X4	64728064
P0A9X4	948588
P0ABQ4	61752704
P0ABQ4	944790
P0AC13	61751987
P0AC13	947691
P0AD65	61756018
P0AD65	945240
P0AD68	61752669
P0AD68	944799
P0AEB2	61756015
P0AEB2	945222
P0AEK4	61756153
P0AEK4	945870
P0AES4	61754529
P0AES4	946614
P0AES6	61752852
P0AES6	948211
P0AFI2	61752141
P0AFI2	947499
P0CS13	4938566
P0DMS8	140
P11388	7153
P12461	3643463
P15056	673
P17568	4713
P19404	4729
P20083	61752133
P20083	947501
P22894	4317
P23219	5742
P24228	947693
P26358	1786
P27815	5141
P28331	4719
P29274	135
P29275	136
P30542	134
P35354	5743
P35372	4988
P35498	6323
P35499	6329
P43304	2820
P45452	4322
P49821	4723
P51970	4702
P56181	4731
P56556	4700
Q01118	6332
Q01668	776
Q05940	6571
Q07343	5142
Q08493	5143
Q08499	5144
Q09472	2033
Q13370	5140
Q13627	1859
Q13698	779
Q13936	775
Q14432	5139
Q14524	6331
Q15858	6335
Q16718	4698
Q16795	4704
Q495M3	153201
Q495N2	285641
Q53725	3920705
Q5HK03	50017419
Q6YBV0	120103
Q7Z2H8	206358
Q86VL8	146802
Q86Y39	126328
Q8N183	91942
Q8NET8	162514
Q92831	8850
Q96FL8	55244
Q99250	6326
Q9BU61	25915
Q9NRX3	56901
Q9NX14	54539
Q9NY46	6328
Q9P032	29078
Q9P0J0	51079
Q9P0X4	8911
Q9UI09	55967
Q9UI33	11280
Q9UQD0	6334
Q9Y375	51103
Q9Y5Y9	6336
Q9Y6M9	4715
