drug_pair,Drug1,Drug2,clusters
A22_Acetylsalisylic acid,A22,Acetylsalisylic acid,1
A22_Amikacin,A22,Amikacin,3
A22_Amoxicillin,A22,Amoxicillin,2
A22_Azithromycin,A22,Azithromycin,4
A22_Aztreonam,A22,Aztreonam,2
A22_Bacitracin,A22,Bacitracin,2
A22_Benzalkonium,A22,Benzalkonium,4
A22_Berberine,A22,Berberine,1
A22_Bleomycin,A22,Bleomycin,2
A22_Caffeine,A22,Caffeine,4
A22_CCCP,A22,CCCP,2
A22_Cefaclor,A22,Cefaclor,2
A22_Cefotaxime,A22,Cefotaxime,2
A22_Cefsulodin,A22,Cefsulodin,3
A22_Cephalexin,A22,Cephalexin,3
A22_Cerulenin,A22,Cerulenin,3
A22_CHIR-90,A22,CHIR-90,1
A22_Chloramphenicol,A22,Chloramphenicol,1
A22_Chlorhexidine,A22,Chlorhexidine,2
A22_Ciclopirox,A22,Ciclopirox,2
A22_Ciprofloxacin,A22,Ciprofloxacin,3
A22_Clarithromycin,A22,Clarithromycin,4
A22_Clindamycin,A22,Clindamycin,2
A22_Clofazimine,A22,Clofazimine,3
A22_Colistin,A22,Colistin,1
A22_Curcumin,A22,Curcumin,1
A22_Cycloserine D,A22,Cycloserine D,2
A22_Daptomycin,A22,Daptomycin,3
A22_Diclofenac,A22,Diclofenac,4
A22_Doxorubicin,A22,Doxorubicin,3
A22_Doxycycline,A22,Doxycycline,1
A22_EGCG,A22,EGCG,4
A22_Erythromycin,A22,Erythromycin,4
A22_Fosfomycin,A22,Fosfomycin,1
A22_Fusidic acid,A22,Fusidic acid,2
A22_Gentamicin,A22,Gentamicin,1
A22_Imipenem,A22,Imipenem,2
A22_Levofloxacin,A22,Levofloxacin,3
A22_Linezolid,A22,Linezolid,1
A22_Loperamide,A22,Loperamide,1
A22_Mecillinam,A22,Mecillinam,2
A22_Meropenem,A22,Meropenem,2
A22_Metformin,A22,Metformin,1
A22_Metronidazole,A22,Metronidazole,3
A22_Minocycline,A22,Minocycline,3
A22_Mitomycin C,A22,Mitomycin C,1
A22_Moxifloxacin,A22,Moxifloxacin,1
A22_Nisin,A22,Nisin,3
A22_Nitrofurantoin,A22,Nitrofurantoin,1
A22_Nonactin,A22,Nonactin,1
A22_Novobiocin,A22,Novobiocin,2
A22_Oxacillin,A22,Oxacillin,2
A22_Paraquat,A22,Paraquat,4
A22_Penicillin G,A22,Penicillin G,2
A22_Phenformin,A22,Phenformin,2
A22_Phleomycin,A22,Phleomycin,2
A22_Piperacillin,A22,Piperacillin,2
A22_Polymyxin B,A22,Polymyxin B,1
A22_Procaine,A22,Procaine,1
A22_Puromycin,A22,Puromycin,1
A22_Reserpine,A22,Reserpine,1
A22_Rifampicin,A22,Rifampicin,1
A22_Spectinomycin,A22,Spectinomycin,1
A22_Spiramycin,A22,Spiramycin,3
A22_Streptozotocin,A22,Streptozotocin,1
A22_Sulfamonomethoxine,A22,Sulfamonomethoxine,3
A22_Teicoplanin,A22,Teicoplanin,3
A22_Theophylline,A22,Theophylline,3
A22_Tigecycline,A22,Tigecycline,3
A22_Tobramycin,A22,Tobramycin,2
A22_Triclosan,A22,Triclosan,2
A22_Trimethoprim,A22,Trimethoprim,3
A22_Vanillin,A22,Vanillin,1
A22_Verapamil,A22,Verapamil,2
Acetylsalisylic acid_Amikacin,Acetylsalisylic acid,Amikacin,2
Acetylsalisylic acid_Amoxicillin,Acetylsalisylic acid,Amoxicillin,2
Acetylsalisylic acid_Aztreonam,Acetylsalisylic acid,Aztreonam,1
Acetylsalisylic acid_Bacitracin,Acetylsalisylic acid,Bacitracin,2
Acetylsalisylic acid_Benzalkonium,Acetylsalisylic acid,Benzalkonium,2
