"drugdrug","drug_pair","clusters"
"Imipenem-Teicoplanin","Imipenem_Teicoplanin",1
"Imipenem-Metronidazole","Imipenem_Metronidazole",2
"Imipenem-Mitomycin C","Imipenem_Mitomycin C",3
"Imipenem-Levofloxacin","Imipenem_Levofloxacin",1
"Imipenem-Sulfamonomethoxine","Imipenem_Sulfamonomethoxine",2
"Imipenem-Nisin","Imipenem_Nisin",3
"Imipenem-Nonactin","Imipenem_Nonactin",1
"Imipenem-Paraquat","Imipenem_Paraquat",2
"Imipenem-Linezolid","Imipenem_Linezolid",1
"Imipenem-Tigecycline","Imipenem_Tigecycline",3
"Imipenem-Spiramycin","Imipenem_Spiramycin",1
"Imipenem-Reserpine","Imipenem_Reserpine",1
"Imipenem-Procaine","Imipenem_Procaine",1
"Imipenem-Theophylline","Imipenem_Theophylline",3
"Imipenem-Verapamil","Imipenem_Verapamil",2
"Imipenem-Meropenem","Imipenem_Meropenem",2
"Imipenem-Triclosan","Imipenem_Triclosan",2
"Imipenem-Metformin","Imipenem_Metformin",1
"Aztreonam-Imipenem","Aztreonam_Imipenem",2
"Aztreonam-Cephalexin","Aztreonam_Cephalexin",1
"Aztreonam-Teicoplanin","Aztreonam_Teicoplanin",1
"Aztreonam-Bacitracin","Aztreonam_Bacitracin",2
"Aztreonam-Metronidazole","Aztreonam_Metronidazole",2
"Aztreonam-Clofazimine","Aztreonam_Clofazimine",3
"Aztreonam-Doxorubicin","Aztreonam_Doxorubicin",2
"Aztreonam-Mitomycin C","Aztreonam_Mitomycin C",1
"Aztreonam-Ciprofloxacin","Aztreonam_Ciprofloxacin",1
"Aztreonam-Levofloxacin","Aztreonam_Levofloxacin",1
"Aztreonam-Sulfamonomethoxine","Aztreonam_Sulfamonomethoxine",3
"Aztreonam-Cerulenin","Aztreonam_Cerulenin",3
"Aztreonam-Nisin","Aztreonam_Nisin",2
"Aztreonam-Daptomycin","Aztreonam_Daptomycin",3
"Aztreonam-Nonactin","Aztreonam_Nonactin",3
"Aztreonam-Paraquat","Aztreonam_Paraquat",1
"Aztreonam-Linezolid","Aztreonam_Linezolid",3
"Aztreonam-Tigecycline","Aztreonam_Tigecycline",3
"Aztreonam-Spiramycin","Aztreonam_Spiramycin",4
"Aztreonam-Erythromycin","Aztreonam_Erythromycin",1
"Aztreonam-Clarithromycin","Aztreonam_Clarithromycin",1
"Aztreonam-Caffeine","Aztreonam_Caffeine",1
"Aztreonam-Reserpine","Aztreonam_Reserpine",1
