From	To
O00217	hsa:4728
O00483	hsa:4697
O14561	hsa:4706
O15239	hsa:4694
O15554	hsa:3783
O43181	hsa:4724
O43497	hsa:8913
O43674	hsa:4711
O43676	hsa:4709
O43677	hsa:4717
O43678	hsa:4695
O43920	hsa:4725
O60840	hsa:778
O75251	hsa:374291
O75306	hsa:4720
O75380	hsa:4726
O75438	hsa:4707
O75489	hsa:4722
O95139	hsa:4712
O95167	hsa:4696
O95168	hsa:4710
O95169	hsa:4714
O95178	hsa:4708
O95180	hsa:8912
O95182	hsa:4701
O95298	hsa:4718
O95299	hsa:4705
O96000	hsa:4716
P02918	ecj:JW3359
P02918	eco:b3396
P02919	ecj:JW0145
P02919	eco:b0149
P03886	hsa:4535
P03891	hsa:4536
P03897	hsa:4537
P03901	hsa:4539
P03905	hsa:4538
P03915	hsa:4540
P03923	hsa:4541
P03956	hsa:4312
P08506	ecj:JW0823
P08506	eco:b0839
P09237	hsa:4316
P0A4L9	spn:SP_0806
P0A6M4	ecj:JW3858
P0A6M4	eco:b3887
P0A749	ecj:JW3156
P0A749	eco:b3189
P0A7J6	sfl:SF4058
P0A7J6	sfx:S3677
P0A7V8	ecj:JW3258
P0A7V8	eco:b3296
P0A7X3	ecj:JW3199
P0A7X3	eco:b3230
P0A8T7	ecj:JW3951
P0A8T7	eco:b3988
P0A8V2	ecj:JW3950
P0A8V2	eco:b3987
P0A9X4	ecj:JW3220
P0A9X4	eco:b3251
P0ABQ4	ecj:JW0047
P0ABQ4	eco:b0048
P0AC13	ecj:JW3144
P0AC13	eco:b3177
P0AD65	ecj:JW0630
P0AD65	eco:b0635
P0AD68	ecj:JW0082
P0AD68	eco:b0084
P0AEB2	ecj:JW0627
P0AEB2	eco:b0632
P0AEK4	ecj:JW1281
P0AEK4	eco:b1288
P0AES4	ecj:JW2225
P0AES4	eco:b2231
P0AES6	ecj:JW5625
P0AES6	eco:b3699
P0AFI2	ecj:JW2987
P0AFI2	eco:b3019
P0CS13	cnb:CNBJ2230
P0DMS8	hsa:140
P11388	hsa:7153
P12461	cal:CAALFM_C205190WA
P15056	hsa:673
P17568	hsa:4713
P19404	hsa:4729
P20083	ecj:JW2998
P20083	eco:b3030
P22894	hsa:4317
P23219	hsa:5742
P24228	ecj:JW3149
P24228	eco:b3182
P26358	hsa:1786
P27815	hsa:5141
P28331	hsa:4719
P29274	hsa:135
P29275	hsa:136
P30542	hsa:134
P35354	hsa:5743
P35372	hsa:4988
P35498	hsa:6323
P35499	hsa:6329
P43304	hsa:2820
P43700	hin:HI_1264
P43702	hin:HI_1529
P45452	hsa:4322
P49821	hsa:4723
P51970	hsa:4702
P56181	hsa:4731
P56556	hsa:4700
P72524	spn:SP_1219
P72525	spn:SP_0855
Q01118	hsa:6332
Q01668	hsa:776
Q05940	hsa:6571
Q07343	hsa:5142
Q08493	hsa:5143
Q08499	hsa:5144
Q09472	hsa:2033
Q13370	hsa:5140
Q13627	hsa:1859
Q13698	hsa:779
Q13936	hsa:775
Q14432	hsa:5139
Q14524	hsa:6331
Q15858	hsa:6335
Q16718	hsa:4698
Q16795	hsa:4704
Q495M3	hsa:153201
Q495N2	hsa:285641
Q53725	sao:SAOUHSC_01145
Q53725	saur:SABB_02599
Q59961	spn:SP_0852
Q5HK03	ser:SERP2549
Q5HK04	ser:SERP2548
Q6YBV0	hsa:120103
Q7Z2H8	hsa:206358
Q86VL8	hsa:146802
Q86Y39	hsa:126328
Q8N183	hsa:91942
Q8NET8	hsa:162514
Q92831	hsa:8850
Q96FL8	hsa:55244
Q99250	hsa:6326
Q99YW3	spy:SPy_1513
Q99YW3	spz:M5005_Spy1243
Q9BU61	hsa:25915
Q9NRX3	hsa:56901
Q9NX14	hsa:54539
Q9NY46	hsa:6328
Q9P032	hsa:29078
Q9P0J0	hsa:51079
Q9P0X4	hsa:8911
Q9UI09	hsa:55967
Q9UI33	hsa:11280
Q9UQD0	hsa:6334
Q9XDB3	saur:SABB_00472
Q9Y375	hsa:51103
Q9Y5Y9	hsa:6336
Q9Y6M9	hsa:4715
