"network","drug_pair","Drug1","Drug2","mean.path.length","mean.k.edge","mean.min.degree","mean.max.degree","mean.mean.degree","max.adjacency","code_3letter1","code_3letter2","drug_category1","drug_category2","targeted_cellular_process1","targeted_cellular_process2","use1","use2","ebw","ecr","seo","stm","pae","pau","int_sign_ebw","int_sign_ecr","int_sign_seo","int_sign_stm","int_sign_pae","int_sign_pau","drug_category","targeted_process","use","drugdrug.x","categorycategory","processprocess","useuse","drugdrug.y","clusters","sigma.rate","connection_onoff","drug_cat","targ","us","ebw_g","ecr_g","seo_g","stm_g","pae_g","pau_g","sum_g"
"Co-functional(EcoCyc)","Aztreonam_Cephalexin","Aztreonam","Cephalexin",1,15,15,15,15,"1","ATM","LEX","beta-lactam","beta-lactam","cell wall","cell wall","antibiotic","antibiotic",0.044439867,-0.055188978,0.046077656,0.032785285,0.108489495,0.040785989,"Additivity","Additivity","Additivity","Additivity","Additivity","Additivity","Same","Same","Same","Aztreonam-Cephalexin","beta-lactam-beta-lactam","cell wall-cell wall","antibiotic-antibiotic","Aztreonam-Cephalexin",1,0.00161041532291776,"connected",1,1,1,0,0,0,0,0,0,0
"Co-functional(EcoCyc)","Aztreonam_Imipenem","Aztreonam","Imipenem",1,15,15,15,15,"1","ATM","IPM","beta-lactam","beta-lactam","cell wall","cell wall","antibiotic","antibiotic",-0.055647727,-0.167274742,-0.06413935,-0.069942261,0.41449373,0.149609192,"Additivity","Additivity","Additivity","Additivity","Antagonism","Synergy","Same","Same","Same","Aztreonam-Imipenem","beta-lactam-beta-lactam","cell wall-cell wall","antibiotic-antibiotic","Aztreonam-Imipenem",2,0.00151654919727939,"connected",1,1,1,0,0,0,0,1,-1,0
"Co-functional(EcoCyc)","Aztreonam_Meropenem","Aztreonam","Meropenem",1,15,15,15,15,"1","ATM","MEM","beta-lactam","beta-lactam","cell wall","cell wall","antibiotic","antibiotic",-0.066902764,-0.114398819,-0.268912269,-0.148477209,0.053407092,-0.052100663,"Additivity","Additivity","Additivity","Additivity","Additivity","Additivity","Same","Same","Same","Aztreonam-Meropenem","beta-lactam-beta-lactam","cell wall-cell wall","antibiotic-antibiotic","Aztreonam-Meropenem",2,0.00151654919727939,"connected",1,1,1,0,0,0,0,0,0,0
"Co-functional(EcoCyc)","Aztreonam_Metformin","Aztreonam","Metformin",Inf,0,6,15,10,"0","ATM","MF","beta-lactam","human drug","cell wall","human","antibiotic","human-targeted drug",0.149239892,0.114543068,0.200605876,0.285351041,-0.214797764,-0.672078815,"Additivity","Additivity","Antagonism","Antagonism","Additivity","Synergy","Different","Different","Different","Aztreonam-Metformin","beta-lactam-human drug","cell wall-human","antibiotic-human-targeted drug","Aztreonam-Metformin",1,0.00161041532291776,"disconnected",0,0,0,0,0,1,1,0,-1,1
"Co-functional(EcoCyc)","Aztreonam_Sulfamonomethoxine","Aztreonam","Sulfamonomethoxine",Inf,0,3,15,9,"0","ATM","SMM","beta-lactam","folic acid biosynthesis","cell wall","DNA","antibiotic","antibiotic",-0.132319334,-0.133433702,0.052662782,0.113159173,0.046057832,0.054357816,"Additivity","Additivity","Additivity","Additivity","Additivity","Additivity","Different","Different","Same","Aztreonam-Sulfamonomethoxine","beta-lactam-folic acid biosynthesis","cell wall-DNA","antibiotic-antibiotic","Aztreonam-Sulfamonomethoxine",3,0.000695499357720025,"disconnected",0,0,1,0,0,0,0,0,0,0
"Co-functional(EcoCyc)","Aztreonam_Triclosan","Aztreonam","Triclosan",Inf,0,14,15,14,"0","ATM","TRI","beta-lactam","other membrane","cell wall","membrane","antibiotic","anti-infective",-0.044586976,0.028322768,-0.029074005,-0.070143999,-0.055022251,0.02135433,"Additivity","Additivity","Additivity","Additivity","Additivity","Additivity","Different","Different","Different","Aztreonam-Triclosan","beta-lactam-other membrane","cell wall-membrane","anti-infective-antibiotic","Aztreonam-Triclosan",2,0.00151654919727939,"disconnected",0,0,0,0,0,0,0,0,0,0
"Co-functional(EcoCyc)","Cephalexin_Imipenem","Cephalexin","Imipenem",1,15,15,15,15,"1","LEX","IPM","beta-lactam","beta-lactam","cell wall","cell wall","antibiotic","antibiotic",0.062303642,-0.053685421,-0.057252841,0.032793424,-0.018805893,0.025000618,"Additivity","Additivity","Additivity","Additivity","Additivity","Additivity","Same","Same","Same","Cephalexin-Imipenem","beta-lactam-beta-lactam","cell wall-cell wall","antibiotic-antibiotic","Cephalexin-Imipenem",8,0.00215049609648241,"connected",1,1,1,0,0,0,0,0,0,0
"Co-functional(EcoCyc)","Cephalexin_Meropenem","Cephalexin","Meropenem",1,15,15,15,15,"1","LEX","MEM","beta-lactam","beta-lactam","cell wall","cell wall","antibiotic","antibiotic",-0.066057652,-0.094180473,0.01418939,-0.126460738,0.02825758,0.043693364,"Additivity","Additivity","Additivity","Additivity","Additivity","Additivity","Same","Same","Same","Cephalexin-Meropenem","beta-lactam-beta-lactam","cell wall-cell wall","antibiotic-antibiotic","Cephalexin-Meropenem",2,0.00151654919727939,"connected",1,1,1,0,0,0,0,0,0,0
"Co-functional(EcoCyc)","Cephalexin_Metformin","Cephalexin","Metformin",Inf,0,6,15,10,"0","LEX","MF","beta-lactam","human drug","cell wall","human","antibiotic","human-targeted drug",0.050253855,0.021236658,0.01968194,0.045131702,-0.025486956,-0.03352575,"Additivity","Additivity","Additivity","Additivity","Additivity","Additivity","Different","Different","Different","Cephalexin-Metformin","beta-lactam-human drug","cell wall-human","antibiotic-human-targeted drug","Cephalexin-Metformin",1,0.00161041532291776,"disconnected",0,0,0,0,0,0,0,0,0,0
"Co-functional(EcoCyc)","Cephalexin_Sulfamonomethoxine","Cephalexin","Sulfamonomethoxine",Inf,0,3,15,9,"0","LEX","SMM","beta-lactam","folic acid biosynthesis","cell wall","DNA","antibiotic","antibiotic",0.040759134,-0.035577612,-0.071575537,-0.056276223,0.033680956,-0.02930043,"Additivity","Additivity","Additivity","Additivity","Additivity","Additivity","Different","Different","Same","Cephalexin-Sulfamonomethoxine","beta-lactam-folic acid biosynthesis","cell wall-DNA","antibiotic-antibiotic","Cephalexin-Sulfamonomethoxine",4,0.00101849165039097,"disconnected",0,0,1,0,0,0,0,0,0,0
