"network","drug_pair","Drug1.x","Drug2.x","mean.path.length","mean.k.edge","mean.min.degree","mean.max.degree","mean.mean.degree","max.adjacency","Drug1.y","Drug2.y","code_3letter1","code_3letter2","drug_category1","drug_category2","targeted_cellular_process1","targeted_cellular_process2","use1","use2","ebw","ecr","seo","stm","pae","pau","int_sign_ebw","int_sign_ecr","int_sign_seo","int_sign_stm","int_sign_pae","int_sign_pau","drug_category","targeted_process","use","drugdrug","categorycategory","processprocess","useuse","clusters","sigma.rate","connection_groups","connection_onoff","drug_cat","targ","us","ebw_g","ecr_g","seo_g","stm_g","pae_g","pau_g","sum_g"
"Co-functional (EcoCyc)","Amoxicillin_Aztreonam","Amoxicillin","Aztreonam",1,15,15,15,15,"1","Amoxicillin","Aztreonam","AMX","ATM","beta-lactam","beta-lactam","cell wall","cell wall","antibiotic","antibiotic",-0.524618664,-0.290350251,-0.29869208,-0.540616504,-0.072012457,0.054671314,"Synergy","Synergy","Synergy","Synergy","Additivity","Additivity","Same","Same","Same","Amoxicillin-Aztreonam","beta-lactam-beta-lactam","cell wall-cell wall","antibiotic-antibiotic",13,57.2922091096807,74,"connected",1,1,1,-1,-1,-1,-1,0,0,-4
"Co-functional (EcoCyc)","Amoxicillin_Cefaclor","Amoxicillin","Cefaclor",1,15,15,15,15,"1","Amoxicillin","Cefaclor","AMX","CEC","beta-lactam","beta-lactam","cell wall","cell wall","antibiotic","antibiotic",-0.472272507,-0.248875028,-0.513641019,-0.281048583,0.046779061,-0.031870194,"Synergy","Synergy","Synergy","Synergy","Additivity","Additivity","Same","Same","Same","Amoxicillin-Cefaclor","beta-lactam-beta-lactam","cell wall-cell wall","antibiotic-antibiotic",13,57.2922091096807,74,"connected",1,1,1,-1,-1,-1,-1,0,0,-4
"Co-functional (EcoCyc)","Amoxicillin_Cefotaxime","Amoxicillin","Cefotaxime",1,15,15,15,15,"1","Amoxicillin","Cefotaxime","AMX","CTX","beta-lactam","beta-lactam","cell wall","cell wall","antibiotic","antibiotic",-0.250080619,-0.327234559,-0.067229408,-0.059627303,0.212055174,-0.077344339,"Synergy","Synergy","Additivity","Additivity","Antagonism","Additivity","Same","Same","Same","Amoxicillin-Cefotaxime","beta-lactam-beta-lactam","cell wall-cell wall","antibiotic-antibiotic",13,57.2922091096807,74,"connected",1,1,1,-1,-1,0,0,1,0,-1
"Co-functional (EcoCyc)","Amoxicillin_Cephalexin","Amoxicillin","Cephalexin",1,15,15,15,15,"1","Amoxicillin","Cephalexin","AMX","LEX","beta-lactam","beta-lactam","cell wall","cell wall","antibiotic","antibiotic",0.061360214,0.052226283,-0.081519808,-0.080239589,-0.057792451,-0.029760282,"Additivity","Additivity","Additivity","Additivity","Additivity","Additivity","Same","Same","Same","Amoxicillin-Cephalexin","beta-lactam-beta-lactam","cell wall-cell wall","antibiotic-antibiotic",7,5.25611159023577,74,"connected",1,1,1,0,0,0,0,0,0,0
"Co-functional (EcoCyc)","Amoxicillin_Fosfomycin","Amoxicillin","Fosfomycin",1,15,15,15,15,"1","Amoxicillin","Fosfomycin","AMX","FOF","beta-lactam","other cell wall","cell wall","cell wall","antibiotic","antibiotic",-0.235424396,-0.197434681,-0.233475371,-0.21533938,0.098113534,-0.079069555,"Synergy","Synergy","Synergy","Synergy","Additivity","Additivity","Different","Same","Same","Amoxicillin-Fosfomycin","beta-lactam-other cell wall","cell wall-cell wall","antibiotic-antibiotic",13,57.2922091096807,97,"connected",0,1,1,-1,-1,-1,-1,0,0,-4
"Co-functional (EcoCyc)","Amoxicillin_Imipenem","Amoxicillin","Imipenem",1,15,15,15,15,"1","Amoxicillin","Imipenem","AMX","IPM","beta-lactam","beta-lactam","cell wall","cell wall","antibiotic","antibiotic",-0.105926127,-0.202354674,-0.321397596,-0.157550957,-0.057216058,-0.048262283,"Additivity","Additivity","Synergy","Additivity","Additivity","Additivity","Same","Same","Same","Amoxicillin-Imipenem","beta-lactam-beta-lactam","cell wall-cell wall","antibiotic-antibiotic",13,57.2922091096807,74,"connected",1,1,1,0,0,-1,0,0,0,-1
"Co-functional (EcoCyc)","Amoxicillin_Meropenem","Amoxicillin","Meropenem",1,15,15,15,15,"1","Amoxicillin","Meropenem","AMX","MEM","beta-lactam","beta-lactam","cell wall","cell wall","antibiotic","antibiotic",-0.150878137,-0.127733475,-0.372150374,-0.290776153,0.073021789,-0.042094051,"Additivity","Additivity","Additivity","Additivity","Additivity","Additivity","Same","Same","Same","Amoxicillin-Meropenem","beta-lactam-beta-lactam","cell wall-cell wall","antibiotic-antibiotic",13,57.2922091096807,74,"connected",1,1,1,0,0,0,0,0,0,0
"Co-functional (EcoCyc)","Amoxicillin_Metformin","Amoxicillin","Metformin",Inf,0,6,15,10,"0","Amoxicillin","Metformin","AMX","MF","beta-lactam","human drug","cell wall","human","antibiotic","human-targeted drug",0.244481275,0.174963722,0.04650243,-0.049882376,-0.064780163,-0.081837398,"Antagonism","Additivity","Additivity","Additivity","Additivity","Additivity","Different","Different","Different","Amoxicillin-Metformin","beta-lactam-human drug","cell wall-human","antibiotic-human-targeted drug",2,27.5495261973854,115,"disconnected",0,0,0,1,0,0,0,0,0,1
"Co-functional (EcoCyc)","Amoxicillin_Penicillin G","Amoxicillin","Penicillin G",1,15,15,15,15,"1","Amoxicillin","Penicillin G","AMX","PEN","beta-lactam","beta-lactam","cell wall","cell wall","antibiotic","antibiotic",-0.095728565,-0.218339027,-0.285003647,-0.263337696,-0.096389369,-0.020774024,"Additivity","Synergy","Additivity","Additivity","Additivity","Additivity","Same","Same","Same","Amoxicillin-Penicillin G","beta-lactam-beta-lactam","cell wall-cell wall","antibiotic-antibiotic",13,57.2922091096807,74,"connected",1,1,1,0,-1,0,0,0,0,-1
"Co-functional (EcoCyc)","Amoxicillin_Piperacillin","Amoxicillin","Piperacillin",1,15,15,15,15,"1","Amoxicillin","Piperacillin","AMX","PIP","beta-lactam","beta-lactam","cell wall","cell wall","antibiotic","antibiotic",-0.185511961,-0.293649022,-0.473645304,-0.594606308,0.314074822,0.081068472,"Synergy","Synergy","Synergy","Synergy","Antagonism","Additivity","Same","Same","Same","Amoxicillin-Piperacillin","beta-lactam-beta-lactam","cell wall-cell wall","antibiotic-antibiotic",13,57.2922091096807,74,"connected",1,1,1,-1,-1,-1,-1,1,0,-3
