"Enrichment FDR","nGenes","Pathway Genes","Fold Enrichment","Pathway","URL","Genes"
0.00889100579503058,6,21,2.625,"Carboxypeptidase activity","http://amigo.geneontology.org/amigo/term/GO:0004180","ECO:B0084 ECO:B0149 ECO:B0635 ECO:B0839 ECO:B3182 ECO:B3396"
0.00889100579503058,6,15,2.625,"Serine-type carboxypeptidase activity","http://amigo.geneontology.org/amigo/term/GO:0004185","ECO:B0084 ECO:B0149 ECO:B0635 ECO:B0839 ECO:B3182 ECO:B3396"
0.00889100579503058,6,119,2.625,"Proteolysis","http://amigo.geneontology.org/amigo/term/GO:0006508","ECO:B0084 ECO:B0149 ECO:B0635 ECO:B0839 ECO:B3182 ECO:B3396"
0.00889100579503058,6,114,2.625,"Peptidase activity","http://amigo.geneontology.org/amigo/term/GO:0008233","ECO:B0084 ECO:B0149 ECO:B0635 ECO:B0839 ECO:B3182 ECO:B3396"
0.00889100579503058,6,36,2.625,"Serine-type peptidase activity","http://amigo.geneontology.org/amigo/term/GO:0008236","ECO:B0084 ECO:B0149 ECO:B0635 ECO:B0839 ECO:B3182 ECO:B3396"
0.00889100579503058,6,40,2.625,"Exopeptidase activity","http://amigo.geneontology.org/amigo/term/GO:0008238","ECO:B0084 ECO:B0149 ECO:B0635 ECO:B0839 ECO:B3182 ECO:B3396"
0.00889100579503058,6,11,2.625,"Penicillin binding","http://amigo.geneontology.org/amigo/term/GO:0008658","ECO:B0084 ECO:B0149 ECO:B0635 ECO:B0839 ECO:B3182 ECO:B3396"
0.00889100579503058,6,10,2.625,"Serine-type d-ala-d-ala carboxypeptidase activity","http://amigo.geneontology.org/amigo/term/GO:0009002","ECO:B0084 ECO:B0149 ECO:B0635 ECO:B0839 ECO:B3182 ECO:B3396"
0.00889100579503058,6,36,2.625,"Serine hydrolase activity","http://amigo.geneontology.org/amigo/term/GO:0017171","ECO:B0084 ECO:B0149 ECO:B0635 ECO:B0839 ECO:B3182 ECO:B3396"
0.00889100579503058,6,17,2.625,"Monocarboxylic acid binding","http://amigo.geneontology.org/amigo/term/GO:0033293","ECO:B0084 ECO:B0149 ECO:B0635 ECO:B0839 ECO:B3182 ECO:B3396"
0.00889100579503058,6,16,2.625,"Serine-type exopeptidase activity","http://amigo.geneontology.org/amigo/term/GO:0070008","ECO:B0084 ECO:B0149 ECO:B0635 ECO:B0839 ECO:B3182 ECO:B3396"
