yourlist:M2021051372FEB3358BE035486EE75ADE9E91772506A23FI	Entry	Entry name	Status	Protein names	Gene names	Organism	Length
eco:b0002	P00561	AK1H_ECOLI	reviewed	Bifunctional aspartokinase/homoserine dehydrogenase 1 (Aspartokinase I/homoserine dehydrogenase I) (AKI-HDI) [Includes: Aspartokinase (EC 2.7.2.4); Homoserine dehydrogenase (EC 1.1.1.3)]	thrA thrA1 thrA2 b0002 JW0001	Escherichia coli (strain K12)	820
eco:b0008	P0A870	TALB_ECOLI	reviewed	Transaldolase B (EC 2.2.1.2)	talB yaaK b0008 JW0007	Escherichia coli (strain K12)	317
eco:b0009	P0AF03	MOG_ECOLI	reviewed	Molybdopterin adenylyltransferase (MPT adenylyltransferase) (EC 2.7.7.75)	mog chlG mogA yaaG b0009 JW0008	Escherichia coli (strain K12)	195
eco:b0014	P0A6Y8	DNAK_ECOLI	reviewed	Chaperone protein DnaK (HSP70) (Heat shock 70 kDa protein) (Heat shock protein 70)	dnaK groP grpF seg b0014 JW0013	Escherichia coli (strain K12)	638
eco:b0015	P08622	DNAJ_ECOLI	reviewed	Chaperone protein DnaJ (HSP40) (Heat shock protein J)	dnaJ groP b0015 JW0014	Escherichia coli (strain K12)	376
eco:b0020	P0A9G2	NHAR_ECOLI	reviewed	Transcriptional activator protein NhaR (Na(+)/H(+) antiporter regulatory protein)	nhaR antO b0020 JW0019	Escherichia coli (strain K12)	301
eco:b0026	P00956	SYI_ECOLI	reviewed	Isoleucine--tRNA ligase (EC 6.1.1.5) (Isoleucyl-tRNA synthetase) (IleRS)	ileS ilvS b0026 JW0024	Escherichia coli (strain K12)	938
eco:b0032	P0A6F1	CARA_ECOLI	reviewed	Carbamoyl-phosphate synthase small chain (EC 6.3.5.5) (Carbamoyl-phosphate synthetase glutamine chain)	carA pyrA b0032 JW0030	Escherichia coli (strain K12)	382
eco:b0033	P00968	CARB_ECOLI	reviewed	Carbamoyl-phosphate synthase large chain (EC 6.3.5.5) (Carbamoyl-phosphate synthetase ammonia chain)	carB pyrA b0033 JW0031	Escherichia coli (strain K12)	1073
eco:b0053	P0ABZ6	SURA_ECOLI	reviewed	Chaperone SurA (Peptidyl-prolyl cis-trans isomerase SurA) (PPIase SurA) (EC 5.2.1.8) (Rotamase SurA) (Survival protein A)	surA b0053 JW0052	Escherichia coli (strain K12)	428
eco:b0054	P31554	LPTD_ECOLI	reviewed	LPS-assembly protein LptD (Organic solvent tolerance protein)	lptD imp ostA yabG b0054 JW0053	Escherichia coli (strain K12)	784
eco:b0074	P09151	LEU1_ECOLI	reviewed	2-isopropylmalate synthase (EC 2.3.3.13) (Alpha-IPM synthase) (Alpha-isopropylmalate synthase)	leuA b0074 JW0073	Escherichia coli (strain K12)	523
eco:b0077	P00893	ILVI_ECOLI	reviewed	Acetolactate synthase isozyme 3 large subunit (EC 2.2.1.6) (AHAS-III) (ALS-III) (Acetohydroxy-acid synthase III large subunit)	ilvI b0077 JW0076	Escherichia coli (strain K12)	574
eco:b0080	P0ACP1	CRA_ECOLI	reviewed	Catabolite repressor/activator (Fructose repressor)	cra fruC fruR shl b0080 JW0078	Escherichia coli (strain K12)	334
eco:b0081	P22186	MRAZ_ECOLI	reviewed	Transcriptional regulator MraZ	mraZ yabB b0081 JW0079	Escherichia coli (strain K12)	152
eco:b0083	P0AEN4	FTSL_ECOLI	reviewed	Cell division protein FtsL	ftsL mraR yabD b0083 JW0081	Escherichia coli (strain K12)	121
eco:b0084	P0AD68	FTSI_ECOLI	reviewed	Peptidoglycan D,D-transpeptidase FtsI (EC 3.4.16.4) (Essential cell division protein FtsI) (Murein transpeptidase) (Penicillin-binding protein 3) (PBP-3) (Peptidoglycan synthase FtsI)	ftsI pbpB b0084 JW0082	Escherichia coli (strain K12)	588
eco:b0087	P0A6W3	MRAY_ECOLI	reviewed	Phospho-N-acetylmuramoyl-pentapeptide-transferase (EC 2.7.8.13) (UDP-MurNAc-pentapeptide phosphotransferase)	mraY murX b0087 JW0085	Escherichia coli (strain K12)	360
eco:b0089	P0ABG4	FTSW_ECOLI	reviewed	Probable peptidoglycan glycosyltransferase FtsW (PGT) (EC 2.4.1.129) (Cell division protein FtsW) (Cell wall polymerase) (Lipid II flippase FtsW) (Peptidoglycan polymerase) (PG polymerase)	ftsW b0089 JW0087	Escherichia coli (strain K12)	414
eco:b0093	P06136	FTSQ_ECOLI	reviewed	Cell division protein FtsQ	ftsQ b0093 JW0091	Escherichia coli (strain K12)	276
eco:b0094	P0ABH0	FTSA_ECOLI	reviewed	Cell division protein FtsA	ftsA divA b0094 JW0092	Escherichia coli (strain K12)	420
eco:b0095	P0A9A6	FTSZ_ECOLI	reviewed	Cell division protein FtsZ	ftsZ sfiB sulB b0095 JW0093	Escherichia coli (strain K12)	383
