"Uniprot1","Uniprot2","path.length","K.edge","Degree1","Degree2","mean_deg","min_deg","max_deg","drug_pair","network"
"eco:b0048","eco:b3177",1,3,14,3,8,3,14,"Sulfamonomethoxine_Trimethoprim","EcoCyc.goldstandardset.txt"
"eco:b1288","eco:b3177",4,3,14,3,8,3,14,"Sulfamonomethoxine_Triclosan","EcoCyc.goldstandardset.txt"
"eco:b2827","eco:b3177",2,3,29,3,16,3,29,"Flucytosine_Sulfamonomethoxine","EcoCyc.goldstandardset.txt"
"eco:b0048","eco:b1288",3,6,14,14,14,14,14,"Triclosan_Trimethoprim","EcoCyc.goldstandardset.txt"
"eco:b1288","eco:b2827",3,6,14,29,22,14,29,"Flucytosine_Triclosan","EcoCyc.goldstandardset.txt"
"eco:b0048","eco:b2827",1,14,14,29,22,14,29,"Flucytosine_Trimethoprim","EcoCyc.goldstandardset.txt"
"eco:b0084","eco:b0149",1,15,15,15,15,15,15,"Amoxicillin_Aztreonam","EcoCyc.goldstandardset.txt"
"eco:b0084","eco:b0149",1,15,15,15,15,15,15,"Amoxicillin_Cefaclor","EcoCyc.goldstandardset.txt"
"eco:b0084","eco:b0149",1,15,15,15,15,15,15,"Amoxicillin_Cefotaxime","EcoCyc.goldstandardset.txt"
"eco:b0084","eco:b0149",1,15,15,15,15,15,15,"Amoxicillin_Cephalexin","EcoCyc.goldstandardset.txt"
"eco:b0084","eco:b0149",1,15,15,15,15,15,15,"Amoxicillin_Imipenem","EcoCyc.goldstandardset.txt"
"eco:b0084","eco:b0149",1,15,15,15,15,15,15,"Amoxicillin_Meropenem","EcoCyc.goldstandardset.txt"
"eco:b0084","eco:b0149",1,15,15,15,15,15,15,"Amoxicillin_Penicillin G","EcoCyc.goldstandardset.txt"
"eco:b0084","eco:b0149",1,15,15,15,15,15,15,"Amoxicillin_Piperacillin","EcoCyc.goldstandardset.txt"
"eco:b0084","eco:b0149",1,15,15,15,15,15,15,"Aztreonam_Cefaclor","EcoCyc.goldstandardset.txt"
"eco:b0084","eco:b0149",1,15,15,15,15,15,15,"Aztreonam_Cefotaxime","EcoCyc.goldstandardset.txt"
"eco:b0084","eco:b0149",1,15,15,15,15,15,15,"Aztreonam_Cephalexin","EcoCyc.goldstandardset.txt"
"eco:b0084","eco:b0149",1,15,15,15,15,15,15,"Aztreonam_Imipenem","EcoCyc.goldstandardset.txt"
"eco:b0084","eco:b0149",1,15,15,15,15,15,15,"Aztreonam_Meropenem","EcoCyc.goldstandardset.txt"
"eco:b0084","eco:b0149",1,15,15,15,15,15,15,"Aztreonam_Penicillin G","EcoCyc.goldstandardset.txt"
"eco:b0084","eco:b0149",1,15,15,15,15,15,15,"Aztreonam_Piperacillin","EcoCyc.goldstandardset.txt"
"eco:b0084","eco:b0149",1,15,15,15,15,15,15,"Cefaclor_Cefotaxime","EcoCyc.goldstandardset.txt"
"eco:b0084","eco:b0149",1,15,15,15,15,15,15,"Cefaclor_Cephalexin","EcoCyc.goldstandardset.txt"
"eco:b0084","eco:b0149",1,15,15,15,15,15,15,"Cefaclor_Imipenem","EcoCyc.goldstandardset.txt"
"eco:b0084","eco:b0149",1,15,15,15,15,15,15,"Cefaclor_Meropenem","EcoCyc.goldstandardset.txt"
"eco:b0084","eco:b0149",1,15,15,15,15,15,15,"Cefaclor_Penicillin G","EcoCyc.goldstandardset.txt"
"eco:b0084","eco:b0149",1,15,15,15,15,15,15,"Cefaclor_Piperacillin","EcoCyc.goldstandardset.txt"
"eco:b0084","eco:b0149",1,15,15,15,15,15,15,"Cefotaxime_Cephalexin","EcoCyc.goldstandardset.txt"
"eco:b0084","eco:b0149",1,15,15,15,15,15,15,"Cefotaxime_Imipenem","EcoCyc.goldstandardset.txt"
"eco:b0084","eco:b0149",1,15,15,15,15,15,15,"Cefotaxime_Meropenem","EcoCyc.goldstandardset.txt"
"eco:b0084","eco:b0149",1,15,15,15,15,15,15,"Cefotaxime_Penicillin G","EcoCyc.goldstandardset.txt"
"eco:b0084","eco:b0149",1,15,15,15,15,15,15,"Cefotaxime_Piperacillin","EcoCyc.goldstandardset.txt"
"eco:b0084","eco:b0149",1,15,15,15,15,15,15,"Cephalexin_Imipenem","EcoCyc.goldstandardset.txt"
"eco:b0084","eco:b0149",1,15,15,15,15,15,15,"Cephalexin_Meropenem","EcoCyc.goldstandardset.txt"
"eco:b0084","eco:b0149",1,15,15,15,15,15,15,"Cephalexin_Penicillin G","EcoCyc.goldstandardset.txt"
"eco:b0084","eco:b0149",1,15,15,15,15,15,15,"Cephalexin_Piperacillin","EcoCyc.goldstandardset.txt"
"eco:b0084","eco:b0149",1,15,15,15,15,15,15,"Imipenem_Meropenem","EcoCyc.goldstandardset.txt"
"eco:b0084","eco:b0149",1,15,15,15,15,15,15,"Imipenem_Penicillin G","EcoCyc.goldstandardset.txt"
"eco:b0084","eco:b0149",1,15,15,15,15,15,15,"Imipenem_Piperacillin","EcoCyc.goldstandardset.txt"
"eco:b0084","eco:b0149",1,15,15,15,15,15,15,"Meropenem_Penicillin G","EcoCyc.goldstandardset.txt"
"eco:b0084","eco:b0149",1,15,15,15,15,15,15,"Meropenem_Piperacillin","EcoCyc.goldstandardset.txt"
"eco:b0084","eco:b0149",1,15,15,15,15,15,15,"Penicillin G_Piperacillin","EcoCyc.goldstandardset.txt"
"eco:b0084","eco:b3189",1,15,15,15,15,15,15,"Amoxicillin_Fosfomycin","EcoCyc.goldstandardset.txt"
"eco:b0084","eco:b3189",1,15,15,15,15,15,15,"Aztreonam_Fosfomycin","EcoCyc.goldstandardset.txt"
"eco:b0084","eco:b3189",1,15,15,15,15,15,15,"Cefaclor_Fosfomycin","EcoCyc.goldstandardset.txt"
"eco:b0084","eco:b3189",1,15,15,15,15,15,15,"Cefotaxime_Fosfomycin","EcoCyc.goldstandardset.txt"
"eco:b0084","eco:b3189",1,15,15,15,15,15,15,"Cephalexin_Fosfomycin","EcoCyc.goldstandardset.txt"
"eco:b0084","eco:b3189",1,15,15,15,15,15,15,"Fosfomycin_Imipenem","EcoCyc.goldstandardset.txt"
"eco:b0084","eco:b3189",1,15,15,15,15,15,15,"Fosfomycin_Meropenem","EcoCyc.goldstandardset.txt"
"eco:b0084","eco:b3189",1,15,15,15,15,15,15,"Fosfomycin_Penicillin G","EcoCyc.goldstandardset.txt"
"eco:b0084","eco:b3189",1,15,15,15,15,15,15,"Fosfomycin_Piperacillin","EcoCyc.goldstandardset.txt"
"eco:b0084","eco:b3396",1,15,15,15,15,15,15,"Amoxicillin_Aztreonam","EcoCyc.goldstandardset.txt"
"eco:b0084","eco:b3396",1,15,15,15,15,15,15,"Amoxicillin_Cefaclor","EcoCyc.goldstandardset.txt"
"eco:b0084","eco:b3396",1,15,15,15,15,15,15,"Amoxicillin_Cefotaxime","EcoCyc.goldstandardset.txt"
"eco:b0084","eco:b3396",1,15,15,15,15,15,15,"Amoxicillin_Cephalexin","EcoCyc.goldstandardset.txt"
"eco:b0084","eco:b3396",1,15,15,15,15,15,15,"Amoxicillin_Imipenem","EcoCyc.goldstandardset.txt"
"eco:b0084","eco:b3396",1,15,15,15,15,15,15,"Amoxicillin_Meropenem","EcoCyc.goldstandardset.txt"
"eco:b0084","eco:b3396",1,15,15,15,15,15,15,"Amoxicillin_Penicillin G","EcoCyc.goldstandardset.txt"
"eco:b0084","eco:b3396",1,15,15,15,15,15,15,"Amoxicillin_Piperacillin","EcoCyc.goldstandardset.txt"
"eco:b0084","eco:b3396",1,15,15,15,15,15,15,"Aztreonam_Cefaclor","EcoCyc.goldstandardset.txt"
"eco:b0084","eco:b3396",1,15,15,15,15,15,15,"Aztreonam_Cefotaxime","EcoCyc.goldstandardset.txt"
"eco:b0084","eco:b3396",1,15,15,15,15,15,15,"Aztreonam_Cephalexin","EcoCyc.goldstandardset.txt"
"eco:b0084","eco:b3396",1,15,15,15,15,15,15,"Aztreonam_Imipenem","EcoCyc.goldstandardset.txt"
"eco:b0084","eco:b3396",1,15,15,15,15,15,15,"Aztreonam_Meropenem","EcoCyc.goldstandardset.txt"
"eco:b0084","eco:b3396",1,15,15,15,15,15,15,"Aztreonam_Penicillin G","EcoCyc.goldstandardset.txt"
"eco:b0084","eco:b3396",1,15,15,15,15,15,15,"Aztreonam_Piperacillin","EcoCyc.goldstandardset.txt"
"eco:b0084","eco:b3396",1,15,15,15,15,15,15,"Cefaclor_Cefotaxime","EcoCyc.goldstandardset.txt"
"eco:b0084","eco:b3396",1,15,15,15,15,15,15,"Cefaclor_Cephalexin","EcoCyc.goldstandardset.txt"
"eco:b0084","eco:b3396",1,15,15,15,15,15,15,"Cefaclor_Imipenem","EcoCyc.goldstandardset.txt"
"eco:b0084","eco:b3396",1,15,15,15,15,15,15,"Cefaclor_Meropenem","EcoCyc.goldstandardset.txt"
"eco:b0084","eco:b3396",1,15,15,15,15,15,15,"Cefaclor_Penicillin G","EcoCyc.goldstandardset.txt"
"eco:b0084","eco:b3396",1,15,15,15,15,15,15,"Cefaclor_Piperacillin","EcoCyc.goldstandardset.txt"
"eco:b0084","eco:b3396",1,15,15,15,15,15,15,"Cefotaxime_Cephalexin","EcoCyc.goldstandardset.txt"
"eco:b0084","eco:b3396",1,15,15,15,15,15,15,"Cefotaxime_Imipenem","EcoCyc.goldstandardset.txt"
"eco:b0084","eco:b3396",1,15,15,15,15,15,15,"Cefotaxime_Meropenem","EcoCyc.goldstandardset.txt"
"eco:b0084","eco:b3396",1,15,15,15,15,15,15,"Cefotaxime_Penicillin G","EcoCyc.goldstandardset.txt"
"eco:b0084","eco:b3396",1,15,15,15,15,15,15,"Cefotaxime_Piperacillin","EcoCyc.goldstandardset.txt"
"eco:b0084","eco:b3396",1,15,15,15,15,15,15,"Cephalexin_Imipenem","EcoCyc.goldstandardset.txt"
"eco:b0084","eco:b3396",1,15,15,15,15,15,15,"Cephalexin_Meropenem","EcoCyc.goldstandardset.txt"
