"node1","node2","Uni_N1","Uni_N2"
"eco:b0002","eco:b0003","P00561","P00547"
"eco:b0002","eco:b0004","P00561","P00934"
"eco:b0003","eco:b0004","P00547","P00934"
"eco:b0003","eco:b0006","P00547","P0A8I3"
"eco:b0004","eco:b0006","P00934","P0A8I3"
"eco:b0006","eco:b0007","P0A8I3","P30143"
"eco:b0007","eco:b0008","P30143","P0A870"
"eco:b0003","eco:b0008","P00547","P0A870"
"eco:b0006","eco:b0008","P0A8I3","P0A870"
"eco:b0008","eco:b0009","P0A870","P0AF03"
"eco:b0006","eco:b0009","P0A8I3","P0AF03"
"eco:b0006","eco:b0010","P0A8I3","P0AC98"
"eco:b0008","eco:b0010","P0A870","P0AC98"
"eco:b0009","eco:b0010","P0AF03","P0AC98"
"eco:b0011","eco:b0013","P75617","P28696"
"eco:b0010","eco:b0014","P0AC98","P0A6Y8"
"eco:b0014","eco:b0015","P0A6Y8","P08622"
"eco:b0015","eco:b0019","P08622","P13738"
"eco:b0015","eco:b0020","P08622","P0A9G2"
"eco:b0003","eco:b0020","P00547","P0A9G2"
"eco:b0019","eco:b0020","P13738","P0A9G2"
"eco:b0014","eco:b0020","P0A6Y8","P0A9G2"
"eco:b0019","eco:b0023","P13738","P0A7U7"
"eco:b0020","eco:b0023","P0A9G2","P0A7U7"
"eco:b0020","eco:b0025","P0A9G2","P0AG40"
"eco:b0024","eco:b0025","P75620","P0AG40"
"eco:b0023","eco:b0025","P0A7U7","P0AG40"
"eco:b0020","eco:b0026","P0A9G2","P00956"
"eco:b0023","eco:b0026","P0A7U7","P00956"
"eco:b0025","eco:b0026","P0AG40","P00956"
"eco:b0019","eco:b0027","P13738","P00804"
"eco:b0026","eco:b0027","P00956","P00804"
"eco:b0020","eco:b0027","P0A9G2","P00804"
"eco:b0023","eco:b0027","P0A7U7","P00804"
"eco:b0020","eco:b0028","P0A9G2","P0AEM0"
"eco:b0026","eco:b0028","P00956","P0AEM0"
"eco:b0023","eco:b0028","P0A7U7","P0AEM0"
"eco:b0027","eco:b0028","P00804","P0AEM0"
"eco:b0026","eco:b0029","P00956","P62623"
"eco:b0028","eco:b0029","P0AEM0","P62623"
"eco:b0023","eco:b0029","P0A7U7","P62623"
"eco:b0027","eco:b0029","P00804","P62623"
"eco:b0020","eco:b0029","P0A9G2","P62623"
"eco:b0029","eco:b0030","P62623","P22564"
"eco:b0029","eco:b0031","P62623","P04036"
"eco:b0015","eco:b0031","P08622","P04036"
"eco:b0031","eco:b0032","P04036","P0A6F1"
"eco:b0032","eco:b0033","P0A6F1","P00968"
"eco:b0031","eco:b0033","P04036","P00968"
"eco:b0035","eco:b0036","P39206","P31551"
"eco:b0037","eco:b0038","P31552","P31572"
"eco:b0038","eco:b0039","P31572","P60584"
"eco:b0039","eco:b0040","P60584","P31553"
"eco:b0039","eco:b0041","P60584","P60566"
"eco:b0041","eco:b0042","P60566","P31574"
"eco:b0042","eco:b0043","P31574","P68644"
"eco:b0041","eco:b0043","P60566","P68644"
"eco:b0039","eco:b0043","P60584","P68644"
"eco:b0042","eco:b0044","P31574","P68646"
"eco:b0041","eco:b0044","P60566","P68646"
"eco:b0043","eco:b0044","P68644","P68646"
"eco:b0044","eco:b0045","P68646","P31679"
"eco:b0046","eco:b0047","P0A754","P03819"
"eco:b0047","eco:b0048","P03819","P0ABQ4"
"eco:b0048","eco:b0049","P0ABQ4","P05637"
"eco:b0049","eco:b0050","P05637","P62672"
"eco:b0049","eco:b0051","P05637","P06992"
"eco:b0050","eco:b0051","P62672","P06992"
"eco:b0049","eco:b0052","P05637","P19624"
"eco:b0051","eco:b0052","P06992","P19624"
"eco:b0014","eco:b0052","P0A6Y8","P19624"
"eco:b0051","eco:b0053","P06992","P0ABZ6"
"eco:b0052","eco:b0053","P19624","P0ABZ6"
"eco:b0049","eco:b0053","P05637","P0ABZ6"
"eco:b0053","eco:b0054","P0ABZ6","P31554"
"eco:b0051","eco:b0054","P06992","P31554"
"eco:b0049","eco:b0054","P05637","P31554"
"eco:b0052","eco:b0054","P19624","P31554"
"eco:b0050","eco:b0054","P62672","P31554"
"eco:b0050","eco:b0055","P62672","P31680"
"eco:b0054","eco:b0055","P31554","P31680"
"eco:b0049","eco:b0055","P05637","P31680"
"eco:b0052","eco:b0055","P19624","P31680"
"eco:b0051","eco:b0055","P06992","P31680"
"eco:b0053","eco:b0055","P0ABZ6","P31680"
"eco:b0048","eco:b0055","P0ABQ4","P31680"
"eco:b0055","eco:b0058","P31680","P0AA37"
"eco:b0015","eco:b0058","P08622","P0AA37"
"eco:b0053","eco:b0059","P0ABZ6","P60240"
"eco:b0049","eco:b0059","P05637","P60240"
"eco:b0055","eco:b0059","P31680","P60240"
"eco:b0050","eco:b0059","P62672","P60240"
"eco:b0052","eco:b0059","P19624","P60240"
"eco:b0054","eco:b0059","P31554","P60240"
"eco:b0058","eco:b0059","P0AA37","P60240"
"eco:b0059","eco:b0060","P60240","P21189"
"eco:b0061","eco:b0062","P08203","P08202"
"eco:b0062","eco:b0063","P08202","P08204"
"eco:b0061","eco:b0063","P08203","P08204"
"eco:b0063","eco:b0064","P08204","P0A9E0"
"eco:b0062","eco:b0064","P08202","P0A9E0"
"eco:b0064","eco:b0065","P0A9E0","P30149"
"eco:b0065","eco:b0066","P30149","P31548"
"eco:b0055","eco:b0066","P31680","P31548"
"eco:b0058","eco:b0067","P0AA37","P31549"
"eco:b0066","eco:b0067","P31548","P31549"
"eco:b0055","eco:b0067","P31680","P31549"
"eco:b0065","eco:b0067","P30149","P31549"
"eco:b0059","eco:b0067","P60240","P31549"
"eco:b0067","eco:b0068","P31549","P31550"
"eco:b0066","eco:b0068","P31548","P31550"
"eco:b0055","eco:b0068","P31680","P31550"
"eco:b0059","eco:b0068","P60240","P31550"
"eco:b0066","eco:b0069","P31548","P33595"
"eco:b0068","eco:b0069","P31550","P33595"
"eco:b0065","eco:b0069","P30149","P33595"
"eco:b0067","eco:b0069","P31549","P33595"
"eco:b0069","eco:b0070","P33595","P31675"
"eco:b0069","eco:b0071","P33595","P30126"
"eco:b0068","eco:b0071","P31550","P30126"
"eco:b0069","eco:b0072","P33595","P0A6A6"
"eco:b0071","eco:b0072","P30126","P0A6A6"
"eco:b0069","eco:b0073","P33595","P30125"
"eco:b0071","eco:b0073","P30126","P30125"
"eco:b0072","eco:b0073","P0A6A6","P30125"
"eco:b0069","eco:b0074","P33595","P09151"
"eco:b0073","eco:b0074","P30125","P09151"
"eco:b0072","eco:b0074","P0A6A6","P09151"
"eco:b0071","eco:b0074","P30126","P09151"
"eco:b0074","eco:b0077","P09151","P00893"
"eco:b0077","eco:b0078","P00893","P00894"
"eco:b0078","eco:b0080","P00894","P0ACP1"
"eco:b0069","eco:b0081","P33595","P22186"
"eco:b0080","eco:b0081","P0ACP1","P22186"
"eco:b0081","eco:b0082","P22186","P60390"
"eco:b0071","eco:b0083","P30126","P0AEN4"
"eco:b0082","eco:b0083","P60390","P0AEN4"
"eco:b0069","eco:b0083","P33595","P0AEN4"
"eco:b0080","eco:b0083","P0ACP1","P0AEN4"
"eco:b0072","eco:b0083","P0A6A6","P0AEN4"
"eco:b0073","eco:b0083","P30125","P0AEN4"
"eco:b0074","eco:b0083","P09151","P0AEN4"
"eco:b0081","eco:b0083","P22186","P0AEN4"
"eco:b0078","eco:b0083","P00894","P0AEN4"
"eco:b0077","eco:b0083","P00893","P0AEN4"
"eco:b0081","eco:b0084","P22186","P0AD68"
"eco:b0083","eco:b0084","P0AEN4","P0AD68"
