"Uniprot1","Uniprot2","path.length","K.edge","Degree1","Degree2","mean_deg","min_deg","max_deg","drug_pair","network"
"eco:b0026","eco:b1288",2,12,140,12,76,12,140,"Pseudomonic acid_Triclosan","CC.EcoliNet.v1.2296gene.50528link.txt"
"eco:b0048","eco:b1288",2,12,132,12,72,12,132,"Triclosan_Trimethoprim","CC.EcoliNet.v1.2296gene.50528link.txt"
"eco:b0149","eco:b1288",2,12,206,12,109,12,206,"Amoxicillin_Triclosan","CC.EcoliNet.v1.2296gene.50528link.txt"
"eco:b0149","eco:b1288",2,12,206,12,109,12,206,"Aztreonam_Triclosan","CC.EcoliNet.v1.2296gene.50528link.txt"
"eco:b0149","eco:b1288",2,12,206,12,109,12,206,"Cefaclor_Triclosan","CC.EcoliNet.v1.2296gene.50528link.txt"
"eco:b0149","eco:b1288",2,12,206,12,109,12,206,"Cefotaxime_Triclosan","CC.EcoliNet.v1.2296gene.50528link.txt"
"eco:b0149","eco:b1288",2,12,206,12,109,12,206,"Cephalexin_Triclosan","CC.EcoliNet.v1.2296gene.50528link.txt"
"eco:b0149","eco:b1288",2,12,206,12,109,12,206,"Imipenem_Triclosan","CC.EcoliNet.v1.2296gene.50528link.txt"
"eco:b0149","eco:b1288",2,12,206,12,109,12,206,"Meropenem_Triclosan","CC.EcoliNet.v1.2296gene.50528link.txt"
"eco:b0149","eco:b1288",2,12,206,12,109,12,206,"Penicillin G_Triclosan","CC.EcoliNet.v1.2296gene.50528link.txt"
"eco:b0149","eco:b1288",2,12,206,12,109,12,206,"Piperacillin_Triclosan","CC.EcoliNet.v1.2296gene.50528link.txt"
"eco:b0635","eco:b1288",3,12,46,12,29,12,46,"Amoxicillin_Triclosan","CC.EcoliNet.v1.2296gene.50528link.txt"
"eco:b0635","eco:b1288",3,12,46,12,29,12,46,"Aztreonam_Triclosan","CC.EcoliNet.v1.2296gene.50528link.txt"
"eco:b0635","eco:b1288",3,12,46,12,29,12,46,"Cefaclor_Triclosan","CC.EcoliNet.v1.2296gene.50528link.txt"
"eco:b0635","eco:b1288",3,12,46,12,29,12,46,"Cefotaxime_Triclosan","CC.EcoliNet.v1.2296gene.50528link.txt"
"eco:b0635","eco:b1288",3,12,46,12,29,12,46,"Cephalexin_Triclosan","CC.EcoliNet.v1.2296gene.50528link.txt"
"eco:b0635","eco:b1288",3,12,46,12,29,12,46,"Imipenem_Triclosan","CC.EcoliNet.v1.2296gene.50528link.txt"
"eco:b0635","eco:b1288",3,12,46,12,29,12,46,"Mecillinam_Triclosan","CC.EcoliNet.v1.2296gene.50528link.txt"
"eco:b0635","eco:b1288",3,12,46,12,29,12,46,"Meropenem_Triclosan","CC.EcoliNet.v1.2296gene.50528link.txt"
"eco:b0635","eco:b1288",3,12,46,12,29,12,46,"Penicillin G_Triclosan","CC.EcoliNet.v1.2296gene.50528link.txt"
"eco:b0635","eco:b1288",3,12,46,12,29,12,46,"Piperacillin_Triclosan","CC.EcoliNet.v1.2296gene.50528link.txt"
"eco:b0839","eco:b1288",3,12,44,12,28,12,44,"Amoxicillin_Triclosan","CC.EcoliNet.v1.2296gene.50528link.txt"
"eco:b0839","eco:b1288",3,12,44,12,28,12,44,"Aztreonam_Triclosan","CC.EcoliNet.v1.2296gene.50528link.txt"
"eco:b0839","eco:b1288",3,12,44,12,28,12,44,"Cefaclor_Triclosan","CC.EcoliNet.v1.2296gene.50528link.txt"
"eco:b0839","eco:b1288",3,12,44,12,28,12,44,"Cefotaxime_Triclosan","CC.EcoliNet.v1.2296gene.50528link.txt"
"eco:b0839","eco:b1288",3,12,44,12,28,12,44,"Cephalexin_Triclosan","CC.EcoliNet.v1.2296gene.50528link.txt"
"eco:b0839","eco:b1288",3,12,44,12,28,12,44,"Imipenem_Triclosan","CC.EcoliNet.v1.2296gene.50528link.txt"
"eco:b0839","eco:b1288",3,12,44,12,28,12,44,"Meropenem_Triclosan","CC.EcoliNet.v1.2296gene.50528link.txt"
"eco:b0839","eco:b1288",3,12,44,12,28,12,44,"Penicillin G_Triclosan","CC.EcoliNet.v1.2296gene.50528link.txt"
"eco:b0839","eco:b1288",3,12,44,12,28,12,44,"Piperacillin_Triclosan","CC.EcoliNet.v1.2296gene.50528link.txt"
"eco:b1288","eco:b3177",2,12,12,86,49,12,86,"Sulfamonomethoxine_Triclosan","CC.EcoliNet.v1.2296gene.50528link.txt"
"eco:b1288","eco:b3182",3,12,12,120,66,12,120,"Amoxicillin_Triclosan","CC.EcoliNet.v1.2296gene.50528link.txt"
"eco:b1288","eco:b3182",3,12,12,120,66,12,120,"Aztreonam_Triclosan","CC.EcoliNet.v1.2296gene.50528link.txt"
"eco:b1288","eco:b3182",3,12,12,120,66,12,120,"Cefaclor_Triclosan","CC.EcoliNet.v1.2296gene.50528link.txt"
"eco:b1288","eco:b3182",3,12,12,120,66,12,120,"Cefotaxime_Triclosan","CC.EcoliNet.v1.2296gene.50528link.txt"
"eco:b1288","eco:b3182",3,12,12,120,66,12,120,"Cephalexin_Triclosan","CC.EcoliNet.v1.2296gene.50528link.txt"
"eco:b1288","eco:b3182",3,12,12,120,66,12,120,"Imipenem_Triclosan","CC.EcoliNet.v1.2296gene.50528link.txt"
"eco:b1288","eco:b3182",3,12,12,120,66,12,120,"Meropenem_Triclosan","CC.EcoliNet.v1.2296gene.50528link.txt"
"eco:b1288","eco:b3182",3,12,12,120,66,12,120,"Penicillin G_Triclosan","CC.EcoliNet.v1.2296gene.50528link.txt"
"eco:b1288","eco:b3182",3,12,12,120,66,12,120,"Piperacillin_Triclosan","CC.EcoliNet.v1.2296gene.50528link.txt"
"eco:b1288","eco:b3230",2,12,12,278,145,12,278,"Doxycycline_Triclosan","CC.EcoliNet.v1.2296gene.50528link.txt"
"eco:b1288","eco:b3296",2,12,12,231,122,12,231,"Doxycycline_Triclosan","CC.EcoliNet.v1.2296gene.50528link.txt"
"eco:b1288","eco:b3396",3,12,12,141,76,12,141,"Amoxicillin_Triclosan","CC.EcoliNet.v1.2296gene.50528link.txt"
"eco:b1288","eco:b3396",3,12,12,141,76,12,141,"Aztreonam_Triclosan","CC.EcoliNet.v1.2296gene.50528link.txt"
"eco:b1288","eco:b3396",3,12,12,141,76,12,141,"Cefaclor_Triclosan","CC.EcoliNet.v1.2296gene.50528link.txt"
"eco:b1288","eco:b3396",3,12,12,141,76,12,141,"Cefotaxime_Triclosan","CC.EcoliNet.v1.2296gene.50528link.txt"
"eco:b1288","eco:b3396",3,12,12,141,76,12,141,"Cephalexin_Triclosan","CC.EcoliNet.v1.2296gene.50528link.txt"
"eco:b1288","eco:b3396",3,12,12,141,76,12,141,"Imipenem_Triclosan","CC.EcoliNet.v1.2296gene.50528link.txt"
"eco:b1288","eco:b3396",3,12,12,141,76,12,141,"Meropenem_Triclosan","CC.EcoliNet.v1.2296gene.50528link.txt"
"eco:b1288","eco:b3396",3,12,12,141,76,12,141,"Penicillin G_Triclosan","CC.EcoliNet.v1.2296gene.50528link.txt"
