Drug,PubChem_CID,CHEMBL_ID,MECHANISM_OF_ACTION,TARGET_PREF_NAME,TARGET_UNIPROT,TARGET_INFO,KEGG_ID,KO_ID,KEGG_NAME,KEGG_eco,UNIPROT_eco
Amoxicillin,33613,CHEMBL1082,Bacterial penicillin-binding protein inhibitor,Bacterial penicillin-binding protein,P02918,Penicillin-binding protein 1A,eco:b3396,K05366,mrcA; peptidoglycan glycosyltransferase/peptidoglycan DD-transpeptidase MrcA,eco:b3396,P02918
Amoxicillin,33613,CHEMBL1082,Bacterial penicillin-binding protein inhibitor,Bacterial penicillin-binding protein,P02919,Penicillin-binding protein 1B,eco:b0149,K05365,mrcB; peptidoglycan glycosyltransferase/peptidoglycan DD-transpeptidase MrcB,eco:b0149,P02919
Amoxicillin,33613,CHEMBL1082,Bacterial penicillin-binding protein inhibitor,Bacterial penicillin-binding protein,P08506,D-alanyl-D-alanine carboxypeptidase DacC,eco:b0839,K07258,dacC; D-alanyl-D-alanine carboxypeptidase DacC,eco:b0839,P08506
Amoxicillin,33613,CHEMBL1082,Bacterial penicillin-binding protein inhibitor,Bacterial penicillin-binding protein,P0AD65,Penicillin-binding protein 2,eco:b0635,K05515,mrdA; peptidoglycan DD-transpeptidase MrdA,eco:b0635,P0AD65
Amoxicillin,33613,CHEMBL1082,Bacterial penicillin-binding protein inhibitor,Bacterial penicillin-binding protein,P0AD68,Peptidoglycan synthase FtsI,eco:b0084,K03587,ftsI; peptidoglycan DD-transpeptidase FtsI,eco:b0084,P0AD68
Amoxicillin,33613,CHEMBL1082,Bacterial penicillin-binding protein inhibitor,Bacterial penicillin-binding protein,P0AEB2,D-alanyl-D-alanine carboxypeptidase DacA,eco:b0632,K07258,dacA; D-alanyl-D-alanine carboxypeptidase DacA,eco:b0632,P0AEB2
Amoxicillin,33613,CHEMBL1082,Bacterial penicillin-binding protein inhibitor,Bacterial penicillin-binding protein,P24228,D-alanyl-D-alanine carboxypeptidase DacB,eco:b3182,K07259,dacB; peptidoglycan DD-endopeptidase DacB,eco:b3182,P24228
Aztreonam,5742832,CHEMBL158,Bacterial penicillin-binding protein inhibitor,Bacterial penicillin-binding protein,P02918,Penicillin-binding protein 1A,eco:b3396,K05366,mrcA; peptidoglycan glycosyltransferase/peptidoglycan DD-transpeptidase MrcA,eco:b3396,P02918
Aztreonam,5742832,CHEMBL158,Bacterial penicillin-binding protein inhibitor,Bacterial penicillin-binding protein,P02919,Penicillin-binding protein 1B,eco:b0149,K05365,mrcB; peptidoglycan glycosyltransferase/peptidoglycan DD-transpeptidase MrcB,eco:b0149,P02919
Aztreonam,5742832,CHEMBL158,Bacterial penicillin-binding protein inhibitor,Bacterial penicillin-binding protein,P08506,D-alanyl-D-alanine carboxypeptidase DacC,eco:b0839,K07258,dacC; D-alanyl-D-alanine carboxypeptidase DacC,eco:b0839,P08506
