"Uniprot1","Uniprot2","path.length","K.edge","Degree1","Degree2","mean_deg","min_deg","max_deg","drug_pair","network"
"eco:b0026","eco:b3177",5,1,12,1,6,1,12,"Pseudomonic acid_Sulfamonomethoxine","HT.INT.EcoliNet.3209gene.15543link.txt"
"eco:b0048","eco:b3177",5,1,9,1,5,1,9,"Sulfamonomethoxine_Trimethoprim","HT.INT.EcoliNet.3209gene.15543link.txt"
"eco:b0084","eco:b3177",6,1,11,1,6,1,11,"Amoxicillin_Sulfamonomethoxine","HT.INT.EcoliNet.3209gene.15543link.txt"
"eco:b0084","eco:b3177",6,1,11,1,6,1,11,"Aztreonam_Sulfamonomethoxine","HT.INT.EcoliNet.3209gene.15543link.txt"
"eco:b0084","eco:b3177",6,1,11,1,6,1,11,"Cefaclor_Sulfamonomethoxine","HT.INT.EcoliNet.3209gene.15543link.txt"
"eco:b0084","eco:b3177",6,1,11,1,6,1,11,"Cefotaxime_Sulfamonomethoxine","HT.INT.EcoliNet.3209gene.15543link.txt"
"eco:b0084","eco:b3177",6,1,11,1,6,1,11,"Cephalexin_Sulfamonomethoxine","HT.INT.EcoliNet.3209gene.15543link.txt"
"eco:b0084","eco:b3177",6,1,11,1,6,1,11,"Imipenem_Sulfamonomethoxine","HT.INT.EcoliNet.3209gene.15543link.txt"
"eco:b0084","eco:b3177",6,1,11,1,6,1,11,"Meropenem_Sulfamonomethoxine","HT.INT.EcoliNet.3209gene.15543link.txt"
"eco:b0084","eco:b3177",6,1,11,1,6,1,11,"Penicillin G_Sulfamonomethoxine","HT.INT.EcoliNet.3209gene.15543link.txt"
"eco:b0084","eco:b3177",6,1,11,1,6,1,11,"Piperacillin_Sulfamonomethoxine","HT.INT.EcoliNet.3209gene.15543link.txt"
"eco:b0149","eco:b3177",5,1,9,1,5,1,9,"Amoxicillin_Sulfamonomethoxine","HT.INT.EcoliNet.3209gene.15543link.txt"
"eco:b0149","eco:b3177",5,1,9,1,5,1,9,"Aztreonam_Sulfamonomethoxine","HT.INT.EcoliNet.3209gene.15543link.txt"
"eco:b0149","eco:b3177",5,1,9,1,5,1,9,"Cefaclor_Sulfamonomethoxine","HT.INT.EcoliNet.3209gene.15543link.txt"
"eco:b0149","eco:b3177",5,1,9,1,5,1,9,"Cefotaxime_Sulfamonomethoxine","HT.INT.EcoliNet.3209gene.15543link.txt"
"eco:b0149","eco:b3177",5,1,9,1,5,1,9,"Cephalexin_Sulfamonomethoxine","HT.INT.EcoliNet.3209gene.15543link.txt"
"eco:b0149","eco:b3177",5,1,9,1,5,1,9,"Imipenem_Sulfamonomethoxine","HT.INT.EcoliNet.3209gene.15543link.txt"
"eco:b0149","eco:b3177",5,1,9,1,5,1,9,"Meropenem_Sulfamonomethoxine","HT.INT.EcoliNet.3209gene.15543link.txt"
"eco:b0149","eco:b3177",5,1,9,1,5,1,9,"Penicillin G_Sulfamonomethoxine","HT.INT.EcoliNet.3209gene.15543link.txt"
"eco:b0149","eco:b3177",5,1,9,1,5,1,9,"Piperacillin_Sulfamonomethoxine","HT.INT.EcoliNet.3209gene.15543link.txt"
"eco:b0635","eco:b3177",5,1,9,1,5,1,9,"Amoxicillin_Sulfamonomethoxine","HT.INT.EcoliNet.3209gene.15543link.txt"
"eco:b0635","eco:b3177",5,1,9,1,5,1,9,"Aztreonam_Sulfamonomethoxine","HT.INT.EcoliNet.3209gene.15543link.txt"
"eco:b0635","eco:b3177",5,1,9,1,5,1,9,"Cefaclor_Sulfamonomethoxine","HT.INT.EcoliNet.3209gene.15543link.txt"
"eco:b0635","eco:b3177",5,1,9,1,5,1,9,"Cefotaxime_Sulfamonomethoxine","HT.INT.EcoliNet.3209gene.15543link.txt"
"eco:b0635","eco:b3177",5,1,9,1,5,1,9,"Cephalexin_Sulfamonomethoxine","HT.INT.EcoliNet.3209gene.15543link.txt"
"eco:b0635","eco:b3177",5,1,9,1,5,1,9,"Imipenem_Sulfamonomethoxine","HT.INT.EcoliNet.3209gene.15543link.txt"
"eco:b0635","eco:b3177",5,1,9,1,5,1,9,"Mecillinam_Sulfamonomethoxine","HT.INT.EcoliNet.3209gene.15543link.txt"
"eco:b0635","eco:b3177",5,1,9,1,5,1,9,"Meropenem_Sulfamonomethoxine","HT.INT.EcoliNet.3209gene.15543link.txt"
"eco:b0635","eco:b3177",5,1,9,1,5,1,9,"Penicillin G_Sulfamonomethoxine","HT.INT.EcoliNet.3209gene.15543link.txt"
"eco:b0635","eco:b3177",5,1,9,1,5,1,9,"Piperacillin_Sulfamonomethoxine","HT.INT.EcoliNet.3209gene.15543link.txt"
"eco:b0839","eco:b3177",6,1,7,1,4,1,7,"Amoxicillin_Sulfamonomethoxine","HT.INT.EcoliNet.3209gene.15543link.txt"
"eco:b0839","eco:b3177",6,1,7,1,4,1,7,"Aztreonam_Sulfamonomethoxine","HT.INT.EcoliNet.3209gene.15543link.txt"
"eco:b0839","eco:b3177",6,1,7,1,4,1,7,"Cefaclor_Sulfamonomethoxine","HT.INT.EcoliNet.3209gene.15543link.txt"
"eco:b0839","eco:b3177",6,1,7,1,4,1,7,"Cefotaxime_Sulfamonomethoxine","HT.INT.EcoliNet.3209gene.15543link.txt"
"eco:b0839","eco:b3177",6,1,7,1,4,1,7,"Cephalexin_Sulfamonomethoxine","HT.INT.EcoliNet.3209gene.15543link.txt"
"eco:b0839","eco:b3177",6,1,7,1,4,1,7,"Imipenem_Sulfamonomethoxine","HT.INT.EcoliNet.3209gene.15543link.txt"
"eco:b0839","eco:b3177",6,1,7,1,4,1,7,"Meropenem_Sulfamonomethoxine","HT.INT.EcoliNet.3209gene.15543link.txt"
"eco:b0839","eco:b3177",6,1,7,1,4,1,7,"Penicillin G_Sulfamonomethoxine","HT.INT.EcoliNet.3209gene.15543link.txt"
"eco:b0839","eco:b3177",6,1,7,1,4,1,7,"Piperacillin_Sulfamonomethoxine","HT.INT.EcoliNet.3209gene.15543link.txt"
"eco:b1288","eco:b3177",6,1,11,1,6,1,11,"Sulfamonomethoxine_Triclosan","HT.INT.EcoliNet.3209gene.15543link.txt"
"eco:b1961","eco:b3177",5,1,17,1,9,1,17,"Flucytosine_Sulfamonomethoxine","HT.INT.EcoliNet.3209gene.15543link.txt"
"eco:b2231","eco:b3177",5,1,41,1,21,1,41,"Ciprofloxacin_Sulfamonomethoxine","HT.INT.EcoliNet.3209gene.15543link.txt"
"eco:b2231","eco:b3177",5,1,41,1,21,1,41,"Levofloxacin_Sulfamonomethoxine","HT.INT.EcoliNet.3209gene.15543link.txt"
"eco:b2231","eco:b3177",5,1,41,1,21,1,41,"Moxifloxacin_Sulfamonomethoxine","HT.INT.EcoliNet.3209gene.15543link.txt"
"eco:b2231","eco:b3177",5,1,41,1,21,1,41,"Novobiocin_Sulfamonomethoxine","HT.INT.EcoliNet.3209gene.15543link.txt"
"eco:b2827","eco:b3177",6,1,6,1,4,1,6,"Flucytosine_Sulfamonomethoxine","HT.INT.EcoliNet.3209gene.15543link.txt"
"eco:b3019","eco:b3177",5,1,13,1,7,1,13,"Levofloxacin_Sulfamonomethoxine","HT.INT.EcoliNet.3209gene.15543link.txt"
"eco:b3019","eco:b3177",5,1,13,1,7,1,13,"Moxifloxacin_Sulfamonomethoxine","HT.INT.EcoliNet.3209gene.15543link.txt"
"eco:b3030","eco:b3177",4,1,32,1,16,1,32,"Levofloxacin_Sulfamonomethoxine","HT.INT.EcoliNet.3209gene.15543link.txt"
"eco:b3030","eco:b3177",4,1,32,1,16,1,32,"Moxifloxacin_Sulfamonomethoxine","HT.INT.EcoliNet.3209gene.15543link.txt"
"eco:b3177","eco:b3182",6,1,1,4,2,1,4,"Amoxicillin_Sulfamonomethoxine","HT.INT.EcoliNet.3209gene.15543link.txt"
"eco:b3177","eco:b3182",6,1,1,4,2,1,4,"Aztreonam_Sulfamonomethoxine","HT.INT.EcoliNet.3209gene.15543link.txt"
"eco:b3177","eco:b3182",6,1,1,4,2,1,4,"Cefaclor_Sulfamonomethoxine","HT.INT.EcoliNet.3209gene.15543link.txt"
"eco:b3177","eco:b3182",6,1,1,4,2,1,4,"Cefotaxime_Sulfamonomethoxine","HT.INT.EcoliNet.3209gene.15543link.txt"
"eco:b3177","eco:b3182",6,1,1,4,2,1,4,"Cephalexin_Sulfamonomethoxine","HT.INT.EcoliNet.3209gene.15543link.txt"
