"Uniprot1","Uniprot2","path.length","K.edge","Degree1","Degree2","mean_deg","min_deg","max_deg","drug_pair","network"
"eco:b0026","eco:b1961",3,3,11,4,8,4,11,"Flucytosine_Pseudomonic acid","GN.INT.EcoliNet.3568gene.23439link.txt"
"eco:b0048","eco:b1961",3,3,11,4,8,4,11,"Flucytosine_Trimethoprim","GN.INT.EcoliNet.3568gene.23439link.txt"
"eco:b0084","eco:b1961",3,3,23,4,14,4,23,"Amoxicillin_Flucytosine","GN.INT.EcoliNet.3568gene.23439link.txt"
"eco:b0084","eco:b1961",3,3,23,4,14,4,23,"Aztreonam_Flucytosine","GN.INT.EcoliNet.3568gene.23439link.txt"
"eco:b0084","eco:b1961",3,3,23,4,14,4,23,"Cefaclor_Flucytosine","GN.INT.EcoliNet.3568gene.23439link.txt"
"eco:b0084","eco:b1961",3,3,23,4,14,4,23,"Cefotaxime_Flucytosine","GN.INT.EcoliNet.3568gene.23439link.txt"
"eco:b0084","eco:b1961",3,3,23,4,14,4,23,"Cephalexin_Flucytosine","GN.INT.EcoliNet.3568gene.23439link.txt"
"eco:b0084","eco:b1961",3,3,23,4,14,4,23,"Flucytosine_Imipenem","GN.INT.EcoliNet.3568gene.23439link.txt"
"eco:b0084","eco:b1961",3,3,23,4,14,4,23,"Flucytosine_Meropenem","GN.INT.EcoliNet.3568gene.23439link.txt"
"eco:b0084","eco:b1961",3,3,23,4,14,4,23,"Flucytosine_Penicillin G","GN.INT.EcoliNet.3568gene.23439link.txt"
"eco:b0084","eco:b1961",3,3,23,4,14,4,23,"Flucytosine_Piperacillin","GN.INT.EcoliNet.3568gene.23439link.txt"
"eco:b0149","eco:b1961",3,3,29,4,16,4,29,"Amoxicillin_Flucytosine","GN.INT.EcoliNet.3568gene.23439link.txt"
"eco:b0149","eco:b1961",3,3,29,4,16,4,29,"Aztreonam_Flucytosine","GN.INT.EcoliNet.3568gene.23439link.txt"
"eco:b0149","eco:b1961",3,3,29,4,16,4,29,"Cefaclor_Flucytosine","GN.INT.EcoliNet.3568gene.23439link.txt"
"eco:b0149","eco:b1961",3,3,29,4,16,4,29,"Cefotaxime_Flucytosine","GN.INT.EcoliNet.3568gene.23439link.txt"
"eco:b0149","eco:b1961",3,3,29,4,16,4,29,"Cephalexin_Flucytosine","GN.INT.EcoliNet.3568gene.23439link.txt"
"eco:b0149","eco:b1961",3,3,29,4,16,4,29,"Flucytosine_Imipenem","GN.INT.EcoliNet.3568gene.23439link.txt"
"eco:b0149","eco:b1961",3,3,29,4,16,4,29,"Flucytosine_Meropenem","GN.INT.EcoliNet.3568gene.23439link.txt"
"eco:b0149","eco:b1961",3,3,29,4,16,4,29,"Flucytosine_Penicillin G","GN.INT.EcoliNet.3568gene.23439link.txt"
"eco:b0149","eco:b1961",3,3,29,4,16,4,29,"Flucytosine_Piperacillin","GN.INT.EcoliNet.3568gene.23439link.txt"
"eco:b0635","eco:b1961",4,3,14,4,9,4,14,"Amoxicillin_Flucytosine","GN.INT.EcoliNet.3568gene.23439link.txt"
"eco:b0635","eco:b1961",4,3,14,4,9,4,14,"Aztreonam_Flucytosine","GN.INT.EcoliNet.3568gene.23439link.txt"
"eco:b0635","eco:b1961",4,3,14,4,9,4,14,"Cefaclor_Flucytosine","GN.INT.EcoliNet.3568gene.23439link.txt"
"eco:b0635","eco:b1961",4,3,14,4,9,4,14,"Cefotaxime_Flucytosine","GN.INT.EcoliNet.3568gene.23439link.txt"
"eco:b0635","eco:b1961",4,3,14,4,9,4,14,"Cephalexin_Flucytosine","GN.INT.EcoliNet.3568gene.23439link.txt"
"eco:b0635","eco:b1961",4,3,14,4,9,4,14,"Flucytosine_Imipenem","GN.INT.EcoliNet.3568gene.23439link.txt"
"eco:b0635","eco:b1961",4,3,14,4,9,4,14,"Flucytosine_Mecillinam","GN.INT.EcoliNet.3568gene.23439link.txt"
"eco:b0635","eco:b1961",4,3,14,4,9,4,14,"Flucytosine_Meropenem","GN.INT.EcoliNet.3568gene.23439link.txt"
"eco:b0635","eco:b1961",4,3,14,4,9,4,14,"Flucytosine_Penicillin G","GN.INT.EcoliNet.3568gene.23439link.txt"
"eco:b0635","eco:b1961",4,3,14,4,9,4,14,"Flucytosine_Piperacillin","GN.INT.EcoliNet.3568gene.23439link.txt"
"eco:b0839","eco:b1961",4,3,10,4,7,4,10,"Amoxicillin_Flucytosine","GN.INT.EcoliNet.3568gene.23439link.txt"
"eco:b0839","eco:b1961",4,3,10,4,7,4,10,"Aztreonam_Flucytosine","GN.INT.EcoliNet.3568gene.23439link.txt"
"eco:b0839","eco:b1961",4,3,10,4,7,4,10,"Cefaclor_Flucytosine","GN.INT.EcoliNet.3568gene.23439link.txt"
"eco:b0839","eco:b1961",4,3,10,4,7,4,10,"Cefotaxime_Flucytosine","GN.INT.EcoliNet.3568gene.23439link.txt"
"eco:b0839","eco:b1961",4,3,10,4,7,4,10,"Cephalexin_Flucytosine","GN.INT.EcoliNet.3568gene.23439link.txt"
"eco:b0839","eco:b1961",4,3,10,4,7,4,10,"Flucytosine_Imipenem","GN.INT.EcoliNet.3568gene.23439link.txt"
"eco:b0839","eco:b1961",4,3,10,4,7,4,10,"Flucytosine_Meropenem","GN.INT.EcoliNet.3568gene.23439link.txt"
"eco:b0839","eco:b1961",4,3,10,4,7,4,10,"Flucytosine_Penicillin G","GN.INT.EcoliNet.3568gene.23439link.txt"
"eco:b0839","eco:b1961",4,3,10,4,7,4,10,"Flucytosine_Piperacillin","GN.INT.EcoliNet.3568gene.23439link.txt"
"eco:b1288","eco:b1961",3,3,24,4,14,4,24,"Flucytosine_Triclosan","GN.INT.EcoliNet.3568gene.23439link.txt"
"eco:b1961","eco:b2231",3,3,4,21,12,4,21,"Ciprofloxacin_Flucytosine","GN.INT.EcoliNet.3568gene.23439link.txt"
"eco:b1961","eco:b2231",3,3,4,21,12,4,21,"Flucytosine_Levofloxacin","GN.INT.EcoliNet.3568gene.23439link.txt"
"eco:b1961","eco:b2231",3,3,4,21,12,4,21,"Flucytosine_Moxifloxacin","GN.INT.EcoliNet.3568gene.23439link.txt"
"eco:b1961","eco:b2231",3,3,4,21,12,4,21,"Flucytosine_Novobiocin","GN.INT.EcoliNet.3568gene.23439link.txt"
"eco:b1961","eco:b3019",3,3,4,29,16,4,29,"Flucytosine_Levofloxacin","GN.INT.EcoliNet.3568gene.23439link.txt"
"eco:b1961","eco:b3019",3,3,4,29,16,4,29,"Flucytosine_Moxifloxacin","GN.INT.EcoliNet.3568gene.23439link.txt"
"eco:b1961","eco:b3030",3,3,4,28,16,4,28,"Flucytosine_Levofloxacin","GN.INT.EcoliNet.3568gene.23439link.txt"
"eco:b1961","eco:b3030",3,3,4,28,16,4,28,"Flucytosine_Moxifloxacin","GN.INT.EcoliNet.3568gene.23439link.txt"
"eco:b1961","eco:b3177",3,3,4,17,10,4,17,"Flucytosine_Sulfamonomethoxine","GN.INT.EcoliNet.3568gene.23439link.txt"
"eco:b1961","eco:b3182",3,3,4,8,6,4,8,"Amoxicillin_Flucytosine","GN.INT.EcoliNet.3568gene.23439link.txt"
"eco:b1961","eco:b3182",3,3,4,8,6,4,8,"Aztreonam_Flucytosine","GN.INT.EcoliNet.3568gene.23439link.txt"
"eco:b1961","eco:b3182",3,3,4,8,6,4,8,"Cefaclor_Flucytosine","GN.INT.EcoliNet.3568gene.23439link.txt"
"eco:b1961","eco:b3182",3,3,4,8,6,4,8,"Cefotaxime_Flucytosine","GN.INT.EcoliNet.3568gene.23439link.txt"
"eco:b1961","eco:b3182",3,3,4,8,6,4,8,"Cephalexin_Flucytosine","GN.INT.EcoliNet.3568gene.23439link.txt"
"eco:b1961","eco:b3182",3,3,4,8,6,4,8,"Flucytosine_Imipenem","GN.INT.EcoliNet.3568gene.23439link.txt"
"eco:b1961","eco:b3182",3,3,4,8,6,4,8,"Flucytosine_Meropenem","GN.INT.EcoliNet.3568gene.23439link.txt"
"eco:b1961","eco:b3182",3,3,4,8,6,4,8,"Flucytosine_Penicillin G","GN.INT.EcoliNet.3568gene.23439link.txt"
"eco:b1961","eco:b3182",3,3,4,8,6,4,8,"Flucytosine_Piperacillin","GN.INT.EcoliNet.3568gene.23439link.txt"
"eco:b1961","eco:b3189",3,3,4,46,25,4,46,"Flucytosine_Fosfomycin","GN.INT.EcoliNet.3568gene.23439link.txt"
"eco:b1961","eco:b3230",4,3,4,27,16,4,27,"Doxycycline_Flucytosine","GN.INT.EcoliNet.3568gene.23439link.txt"
"eco:b1961","eco:b3251",4,3,4,24,14,4,24,"A22_Flucytosine","GN.INT.EcoliNet.3568gene.23439link.txt"
"eco:b1961","eco:b3296",3,3,4,22,13,4,22,"Doxycycline_Flucytosine","GN.INT.EcoliNet.3568gene.23439link.txt"
"eco:b1961","eco:b3396",3,3,4,32,18,4,32,"Amoxicillin_Flucytosine","GN.INT.EcoliNet.3568gene.23439link.txt"
"eco:b1961","eco:b3396",3,3,4,32,18,4,32,"Aztreonam_Flucytosine","GN.INT.EcoliNet.3568gene.23439link.txt"
"eco:b1961","eco:b3396",3,3,4,32,18,4,32,"Cefaclor_Flucytosine","GN.INT.EcoliNet.3568gene.23439link.txt"
"eco:b1961","eco:b3396",3,3,4,32,18,4,32,"Cefotaxime_Flucytosine","GN.INT.EcoliNet.3568gene.23439link.txt"
"eco:b1961","eco:b3396",3,3,4,32,18,4,32,"Cephalexin_Flucytosine","GN.INT.EcoliNet.3568gene.23439link.txt"
"eco:b1961","eco:b3396",3,3,4,32,18,4,32,"Flucytosine_Imipenem","GN.INT.EcoliNet.3568gene.23439link.txt"
"eco:b1961","eco:b3396",3,3,4,32,18,4,32,"Flucytosine_Meropenem","GN.INT.EcoliNet.3568gene.23439link.txt"
"eco:b1961","eco:b3396",3,3,4,32,18,4,32,"Flucytosine_Penicillin G","GN.INT.EcoliNet.3568gene.23439link.txt"
"eco:b1961","eco:b3396",3,3,4,32,18,4,32,"Flucytosine_Piperacillin","GN.INT.EcoliNet.3568gene.23439link.txt"
"eco:b1961","eco:b3426",3,3,4,19,12,4,19,"Flucytosine_Metformin","GN.INT.EcoliNet.3568gene.23439link.txt"
"eco:b1961","eco:b3699",3,3,4,27,16,4,27,"Ciprofloxacin_Flucytosine","GN.INT.EcoliNet.3568gene.23439link.txt"
"eco:b1961","eco:b3699",3,3,4,27,16,4,27,"Flucytosine_Levofloxacin","GN.INT.EcoliNet.3568gene.23439link.txt"
"eco:b1961","eco:b3699",3,3,4,27,16,4,27,"Flucytosine_Moxifloxacin","GN.INT.EcoliNet.3568gene.23439link.txt"
"eco:b1961","eco:b3699",3,3,4,27,16,4,27,"Flucytosine_Novobiocin","GN.INT.EcoliNet.3568gene.23439link.txt"
"eco:b1961","eco:b3887",4,3,4,30,17,4,30,"Flucytosine_Fusidic acid","GN.INT.EcoliNet.3568gene.23439link.txt"
"eco:b1961","eco:b3985",5,3,4,12,8,4,12,"Clindamycin_Flucytosine","GN.INT.EcoliNet.3568gene.23439link.txt"
"eco:b1961","eco:b3987",4,3,4,18,11,4,18,"Flucytosine_Rifampicin","GN.INT.EcoliNet.3568gene.23439link.txt"
"eco:b1961","eco:b3988",4,3,4,24,14,4,24,"Flucytosine_Rifampicin","GN.INT.EcoliNet.3568gene.23439link.txt"
"eco:b0026","eco:b3182",3,8,11,8,10,8,11,"Amoxicillin_Pseudomonic acid","GN.INT.EcoliNet.3568gene.23439link.txt"
"eco:b0026","eco:b3182",3,8,11,8,10,8,11,"Aztreonam_Pseudomonic acid","GN.INT.EcoliNet.3568gene.23439link.txt"
"eco:b0026","eco:b3182",3,8,11,8,10,8,11,"Cefaclor_Pseudomonic acid","GN.INT.EcoliNet.3568gene.23439link.txt"
"eco:b0026","eco:b3182",3,8,11,8,10,8,11,"Cefotaxime_Pseudomonic acid","GN.INT.EcoliNet.3568gene.23439link.txt"
"eco:b0026","eco:b3182",3,8,11,8,10,8,11,"Cephalexin_Pseudomonic acid","GN.INT.EcoliNet.3568gene.23439link.txt"
"eco:b0026","eco:b3182",3,8,11,8,10,8,11,"Imipenem_Pseudomonic acid","GN.INT.EcoliNet.3568gene.23439link.txt"
"eco:b0026","eco:b3182",3,8,11,8,10,8,11,"Meropenem_Pseudomonic acid","GN.INT.EcoliNet.3568gene.23439link.txt"
"eco:b0026","eco:b3182",3,8,11,8,10,8,11,"Penicillin G_Pseudomonic acid","GN.INT.EcoliNet.3568gene.23439link.txt"
"eco:b0026","eco:b3182",3,8,11,8,10,8,11,"Piperacillin_Pseudomonic acid","GN.INT.EcoliNet.3568gene.23439link.txt"
"eco:b0048","eco:b3182",4,8,11,8,10,8,11,"Amoxicillin_Trimethoprim","GN.INT.EcoliNet.3568gene.23439link.txt"
"eco:b0048","eco:b3182",4,8,11,8,10,8,11,"Aztreonam_Trimethoprim","GN.INT.EcoliNet.3568gene.23439link.txt"
"eco:b0048","eco:b3182",4,8,11,8,10,8,11,"Cefaclor_Trimethoprim","GN.INT.EcoliNet.3568gene.23439link.txt"
"eco:b0048","eco:b3182",4,8,11,8,10,8,11,"Cefotaxime_Trimethoprim","GN.INT.EcoliNet.3568gene.23439link.txt"
"eco:b0048","eco:b3182",4,8,11,8,10,8,11,"Cephalexin_Trimethoprim","GN.INT.EcoliNet.3568gene.23439link.txt"
"eco:b0048","eco:b3182",4,8,11,8,10,8,11,"Imipenem_Trimethoprim","GN.INT.EcoliNet.3568gene.23439link.txt"
"eco:b0048","eco:b3182",4,8,11,8,10,8,11,"Meropenem_Trimethoprim","GN.INT.EcoliNet.3568gene.23439link.txt"
"eco:b0048","eco:b3182",4,8,11,8,10,8,11,"Penicillin G_Trimethoprim","GN.INT.EcoliNet.3568gene.23439link.txt"
"eco:b0048","eco:b3182",4,8,11,8,10,8,11,"Piperacillin_Trimethoprim","GN.INT.EcoliNet.3568gene.23439link.txt"
"eco:b0084","eco:b3182",4,8,23,8,16,8,23,"Amoxicillin_Aztreonam","GN.INT.EcoliNet.3568gene.23439link.txt"
"eco:b0084","eco:b3182",4,8,23,8,16,8,23,"Amoxicillin_Cefaclor","GN.INT.EcoliNet.3568gene.23439link.txt"
"eco:b0084","eco:b3182",4,8,23,8,16,8,23,"Amoxicillin_Cefotaxime","GN.INT.EcoliNet.3568gene.23439link.txt"
"eco:b0084","eco:b3182",4,8,23,8,16,8,23,"Amoxicillin_Cephalexin","GN.INT.EcoliNet.3568gene.23439link.txt"
"eco:b0084","eco:b3182",4,8,23,8,16,8,23,"Amoxicillin_Imipenem","GN.INT.EcoliNet.3568gene.23439link.txt"
"eco:b0084","eco:b3182",4,8,23,8,16,8,23,"Amoxicillin_Meropenem","GN.INT.EcoliNet.3568gene.23439link.txt"
"eco:b0084","eco:b3182",4,8,23,8,16,8,23,"Amoxicillin_Penicillin G","GN.INT.EcoliNet.3568gene.23439link.txt"
"eco:b0084","eco:b3182",4,8,23,8,16,8,23,"Amoxicillin_Piperacillin","GN.INT.EcoliNet.3568gene.23439link.txt"
"eco:b0084","eco:b3182",4,8,23,8,16,8,23,"Aztreonam_Cefaclor","GN.INT.EcoliNet.3568gene.23439link.txt"
"eco:b0084","eco:b3182",4,8,23,8,16,8,23,"Aztreonam_Cefotaxime","GN.INT.EcoliNet.3568gene.23439link.txt"
"eco:b0084","eco:b3182",4,8,23,8,16,8,23,"Aztreonam_Cephalexin","GN.INT.EcoliNet.3568gene.23439link.txt"
"eco:b0084","eco:b3182",4,8,23,8,16,8,23,"Aztreonam_Imipenem","GN.INT.EcoliNet.3568gene.23439link.txt"
"eco:b0084","eco:b3182",4,8,23,8,16,8,23,"Aztreonam_Meropenem","GN.INT.EcoliNet.3568gene.23439link.txt"
"eco:b0084","eco:b3182",4,8,23,8,16,8,23,"Aztreonam_Penicillin G","GN.INT.EcoliNet.3568gene.23439link.txt"
"eco:b0084","eco:b3182",4,8,23,8,16,8,23,"Aztreonam_Piperacillin","GN.INT.EcoliNet.3568gene.23439link.txt"
