X1,X2,X3,X4,X5,X6,X7,X8,cid
anidulafungin,"1,3-beta-glucan synthase inhibitor",CHEMBL2364673,"1,3-beta-glucan synthase",O13428,"Beta-1,3-glucan synthase catalytic subunit 1",Candida,enzyme  transferase,166548
caspofungin,"1,3-beta-glucan synthase inhibitor",CHEMBL2364673,"1,3-beta-glucan synthase",O13428,"Beta-1,3-glucan synthase catalytic subunit 1",Candida,enzyme  transferase,129627691
caspofungin,"1,3-beta-glucan synthase inhibitor",CHEMBL2364674,"1,3-beta-glucan synthase",Q4WLT4,"1,3-beta-glucan synthase catalytic subunit FksP",Aspergillus,enzyme  transferase,129627691
micafungin,"1,3-beta-glucan synthase inhibitor",CHEMBL2364673,"1,3-beta-glucan synthase",O13428,"Beta-1,3-glucan synthase catalytic subunit 1",Candida,enzyme  transferase,477468
pegademase bovine,2'-deoxyadenosine hydrolytic enzyme,CHEMBL2364177,2'-deoxyadenosine,NA,NA,Homo sapiens,NA,NA
bortezomib,26S proteosome inhibitor,CHEMBL2364701,26S proteosome,P28074,Proteasome subunit beta type-5,Homo sapiens,enzyme  protease  threonine  pbt  t1a,387447
carfilzomib,26S proteosome inhibitor,CHEMBL2364701,26S proteosome,P28074,Proteasome subunit beta type-5,Homo sapiens,enzyme  protease  threonine  pbt  t1a,11556711
trilostane,3-beta-hydroxysteroid dehydrogenase/delta 5-->4-isomerase type II inhibitor,CHEMBL3670,3-beta-hydroxysteroid dehydrogenase/delta 5-->4-isomerase type II,P26439,3 beta-hydroxysteroid dehydrogenase/Delta 5-->4-isomerase type 2,Homo sapiens,enzyme  reductase,656583
dipyridamole,"3',5'-cyclic phosphodiesterase inhibitor",CHEMBL2363066,"3',5'-cyclic phosphodiesterase",O00408,"cGMP-dependent 3',5'-cyclic phosphodiesterase",Homo sapiens,enzyme  phosphodiesterase  pde_2  pde_2a,3108
dipyridamole,"3',5'-cyclic phosphodiesterase inhibitor",CHEMBL2363066,"3',5'-cyclic phosphodiesterase",O43924,"Retinal rod rhodopsin-sensitive cGMP 3',5'-cyclic phosphodiesterase subunit delta",Homo sapiens,enzyme  phosphodiesterase  pde_6  pde_6d,3108
