"Uniprot1","Uniprot2","path.length","K.edge","Degree1","Degree2","mean_deg","min_deg","max_deg","drug_pair","network"
"eco:b0026","eco:b1961",4,2,40,2,21,2,40,"Flucytosine_Pseudomonic acid","CX.INT.EcoliNet.v1.4039gene.67494link.txt"
"eco:b0048","eco:b1961",4,2,9,2,6,2,9,"Flucytosine_Trimethoprim","CX.INT.EcoliNet.v1.4039gene.67494link.txt"
"eco:b0084","eco:b1961",5,2,5,2,4,2,5,"Amoxicillin_Flucytosine","CX.INT.EcoliNet.v1.4039gene.67494link.txt"
"eco:b0084","eco:b1961",5,2,5,2,4,2,5,"Aztreonam_Flucytosine","CX.INT.EcoliNet.v1.4039gene.67494link.txt"
"eco:b0084","eco:b1961",5,2,5,2,4,2,5,"Cefaclor_Flucytosine","CX.INT.EcoliNet.v1.4039gene.67494link.txt"
"eco:b0084","eco:b1961",5,2,5,2,4,2,5,"Cefotaxime_Flucytosine","CX.INT.EcoliNet.v1.4039gene.67494link.txt"
"eco:b0084","eco:b1961",5,2,5,2,4,2,5,"Cephalexin_Flucytosine","CX.INT.EcoliNet.v1.4039gene.67494link.txt"
"eco:b0084","eco:b1961",5,2,5,2,4,2,5,"Flucytosine_Imipenem","CX.INT.EcoliNet.v1.4039gene.67494link.txt"
"eco:b0084","eco:b1961",5,2,5,2,4,2,5,"Flucytosine_Meropenem","CX.INT.EcoliNet.v1.4039gene.67494link.txt"
"eco:b0084","eco:b1961",5,2,5,2,4,2,5,"Flucytosine_Penicillin G","CX.INT.EcoliNet.v1.4039gene.67494link.txt"
"eco:b0084","eco:b1961",5,2,5,2,4,2,5,"Flucytosine_Piperacillin","CX.INT.EcoliNet.v1.4039gene.67494link.txt"
"eco:b0149","eco:b1961",4,2,6,2,4,2,6,"Amoxicillin_Flucytosine","CX.INT.EcoliNet.v1.4039gene.67494link.txt"
"eco:b0149","eco:b1961",4,2,6,2,4,2,6,"Aztreonam_Flucytosine","CX.INT.EcoliNet.v1.4039gene.67494link.txt"
"eco:b0149","eco:b1961",4,2,6,2,4,2,6,"Cefaclor_Flucytosine","CX.INT.EcoliNet.v1.4039gene.67494link.txt"
"eco:b0149","eco:b1961",4,2,6,2,4,2,6,"Cefotaxime_Flucytosine","CX.INT.EcoliNet.v1.4039gene.67494link.txt"
"eco:b0149","eco:b1961",4,2,6,2,4,2,6,"Cephalexin_Flucytosine","CX.INT.EcoliNet.v1.4039gene.67494link.txt"
"eco:b0149","eco:b1961",4,2,6,2,4,2,6,"Flucytosine_Imipenem","CX.INT.EcoliNet.v1.4039gene.67494link.txt"
"eco:b0149","eco:b1961",4,2,6,2,4,2,6,"Flucytosine_Meropenem","CX.INT.EcoliNet.v1.4039gene.67494link.txt"
"eco:b0149","eco:b1961",4,2,6,2,4,2,6,"Flucytosine_Penicillin G","CX.INT.EcoliNet.v1.4039gene.67494link.txt"
"eco:b0149","eco:b1961",4,2,6,2,4,2,6,"Flucytosine_Piperacillin","CX.INT.EcoliNet.v1.4039gene.67494link.txt"
"eco:b0635","eco:b1961",3,2,63,2,32,2,63,"Amoxicillin_Flucytosine","CX.INT.EcoliNet.v1.4039gene.67494link.txt"
"eco:b0635","eco:b1961",3,2,63,2,32,2,63,"Aztreonam_Flucytosine","CX.INT.EcoliNet.v1.4039gene.67494link.txt"
"eco:b0635","eco:b1961",3,2,63,2,32,2,63,"Cefaclor_Flucytosine","CX.INT.EcoliNet.v1.4039gene.67494link.txt"
"eco:b0635","eco:b1961",3,2,63,2,32,2,63,"Cefotaxime_Flucytosine","CX.INT.EcoliNet.v1.4039gene.67494link.txt"
"eco:b0635","eco:b1961",3,2,63,2,32,2,63,"Cephalexin_Flucytosine","CX.INT.EcoliNet.v1.4039gene.67494link.txt"
"eco:b0635","eco:b1961",3,2,63,2,32,2,63,"Flucytosine_Imipenem","CX.INT.EcoliNet.v1.4039gene.67494link.txt"
