"Uniprot1","Uniprot2","path.length","K.edge","Degree1","Degree2","mean_deg","min_deg","max_deg","drug1","drug2","drug_pair","network"
"eco:b0026","eco:b1961",3,11,122,11,66,11,122,"Pseudomonic acid","Flucytosine","Flucytosine_Pseudomonic acid","EcoliNet.v1.txt"
"eco:b0048","eco:b1961",3,11,71,11,41,11,71,"Trimethoprim","Flucytosine","Flucytosine_Trimethoprim","EcoliNet.v1.txt"
"eco:b0084","eco:b1961",3,11,32,11,22,11,32,"Amoxicillin","Flucytosine","Amoxicillin_Flucytosine","EcoliNet.v1.txt"
"eco:b0084","eco:b1961",3,11,32,11,22,11,32,"Aztreonam","Flucytosine","Aztreonam_Flucytosine","EcoliNet.v1.txt"
"eco:b0084","eco:b1961",3,11,32,11,22,11,32,"Cefaclor","Flucytosine","Cefaclor_Flucytosine","EcoliNet.v1.txt"
"eco:b0084","eco:b1961",3,11,32,11,22,11,32,"Cefotaxime","Flucytosine","Cefotaxime_Flucytosine","EcoliNet.v1.txt"
"eco:b0084","eco:b1961",3,11,32,11,22,11,32,"Cephalexin","Flucytosine","Cephalexin_Flucytosine","EcoliNet.v1.txt"
"eco:b0084","eco:b1961",3,11,32,11,22,11,32,"Imipenem","Flucytosine","Flucytosine_Imipenem","EcoliNet.v1.txt"
"eco:b0084","eco:b1961",3,11,32,11,22,11,32,"Meropenem","Flucytosine","Flucytosine_Meropenem","EcoliNet.v1.txt"
"eco:b0084","eco:b1961",3,11,32,11,22,11,32,"Penicillin G","Flucytosine","Flucytosine_Penicillin G","EcoliNet.v1.txt"
"eco:b0084","eco:b1961",3,11,32,11,22,11,32,"Piperacillin","Flucytosine","Flucytosine_Piperacillin","EcoliNet.v1.txt"
"eco:b0149","eco:b1961",3,11,126,11,68,11,126,"Amoxicillin","Flucytosine","Amoxicillin_Flucytosine","EcoliNet.v1.txt"
"eco:b0149","eco:b1961",3,11,126,11,68,11,126,"Aztreonam","Flucytosine","Aztreonam_Flucytosine","EcoliNet.v1.txt"
"eco:b0149","eco:b1961",3,11,126,11,68,11,126,"Cefaclor","Flucytosine","Cefaclor_Flucytosine","EcoliNet.v1.txt"
"eco:b0149","eco:b1961",3,11,126,11,68,11,126,"Cefotaxime","Flucytosine","Cefotaxime_Flucytosine","EcoliNet.v1.txt"
"eco:b0149","eco:b1961",3,11,126,11,68,11,126,"Cephalexin","Flucytosine","Cephalexin_Flucytosine","EcoliNet.v1.txt"
"eco:b0149","eco:b1961",3,11,126,11,68,11,126,"Imipenem","Flucytosine","Flucytosine_Imipenem","EcoliNet.v1.txt"
"eco:b0149","eco:b1961",3,11,126,11,68,11,126,"Meropenem","Flucytosine","Flucytosine_Meropenem","EcoliNet.v1.txt"
"eco:b0149","eco:b1961",3,11,126,11,68,11,126,"Penicillin G","Flucytosine","Flucytosine_Penicillin G","EcoliNet.v1.txt"
"eco:b0149","eco:b1961",3,11,126,11,68,11,126,"Piperacillin","Flucytosine","Flucytosine_Piperacillin","EcoliNet.v1.txt"
"eco:b0635","eco:b1961",3,11,56,11,34,11,56,"Amoxicillin","Flucytosine","Amoxicillin_Flucytosine","EcoliNet.v1.txt"
"eco:b0635","eco:b1961",3,11,56,11,34,11,56,"Aztreonam","Flucytosine","Aztreonam_Flucytosine","EcoliNet.v1.txt"
"eco:b0635","eco:b1961",3,11,56,11,34,11,56,"Cefaclor","Flucytosine","Cefaclor_Flucytosine","EcoliNet.v1.txt"
"eco:b0635","eco:b1961",3,11,56,11,34,11,56,"Cefotaxime","Flucytosine","Cefotaxime_Flucytosine","EcoliNet.v1.txt"
"eco:b0635","eco:b1961",3,11,56,11,34,11,56,"Cephalexin","Flucytosine","Cephalexin_Flucytosine","EcoliNet.v1.txt"
"eco:b0635","eco:b1961",3,11,56,11,34,11,56,"Imipenem","Flucytosine","Flucytosine_Imipenem","EcoliNet.v1.txt"
"eco:b0635","eco:b1961",3,11,56,11,34,11,56,"Meropenem","Flucytosine","Flucytosine_Meropenem","EcoliNet.v1.txt"
"eco:b0635","eco:b1961",3,11,56,11,34,11,56,"Penicillin G","Flucytosine","Flucytosine_Penicillin G","EcoliNet.v1.txt"
"eco:b0635","eco:b1961",3,11,56,11,34,11,56,"Piperacillin","Flucytosine","Flucytosine_Piperacillin","EcoliNet.v1.txt"
"eco:b0839","eco:b1961",3,11,51,11,31,11,51,"Amoxicillin","Flucytosine","Amoxicillin_Flucytosine","EcoliNet.v1.txt"
"eco:b0839","eco:b1961",3,11,51,11,31,11,51,"Aztreonam","Flucytosine","Aztreonam_Flucytosine","EcoliNet.v1.txt"
"eco:b0839","eco:b1961",3,11,51,11,31,11,51,"Cefaclor","Flucytosine","Cefaclor_Flucytosine","EcoliNet.v1.txt"
"eco:b0839","eco:b1961",3,11,51,11,31,11,51,"Cefotaxime","Flucytosine","Cefotaxime_Flucytosine","EcoliNet.v1.txt"
"eco:b0839","eco:b1961",3,11,51,11,31,11,51,"Cephalexin","Flucytosine","Cephalexin_Flucytosine","EcoliNet.v1.txt"
"eco:b0839","eco:b1961",3,11,51,11,31,11,51,"Imipenem","Flucytosine","Flucytosine_Imipenem","EcoliNet.v1.txt"
"eco:b0839","eco:b1961",3,11,51,11,31,11,51,"Meropenem","Flucytosine","Flucytosine_Meropenem","EcoliNet.v1.txt"
"eco:b0839","eco:b1961",3,11,51,11,31,11,51,"Penicillin G","Flucytosine","Flucytosine_Penicillin G","EcoliNet.v1.txt"
"eco:b0839","eco:b1961",3,11,51,11,31,11,51,"Piperacillin","Flucytosine","Flucytosine_Piperacillin","EcoliNet.v1.txt"
"eco:b1288","eco:b1961",3,11,78,11,44,11,78,"Triclosan","Flucytosine","Flucytosine_Triclosan","EcoliNet.v1.txt"
"eco:b1961","eco:b2231",2,11,11,70,40,11,70,"Flucytosine","Ciprofloxacin","Ciprofloxacin_Flucytosine","EcoliNet.v1.txt"
"eco:b1961","eco:b2231",2,11,11,70,40,11,70,"Flucytosine","Levofloxacin","Flucytosine_Levofloxacin","EcoliNet.v1.txt"
"eco:b1961","eco:b2231",2,11,11,70,40,11,70,"Flucytosine","Moxifloxacin","Flucytosine_Moxifloxacin","EcoliNet.v1.txt"
"eco:b1961","eco:b2231",2,11,11,70,40,11,70,"Flucytosine","Novobiocin","Flucytosine_Novobiocin","EcoliNet.v1.txt"
"eco:b1961","eco:b3019",2,11,11,41,26,11,41,"Flucytosine","Levofloxacin","Flucytosine_Levofloxacin","EcoliNet.v1.txt"
"eco:b1961","eco:b3019",2,11,11,41,26,11,41,"Flucytosine","Moxifloxacin","Flucytosine_Moxifloxacin","EcoliNet.v1.txt"
"eco:b1961","eco:b3030",1,11,11,48,30,11,48,"Flucytosine","Levofloxacin","Flucytosine_Levofloxacin","EcoliNet.v1.txt"
"eco:b1961","eco:b3030",1,11,11,48,30,11,48,"Flucytosine","Moxifloxacin","Flucytosine_Moxifloxacin","EcoliNet.v1.txt"
"eco:b1961","eco:b3177",3,11,11,59,35,11,59,"Flucytosine","Sulfamonomethoxine","Flucytosine_Sulfamonomethoxine","EcoliNet.v1.txt"
"eco:b1961","eco:b3182",3,11,11,58,34,11,58,"Flucytosine","Amoxicillin","Amoxicillin_Flucytosine","EcoliNet.v1.txt"
