"KEGG1_KEGG2","KEGG1","KEGG2","Drug1_Drug2","Drug1","Drug2","path.length","K.edge","Degree1","Degree2","mean_deg","min_deg","max_deg","network"
"eco:b2827_eco:b3177","eco:b2827","eco:b3177","Flucytosine_Sulfamonomethoxine","Flucytosine","Sulfamonomethoxine",2,3,29,3,16,3,29,"EcoCyc.goldstandardset.txt"
"eco:b0084_eco:b0149","eco:b0084","eco:b0149","Amoxicillin_Aztreonam","Amoxicillin","Aztreonam",1,15,15,15,15,15,15,"EcoCyc.goldstandardset.txt"
"eco:b0084_eco:b0149","eco:b0084","eco:b0149","Amoxicillin_Cefaclor","Amoxicillin","Cefaclor",1,15,15,15,15,15,15,"EcoCyc.goldstandardset.txt"
"eco:b0084_eco:b0149","eco:b0084","eco:b0149","Amoxicillin_Cefotaxime","Amoxicillin","Cefotaxime",1,15,15,15,15,15,15,"EcoCyc.goldstandardset.txt"
"eco:b0084_eco:b0149","eco:b0084","eco:b0149","Amoxicillin_Cephalexin","Amoxicillin","Cephalexin",1,15,15,15,15,15,15,"EcoCyc.goldstandardset.txt"
"eco:b0084_eco:b0149","eco:b0084","eco:b0149","Amoxicillin_Imipenem","Amoxicillin","Imipenem",1,15,15,15,15,15,15,"EcoCyc.goldstandardset.txt"
"eco:b0084_eco:b0149","eco:b0084","eco:b0149","Amoxicillin_Meropenem","Amoxicillin","Meropenem",1,15,15,15,15,15,15,"EcoCyc.goldstandardset.txt"
"eco:b0084_eco:b0149","eco:b0084","eco:b0149","Amoxicillin_Penicillin G","Amoxicillin","Penicillin G",1,15,15,15,15,15,15,"EcoCyc.goldstandardset.txt"
"eco:b0084_eco:b0149","eco:b0084","eco:b0149","Amoxicillin_Piperacillin","Amoxicillin","Piperacillin",1,15,15,15,15,15,15,"EcoCyc.goldstandardset.txt"
"eco:b0084_eco:b0149","eco:b0084","eco:b0149","Aztreonam_Cefaclor","Aztreonam","Cefaclor",1,15,15,15,15,15,15,"EcoCyc.goldstandardset.txt"
"eco:b0084_eco:b0149","eco:b0084","eco:b0149","Aztreonam_Cefotaxime","Aztreonam","Cefotaxime",1,15,15,15,15,15,15,"EcoCyc.goldstandardset.txt"
"eco:b0084_eco:b0149","eco:b0084","eco:b0149","Aztreonam_Cephalexin","Aztreonam","Cephalexin",1,15,15,15,15,15,15,"EcoCyc.goldstandardset.txt"
"eco:b0084_eco:b0149","eco:b0084","eco:b0149","Aztreonam_Imipenem","Aztreonam","Imipenem",1,15,15,15,15,15,15,"EcoCyc.goldstandardset.txt"
"eco:b0084_eco:b0149","eco:b0084","eco:b0149","Aztreonam_Meropenem","Aztreonam","Meropenem",1,15,15,15,15,15,15,"EcoCyc.goldstandardset.txt"
"eco:b0084_eco:b0149","eco:b0084","eco:b0149","Aztreonam_Penicillin G","Aztreonam","Penicillin G",1,15,15,15,15,15,15,"EcoCyc.goldstandardset.txt"
