"Uniprot1","Uniprot2","path.length","K.edge","Degree1","Degree2","mean_deg","min_deg","max_deg","drug_pair","network"
"eco:b0026","eco:b0048",4,4,6,5,6,5,6,"Pseudomonic acid_Trimethoprim","MODEL1108160000_edgelist.txt"
"eco:b0026","eco:b0084",4,4,6,6,6,6,6,"Amoxicillin_Pseudomonic acid","MODEL1108160000_edgelist.txt"
"eco:b0026","eco:b0084",4,4,6,6,6,6,6,"Aztreonam_Pseudomonic acid","MODEL1108160000_edgelist.txt"
"eco:b0026","eco:b0084",4,4,6,6,6,6,6,"Cefaclor_Pseudomonic acid","MODEL1108160000_edgelist.txt"
"eco:b0026","eco:b0084",4,4,6,6,6,6,6,"Cefotaxime_Pseudomonic acid","MODEL1108160000_edgelist.txt"
"eco:b0026","eco:b0084",4,4,6,6,6,6,6,"Cephalexin_Pseudomonic acid","MODEL1108160000_edgelist.txt"
"eco:b0026","eco:b0084",4,4,6,6,6,6,6,"Imipenem_Pseudomonic acid","MODEL1108160000_edgelist.txt"
"eco:b0026","eco:b0084",4,4,6,6,6,6,6,"Meropenem_Pseudomonic acid","MODEL1108160000_edgelist.txt"
"eco:b0026","eco:b0084",4,4,6,6,6,6,6,"Penicillin G_Pseudomonic acid","MODEL1108160000_edgelist.txt"
"eco:b0026","eco:b0084",4,4,6,6,6,6,6,"Piperacillin_Pseudomonic acid","MODEL1108160000_edgelist.txt"
"eco:b0026","eco:b0149",4,4,6,18,12,6,18,"Amoxicillin_Pseudomonic acid","MODEL1108160000_edgelist.txt"
"eco:b0026","eco:b0149",4,4,6,18,12,6,18,"Aztreonam_Pseudomonic acid","MODEL1108160000_edgelist.txt"
"eco:b0026","eco:b0149",4,4,6,18,12,6,18,"Cefaclor_Pseudomonic acid","MODEL1108160000_edgelist.txt"
"eco:b0026","eco:b0149",4,4,6,18,12,6,18,"Cefotaxime_Pseudomonic acid","MODEL1108160000_edgelist.txt"
"eco:b0026","eco:b0149",4,4,6,18,12,6,18,"Cephalexin_Pseudomonic acid","MODEL1108160000_edgelist.txt"
"eco:b0026","eco:b0149",4,4,6,18,12,6,18,"Imipenem_Pseudomonic acid","MODEL1108160000_edgelist.txt"
"eco:b0026","eco:b0149",4,4,6,18,12,6,18,"Meropenem_Pseudomonic acid","MODEL1108160000_edgelist.txt"
"eco:b0026","eco:b0149",4,4,6,18,12,6,18,"Penicillin G_Pseudomonic acid","MODEL1108160000_edgelist.txt"
"eco:b0026","eco:b0149",4,4,6,18,12,6,18,"Piperacillin_Pseudomonic acid","MODEL1108160000_edgelist.txt"
"eco:b0026","eco:b0635",4,4,6,6,6,6,6,"Amoxicillin_Pseudomonic acid","MODEL1108160000_edgelist.txt"
"eco:b0026","eco:b0635",4,4,6,6,6,6,6,"Aztreonam_Pseudomonic acid","MODEL1108160000_edgelist.txt"
"eco:b0026","eco:b0635",4,4,6,6,6,6,6,"Cefaclor_Pseudomonic acid","MODEL1108160000_edgelist.txt"
"eco:b0026","eco:b0635",4,4,6,6,6,6,6,"Cefotaxime_Pseudomonic acid","MODEL1108160000_edgelist.txt"
"eco:b0026","eco:b0635",4,4,6,6,6,6,6,"Cephalexin_Pseudomonic acid","MODEL1108160000_edgelist.txt"
"eco:b0026","eco:b0635",4,4,6,6,6,6,6,"Imipenem_Pseudomonic acid","MODEL1108160000_edgelist.txt"
"eco:b0026","eco:b0635",4,4,6,6,6,6,6,"Mecillinam_Pseudomonic acid","MODEL1108160000_edgelist.txt"
"eco:b0026","eco:b0635",4,4,6,6,6,6,6,"Meropenem_Pseudomonic acid","MODEL1108160000_edgelist.txt"
"eco:b0026","eco:b0635",4,4,6,6,6,6,6,"Penicillin G_Pseudomonic acid","MODEL1108160000_edgelist.txt"
"eco:b0026","eco:b0635",4,4,6,6,6,6,6,"Piperacillin_Pseudomonic acid","MODEL1108160000_edgelist.txt"
"eco:b0026","eco:b0839",4,4,6,20,13,6,20,"Amoxicillin_Pseudomonic acid","MODEL1108160000_edgelist.txt"
"eco:b0026","eco:b0839",4,4,6,20,13,6,20,"Aztreonam_Pseudomonic acid","MODEL1108160000_edgelist.txt"
"eco:b0026","eco:b0839",4,4,6,20,13,6,20,"Cefaclor_Pseudomonic acid","MODEL1108160000_edgelist.txt"
"eco:b0026","eco:b0839",4,4,6,20,13,6,20,"Cefotaxime_Pseudomonic acid","MODEL1108160000_edgelist.txt"
"eco:b0026","eco:b0839",4,4,6,20,13,6,20,"Cephalexin_Pseudomonic acid","MODEL1108160000_edgelist.txt"
"eco:b0026","eco:b0839",4,4,6,20,13,6,20,"Imipenem_Pseudomonic acid","MODEL1108160000_edgelist.txt"
"eco:b0026","eco:b0839",4,4,6,20,13,6,20,"Meropenem_Pseudomonic acid","MODEL1108160000_edgelist.txt"
"eco:b0026","eco:b0839",4,4,6,20,13,6,20,"Penicillin G_Pseudomonic acid","MODEL1108160000_edgelist.txt"
"eco:b0026","eco:b0839",4,4,6,20,13,6,20,"Piperacillin_Pseudomonic acid","MODEL1108160000_edgelist.txt"
"eco:b0026","eco:b1288",4,4,6,130,68,6,130,"Pseudomonic acid_Triclosan","MODEL1108160000_edgelist.txt"
"eco:b0026","eco:b2827",4,4,6,4,5,4,6,"Flucytosine_Pseudomonic acid","MODEL1108160000_edgelist.txt"
"eco:b0026","eco:b3177",2,4,6,4,5,4,6,"Pseudomonic acid_Sulfamonomethoxine","MODEL1108160000_edgelist.txt"
"eco:b0026","eco:b3182",4,4,6,32,19,6,32,"Amoxicillin_Pseudomonic acid","MODEL1108160000_edgelist.txt"
"eco:b0026","eco:b3182",4,4,6,32,19,6,32,"Aztreonam_Pseudomonic acid","MODEL1108160000_edgelist.txt"
"eco:b0026","eco:b3182",4,4,6,32,19,6,32,"Cefaclor_Pseudomonic acid","MODEL1108160000_edgelist.txt"
"eco:b0026","eco:b3182",4,4,6,32,19,6,32,"Cefotaxime_Pseudomonic acid","MODEL1108160000_edgelist.txt"
"eco:b0026","eco:b3182",4,4,6,32,19,6,32,"Cephalexin_Pseudomonic acid","MODEL1108160000_edgelist.txt"
"eco:b0026","eco:b3182",4,4,6,32,19,6,32,"Imipenem_Pseudomonic acid","MODEL1108160000_edgelist.txt"
"eco:b0026","eco:b3182",4,4,6,32,19,6,32,"Meropenem_Pseudomonic acid","MODEL1108160000_edgelist.txt"
"eco:b0026","eco:b3182",4,4,6,32,19,6,32,"Penicillin G_Pseudomonic acid","MODEL1108160000_edgelist.txt"
"eco:b0026","eco:b3182",4,4,6,32,19,6,32,"Piperacillin_Pseudomonic acid","MODEL1108160000_edgelist.txt"
"eco:b0026","eco:b3189",4,4,6,4,5,4,6,"Fosfomycin_Pseudomonic acid","MODEL1108160000_edgelist.txt"
"eco:b0026","eco:b3396",4,4,6,18,12,6,18,"Amoxicillin_Pseudomonic acid","MODEL1108160000_edgelist.txt"
"eco:b0026","eco:b3396",4,4,6,18,12,6,18,"Aztreonam_Pseudomonic acid","MODEL1108160000_edgelist.txt"
"eco:b0026","eco:b3396",4,4,6,18,12,6,18,"Cefaclor_Pseudomonic acid","MODEL1108160000_edgelist.txt"
"eco:b0026","eco:b3396",4,4,6,18,12,6,18,"Cefotaxime_Pseudomonic acid","MODEL1108160000_edgelist.txt"
"eco:b0026","eco:b3396",4,4,6,18,12,6,18,"Cephalexin_Pseudomonic acid","MODEL1108160000_edgelist.txt"
"eco:b0026","eco:b3396",4,4,6,18,12,6,18,"Imipenem_Pseudomonic acid","MODEL1108160000_edgelist.txt"
"eco:b0026","eco:b3396",4,4,6,18,12,6,18,"Meropenem_Pseudomonic acid","MODEL1108160000_edgelist.txt"
"eco:b0026","eco:b3396",4,4,6,18,12,6,18,"Penicillin G_Pseudomonic acid","MODEL1108160000_edgelist.txt"
"eco:b0026","eco:b3396",4,4,6,18,12,6,18,"Piperacillin_Pseudomonic acid","MODEL1108160000_edgelist.txt"
"eco:b0026","eco:b3426",4,4,6,4,5,4,6,"Metformin_Pseudomonic acid","MODEL1108160000_edgelist.txt"
"eco:b0048","eco:b2827",2,4,5,4,4,4,5,"Flucytosine_Trimethoprim","MODEL1108160000_edgelist.txt"
"eco:b0048","eco:b3177",4,4,5,4,4,4,5,"Sulfamonomethoxine_Trimethoprim","MODEL1108160000_edgelist.txt"
"eco:b0048","eco:b3189",4,4,5,4,4,4,5,"Fosfomycin_Trimethoprim","MODEL1108160000_edgelist.txt"
"eco:b0048","eco:b3426",4,4,5,4,4,4,5,"Metformin_Trimethoprim","MODEL1108160000_edgelist.txt"
"eco:b0084","eco:b2827",4,4,6,4,5,4,6,"Amoxicillin_Flucytosine","MODEL1108160000_edgelist.txt"
"eco:b0084","eco:b2827",4,4,6,4,5,4,6,"Aztreonam_Flucytosine","MODEL1108160000_edgelist.txt"
"eco:b0084","eco:b2827",4,4,6,4,5,4,6,"Cefaclor_Flucytosine","MODEL1108160000_edgelist.txt"
"eco:b0084","eco:b2827",4,4,6,4,5,4,6,"Cefotaxime_Flucytosine","MODEL1108160000_edgelist.txt"
"eco:b0084","eco:b2827",4,4,6,4,5,4,6,"Cephalexin_Flucytosine","MODEL1108160000_edgelist.txt"
"eco:b0084","eco:b2827",4,4,6,4,5,4,6,"Flucytosine_Imipenem","MODEL1108160000_edgelist.txt"
"eco:b0084","eco:b2827",4,4,6,4,5,4,6,"Flucytosine_Meropenem","MODEL1108160000_edgelist.txt"
"eco:b0084","eco:b2827",4,4,6,4,5,4,6,"Flucytosine_Penicillin G","MODEL1108160000_edgelist.txt"
"eco:b0084","eco:b2827",4,4,6,4,5,4,6,"Flucytosine_Piperacillin","MODEL1108160000_edgelist.txt"
"eco:b0084","eco:b3177",6,4,6,4,5,4,6,"Amoxicillin_Sulfamonomethoxine","MODEL1108160000_edgelist.txt"
"eco:b0084","eco:b3177",6,4,6,4,5,4,6,"Aztreonam_Sulfamonomethoxine","MODEL1108160000_edgelist.txt"
"eco:b0084","eco:b3177",6,4,6,4,5,4,6,"Cefaclor_Sulfamonomethoxine","MODEL1108160000_edgelist.txt"
"eco:b0084","eco:b3177",6,4,6,4,5,4,6,"Cefotaxime_Sulfamonomethoxine","MODEL1108160000_edgelist.txt"
"eco:b0084","eco:b3177",6,4,6,4,5,4,6,"Cephalexin_Sulfamonomethoxine","MODEL1108160000_edgelist.txt"
"eco:b0084","eco:b3177",6,4,6,4,5,4,6,"Imipenem_Sulfamonomethoxine","MODEL1108160000_edgelist.txt"
