"KEGG1_KEGG2","KEGG1","KEGG2","drug_pair","Drug1","Drug2","path.length","K.edge","Degree1","Degree2","mean_deg","min_deg","max_deg","adjacency","network"
"eco:b0048_eco:b3177","eco:b0048","eco:b3177","Sulfamonomethoxine_Trimethoprim","Sulfamonomethoxine","Trimethoprim",1,3,14,3,8.5,3,14,1,"EcoCyc.goldstandardset.txt"
"eco:b1288_eco:b3177","eco:b1288","eco:b3177","Sulfamonomethoxine_Triclosan","Sulfamonomethoxine","Triclosan",4,3,14,3,8.5,3,14,0,"EcoCyc.goldstandardset.txt"
"eco:b2827_eco:b3177","eco:b2827","eco:b3177","Flucytosine_Sulfamonomethoxine","Flucytosine","Sulfamonomethoxine",2,3,29,3,16,3,29,0,"EcoCyc.goldstandardset.txt"
"eco:b0048_eco:b1288","eco:b0048","eco:b1288","Triclosan_Trimethoprim","Triclosan","Trimethoprim",3,6,14,14,14,14,14,0,"EcoCyc.goldstandardset.txt"
"eco:b1288_eco:b2827","eco:b1288","eco:b2827","Flucytosine_Triclosan","Flucytosine","Triclosan",3,6,14,29,21.5,14,29,0,"EcoCyc.goldstandardset.txt"
"eco:b0048_eco:b2827","eco:b0048","eco:b2827","Flucytosine_Trimethoprim","Flucytosine","Trimethoprim",1,14,14,29,21.5,14,29,1,"EcoCyc.goldstandardset.txt"
"eco:b0084_eco:b0149","eco:b0084","eco:b0149","Amoxicillin_Aztreonam","Amoxicillin","Aztreonam",1,15,15,15,15,15,15,1,"EcoCyc.goldstandardset.txt"
"eco:b0084_eco:b0149","eco:b0084","eco:b0149","Amoxicillin_Cefaclor","Amoxicillin","Cefaclor",1,15,15,15,15,15,15,1,"EcoCyc.goldstandardset.txt"
"eco:b0084_eco:b0149","eco:b0084","eco:b0149","Amoxicillin_Cefotaxime","Amoxicillin","Cefotaxime",1,15,15,15,15,15,15,1,"EcoCyc.goldstandardset.txt"
"eco:b0084_eco:b0149","eco:b0084","eco:b0149","Amoxicillin_Cephalexin","Amoxicillin","Cephalexin",1,15,15,15,15,15,15,1,"EcoCyc.goldstandardset.txt"
"eco:b0084_eco:b0149","eco:b0084","eco:b0149","Amoxicillin_Imipenem","Amoxicillin","Imipenem",1,15,15,15,15,15,15,1,"EcoCyc.goldstandardset.txt"
"eco:b0084_eco:b0149","eco:b0084","eco:b0149","Amoxicillin_Meropenem","Amoxicillin","Meropenem",1,15,15,15,15,15,15,1,"EcoCyc.goldstandardset.txt"
"eco:b0084_eco:b0149","eco:b0084","eco:b0149","Amoxicillin_Penicillin G","Amoxicillin","Penicillin G",1,15,15,15,15,15,15,1,"EcoCyc.goldstandardset.txt"
"eco:b0084_eco:b0149","eco:b0084","eco:b0149","Amoxicillin_Piperacillin","Amoxicillin","Piperacillin",1,15,15,15,15,15,15,1,"EcoCyc.goldstandardset.txt"
"eco:b0084_eco:b0149","eco:b0084","eco:b0149","Aztreonam_Cefaclor","Aztreonam","Cefaclor",1,15,15,15,15,15,15,1,"EcoCyc.goldstandardset.txt"
"eco:b0084_eco:b0149","eco:b0084","eco:b0149","Aztreonam_Cefotaxime","Aztreonam","Cefotaxime",1,15,15,15,15,15,15,1,"EcoCyc.goldstandardset.txt"
"eco:b0084_eco:b0149","eco:b0084","eco:b0149","Aztreonam_Cephalexin","Aztreonam","Cephalexin",1,15,15,15,15,15,15,1,"EcoCyc.goldstandardset.txt"
"eco:b0084_eco:b0149","eco:b0084","eco:b0149","Aztreonam_Imipenem","Aztreonam","Imipenem",1,15,15,15,15,15,15,1,"EcoCyc.goldstandardset.txt"
"eco:b0084_eco:b0149","eco:b0084","eco:b0149","Aztreonam_Meropenem","Aztreonam","Meropenem",1,15,15,15,15,15,15,1,"EcoCyc.goldstandardset.txt"
"eco:b0084_eco:b0149","eco:b0084","eco:b0149","Aztreonam_Penicillin G","Aztreonam","Penicillin G",1,15,15,15,15,15,15,1,"EcoCyc.goldstandardset.txt"
"eco:b0084_eco:b0149","eco:b0084","eco:b0149","Aztreonam_Piperacillin","Aztreonam","Piperacillin",1,15,15,15,15,15,15,1,"EcoCyc.goldstandardset.txt"
"eco:b0084_eco:b0149","eco:b0084","eco:b0149","Cefaclor_Cefotaxime","Cefaclor","Cefotaxime",1,15,15,15,15,15,15,1,"EcoCyc.goldstandardset.txt"
"eco:b0084_eco:b0149","eco:b0084","eco:b0149","Cefaclor_Cephalexin","Cefaclor","Cephalexin",1,15,15,15,15,15,15,1,"EcoCyc.goldstandardset.txt"
"eco:b0084_eco:b0149","eco:b0084","eco:b0149","Cefaclor_Imipenem","Cefaclor","Imipenem",1,15,15,15,15,15,15,1,"EcoCyc.goldstandardset.txt"
"eco:b0084_eco:b0149","eco:b0084","eco:b0149","Cefaclor_Meropenem","Cefaclor","Meropenem",1,15,15,15,15,15,15,1,"EcoCyc.goldstandardset.txt"
"eco:b0084_eco:b0149","eco:b0084","eco:b0149","Cefaclor_Penicillin G","Cefaclor","Penicillin G",1,15,15,15,15,15,15,1,"EcoCyc.goldstandardset.txt"
"eco:b0084_eco:b0149","eco:b0084","eco:b0149","Cefaclor_Piperacillin","Cefaclor","Piperacillin",1,15,15,15,15,15,15,1,"EcoCyc.goldstandardset.txt"
"eco:b0084_eco:b0149","eco:b0084","eco:b0149","Cefotaxime_Cephalexin","Cefotaxime","Cephalexin",1,15,15,15,15,15,15,1,"EcoCyc.goldstandardset.txt"
"eco:b0084_eco:b0149","eco:b0084","eco:b0149","Cefotaxime_Imipenem","Cefotaxime","Imipenem",1,15,15,15,15,15,15,1,"EcoCyc.goldstandardset.txt"
"eco:b0084_eco:b0149","eco:b0084","eco:b0149","Cefotaxime_Meropenem","Cefotaxime","Meropenem",1,15,15,15,15,15,15,1,"EcoCyc.goldstandardset.txt"
"eco:b0084_eco:b0149","eco:b0084","eco:b0149","Cefotaxime_Penicillin G","Cefotaxime","Penicillin G",1,15,15,15,15,15,15,1,"EcoCyc.goldstandardset.txt"
"eco:b0084_eco:b0149","eco:b0084","eco:b0149","Cefotaxime_Piperacillin","Cefotaxime","Piperacillin",1,15,15,15,15,15,15,1,"EcoCyc.goldstandardset.txt"
"eco:b0084_eco:b0149","eco:b0084","eco:b0149","Cephalexin_Imipenem","Cephalexin","Imipenem",1,15,15,15,15,15,15,1,"EcoCyc.goldstandardset.txt"
