"Uniprot1","Uniprot2","path.length","K.edge","Degree1","Degree2","mean_deg","min_deg","max_deg","drug_pair","network"
"eco:b0048","eco:b3887",5,1,21,1,11,1,21,"Fusidic acid_Trimethoprim","GO-BP.goldstandardset.txt"
"eco:b0084","eco:b3887",5,1,33,1,17,1,33,"Amoxicillin_Fusidic acid","GO-BP.goldstandardset.txt"
"eco:b0084","eco:b3887",5,1,33,1,17,1,33,"Aztreonam_Fusidic acid","GO-BP.goldstandardset.txt"
"eco:b0084","eco:b3887",5,1,33,1,17,1,33,"Cefaclor_Fusidic acid","GO-BP.goldstandardset.txt"
"eco:b0084","eco:b3887",5,1,33,1,17,1,33,"Cefotaxime_Fusidic acid","GO-BP.goldstandardset.txt"
"eco:b0084","eco:b3887",5,1,33,1,17,1,33,"Cephalexin_Fusidic acid","GO-BP.goldstandardset.txt"
"eco:b0084","eco:b3887",5,1,33,1,17,1,33,"Fusidic acid_Imipenem","GO-BP.goldstandardset.txt"
"eco:b0084","eco:b3887",5,1,33,1,17,1,33,"Fusidic acid_Meropenem","GO-BP.goldstandardset.txt"
"eco:b0084","eco:b3887",5,1,33,1,17,1,33,"Fusidic acid_Penicillin G","GO-BP.goldstandardset.txt"
"eco:b0084","eco:b3887",5,1,33,1,17,1,33,"Fusidic acid_Piperacillin","GO-BP.goldstandardset.txt"
"eco:b0149","eco:b3887",4,1,55,1,28,1,55,"Amoxicillin_Fusidic acid","GO-BP.goldstandardset.txt"
"eco:b0149","eco:b3887",4,1,55,1,28,1,55,"Aztreonam_Fusidic acid","GO-BP.goldstandardset.txt"
"eco:b0149","eco:b3887",4,1,55,1,28,1,55,"Cefaclor_Fusidic acid","GO-BP.goldstandardset.txt"
"eco:b0149","eco:b3887",4,1,55,1,28,1,55,"Cefotaxime_Fusidic acid","GO-BP.goldstandardset.txt"
"eco:b0149","eco:b3887",4,1,55,1,28,1,55,"Cephalexin_Fusidic acid","GO-BP.goldstandardset.txt"
"eco:b0149","eco:b3887",4,1,55,1,28,1,55,"Fusidic acid_Imipenem","GO-BP.goldstandardset.txt"
"eco:b0149","eco:b3887",4,1,55,1,28,1,55,"Fusidic acid_Meropenem","GO-BP.goldstandardset.txt"
"eco:b0149","eco:b3887",4,1,55,1,28,1,55,"Fusidic acid_Penicillin G","GO-BP.goldstandardset.txt"
"eco:b0149","eco:b3887",4,1,55,1,28,1,55,"Fusidic acid_Piperacillin","GO-BP.goldstandardset.txt"
"eco:b0635","eco:b3887",4,1,72,1,36,1,72,"Amoxicillin_Fusidic acid","GO-BP.goldstandardset.txt"
"eco:b0635","eco:b3887",4,1,72,1,36,1,72,"Aztreonam_Fusidic acid","GO-BP.goldstandardset.txt"
"eco:b0635","eco:b3887",4,1,72,1,36,1,72,"Cefaclor_Fusidic acid","GO-BP.goldstandardset.txt"
"eco:b0635","eco:b3887",4,1,72,1,36,1,72,"Cefotaxime_Fusidic acid","GO-BP.goldstandardset.txt"
"eco:b0635","eco:b3887",4,1,72,1,36,1,72,"Cephalexin_Fusidic acid","GO-BP.goldstandardset.txt"
"eco:b0635","eco:b3887",4,1,72,1,36,1,72,"Fusidic acid_Imipenem","GO-BP.goldstandardset.txt"
"eco:b0635","eco:b3887",4,1,72,1,36,1,72,"Fusidic acid_Mecillinam","GO-BP.goldstandardset.txt"
"eco:b0635","eco:b3887",4,1,72,1,36,1,72,"Fusidic acid_Meropenem","GO-BP.goldstandardset.txt"
"eco:b0635","eco:b3887",4,1,72,1,36,1,72,"Fusidic acid_Penicillin G","GO-BP.goldstandardset.txt"
"eco:b0635","eco:b3887",4,1,72,1,36,1,72,"Fusidic acid_Piperacillin","GO-BP.goldstandardset.txt"
"eco:b0839","eco:b3887",5,1,43,1,22,1,43,"Amoxicillin_Fusidic acid","GO-BP.goldstandardset.txt"
"eco:b0839","eco:b3887",5,1,43,1,22,1,43,"Aztreonam_Fusidic acid","GO-BP.goldstandardset.txt"
"eco:b0839","eco:b3887",5,1,43,1,22,1,43,"Cefaclor_Fusidic acid","GO-BP.goldstandardset.txt"
"eco:b0839","eco:b3887",5,1,43,1,22,1,43,"Cefotaxime_Fusidic acid","GO-BP.goldstandardset.txt"
"eco:b0839","eco:b3887",5,1,43,1,22,1,43,"Cephalexin_Fusidic acid","GO-BP.goldstandardset.txt"
"eco:b0839","eco:b3887",5,1,43,1,22,1,43,"Fusidic acid_Imipenem","GO-BP.goldstandardset.txt"
"eco:b0839","eco:b3887",5,1,43,1,22,1,43,"Fusidic acid_Meropenem","GO-BP.goldstandardset.txt"
"eco:b0839","eco:b3887",5,1,43,1,22,1,43,"Fusidic acid_Penicillin G","GO-BP.goldstandardset.txt"
"eco:b0839","eco:b3887",5,1,43,1,22,1,43,"Fusidic acid_Piperacillin","GO-BP.goldstandardset.txt"
"eco:b1288","eco:b3887",6,1,13,1,7,1,13,"Fusidic acid_Triclosan","GO-BP.goldstandardset.txt"
"eco:b2231","eco:b3887",5,1,20,1,10,1,20,"Ciprofloxacin_Fusidic acid","GO-BP.goldstandardset.txt"
"eco:b2231","eco:b3887",5,1,20,1,10,1,20,"Fusidic acid_Levofloxacin","GO-BP.goldstandardset.txt"
"eco:b2231","eco:b3887",5,1,20,1,10,1,20,"Fusidic acid_Moxifloxacin","GO-BP.goldstandardset.txt"
"eco:b2231","eco:b3887",5,1,20,1,10,1,20,"Fusidic acid_Novobiocin","GO-BP.goldstandardset.txt"
"eco:b3019","eco:b3887",5,1,9,1,5,1,9,"Fusidic acid_Levofloxacin","GO-BP.goldstandardset.txt"
"eco:b3019","eco:b3887",5,1,9,1,5,1,9,"Fusidic acid_Moxifloxacin","GO-BP.goldstandardset.txt"
"eco:b3030","eco:b3887",6,1,3,1,2,1,3,"Fusidic acid_Levofloxacin","GO-BP.goldstandardset.txt"
"eco:b3030","eco:b3887",6,1,3,1,2,1,3,"Fusidic acid_Moxifloxacin","GO-BP.goldstandardset.txt"
"eco:b3177","eco:b3887",5,1,21,1,11,1,21,"Fusidic acid_Sulfamonomethoxine","GO-BP.goldstandardset.txt"
"eco:b3182","eco:b3887",5,1,34,1,18,1,34,"Amoxicillin_Fusidic acid","GO-BP.goldstandardset.txt"
"eco:b3182","eco:b3887",5,1,34,1,18,1,34,"Aztreonam_Fusidic acid","GO-BP.goldstandardset.txt"
"eco:b3182","eco:b3887",5,1,34,1,18,1,34,"Cefaclor_Fusidic acid","GO-BP.goldstandardset.txt"
"eco:b3182","eco:b3887",5,1,34,1,18,1,34,"Cefotaxime_Fusidic acid","GO-BP.goldstandardset.txt"
"eco:b3182","eco:b3887",5,1,34,1,18,1,34,"Cephalexin_Fusidic acid","GO-BP.goldstandardset.txt"
"eco:b3182","eco:b3887",5,1,34,1,18,1,34,"Fusidic acid_Imipenem","GO-BP.goldstandardset.txt"
"eco:b3182","eco:b3887",5,1,34,1,18,1,34,"Fusidic acid_Meropenem","GO-BP.goldstandardset.txt"
"eco:b3182","eco:b3887",5,1,34,1,18,1,34,"Fusidic acid_Penicillin G","GO-BP.goldstandardset.txt"
"eco:b3182","eco:b3887",5,1,34,1,18,1,34,"Fusidic acid_Piperacillin","GO-BP.goldstandardset.txt"
"eco:b3189","eco:b3887",5,1,19,1,10,1,19,"Fosfomycin_Fusidic acid","GO-BP.goldstandardset.txt"
"eco:b3251","eco:b3887",5,1,12,1,6,1,12,"A22_Fusidic acid","GO-BP.goldstandardset.txt"
"eco:b3296","eco:b3887",4,1,13,1,7,1,13,"Doxycycline_Fusidic acid","GO-BP.goldstandardset.txt"
"eco:b3396","eco:b3887",4,1,55,1,28,1,55,"Amoxicillin_Fusidic acid","GO-BP.goldstandardset.txt"
"eco:b3396","eco:b3887",4,1,55,1,28,1,55,"Aztreonam_Fusidic acid","GO-BP.goldstandardset.txt"
"eco:b3396","eco:b3887",4,1,55,1,28,1,55,"Cefaclor_Fusidic acid","GO-BP.goldstandardset.txt"
"eco:b3396","eco:b3887",4,1,55,1,28,1,55,"Cefotaxime_Fusidic acid","GO-BP.goldstandardset.txt"
"eco:b3396","eco:b3887",4,1,55,1,28,1,55,"Cephalexin_Fusidic acid","GO-BP.goldstandardset.txt"
"eco:b3396","eco:b3887",4,1,55,1,28,1,55,"Fusidic acid_Imipenem","GO-BP.goldstandardset.txt"
"eco:b3396","eco:b3887",4,1,55,1,28,1,55,"Fusidic acid_Meropenem","GO-BP.goldstandardset.txt"
"eco:b3396","eco:b3887",4,1,55,1,28,1,55,"Fusidic acid_Penicillin G","GO-BP.goldstandardset.txt"
"eco:b3396","eco:b3887",4,1,55,1,28,1,55,"Fusidic acid_Piperacillin","GO-BP.goldstandardset.txt"
